突破ID	有效标志位	星级	灵宠等级要求	消耗道具	消耗数量	战斗属性ID	遣散返还灵宠币数量
[C][S]id	0	[C][S]star	[C][S]needLvl	[C][S]needItem	[C][S]needNum	[C][S]fightAttrID	[S]
100010	1	0	40	410510001	5	991001	0
100020	1	0	40	410510002	5	991001	0
100030	1	0	40	410510003	5	991001	0
100040	1	0	40	410510004	5	991002	0
200010	1	0	40	410520001	5	992001	0
200020	1	0	40	410520002	5	992001	0
200030	1	0	40	410520003	5	992002	0
200040	1	0	40	410520004	5	992002	0
200050	1	0	40	410520005	5	992003	0
200060	1	0	40	410520006	5	992001	0
300010	1	0	40	410530001	5	993001	0
300020	1	0	40	410530002	5	993001	0
300030	1	0	40	410530003	5	993001	0
300040	1	0	40	410530004	5	993002	0
300050	1	0	40	410530005	5	993002	0
300060	1	0	40	410530006	5	993002	0
300070	1	0	40	410530007	5	993003	0
300080	1	0	40	410530008	5	993003	0
300090	1	0	40	410530009	5	993003	0
300100	1	0	40	410530010	5	993003	0
300110	1	0	40	410530011	5	993003	0
300120	1	0	40	410530012	5	993003	0
300130	1	0	40	410530013	5	993003	0
300140	1	0	40	410530014	5	993003	0
300150	1	0	40	410530015	5	993003	0
400010	1	0	60	410540001	10	994011	0
400020	1	0	40	410540002	10	994001	0
400030	1	0	60	410540003	10	994013	0
400040	1	0	60	410540004	10	994012	0
400050	1	0	40	410540005	10	994002	0
400060	1	0	40	410540006	10	994002	0
400070	1	0	40	410540007	10	994002	0
400080	1	0	40	410540008	10	994003	0
400090	1	0	60	410540009	10	994013	0
400100	1	0	40	410540010	10	994001	0
400110	1	0	40	410540011	10	994101	0
400120	1	0	40	410540011	10	994111	0
400130	1	0	60	410540011	20	994121	0
400140	1	0	60	410540011	30	994131	0
400150	1	0	1080	410540011	40	994141	0
400210	1	0	40	410540021	10	994102	0
400220	1	0	40	410540021	10	994112	0
400230	1	0	60	410540021	20	994122	0
400240	1	0	60	410540021	30	994132	0
400250	1	0	1080	410540021	40	994142	0
600010	1	0	1080	410560001	15	996021	0
600020	1	0	40	410560002	15	996001	0
600030	1	0	40	410560003	15	996002	0
600040	1	0	60	410560004	15	996011	0
600050	1	0	60	410560005	15	996012	0
600060	1	0	60	410560006	15	996013	0
600070	1	0	40	410560007	15	996002	0
600080	1	0	60	410560008	15	996011	0
600090	1	0	1080	410560009	15	996022	0
600100	1	0	1080	410560010	15	996023	0
600110	1	0	40	410560011	15	996101	0
600120	1	0	40	410560011	15	996111	0
600130	1	0	60	410560011	15	996121	0
600140	1	0	60	410560011	15	996131	0
600150	1	0	1080	410560011	15	996141	0
600160	1	0	2100	410560011	30	996151	0
600170	1	0	2120	410560011	45	996161	0
600180	1	0	3120	410560011	60	996171	0
600190	1	0	3140	410560011	75	996181	0
600200	1	0	4160	410560011	90	996191	0
100010	1	1	40	410510001	5	991001	5
100020	1	1	40	410510002	5	991001	5
100030	1	1	40	410510003	5	991001	5
100040	1	1	40	410510004	5	991002	5
200010	1	1	40	410520001	5	992001	10
200020	1	1	40	410520002	5	992001	10
200030	1	1	40	410520003	5	992002	10
200040	1	1	40	410520004	5	992002	10
200050	1	1	40	410520005	5	992003	10
200060	1	1	40	410520006	5	992001	10
300010	1	1	40	410530001	5	993001	50
300020	1	1	40	410530002	5	993001	50
300030	1	1	40	410530003	5	993001	50
300040	1	1	40	410530004	5	993002	50
300050	1	1	40	410530005	5	993002	50
300060	1	1	40	410530006	5	993002	50
300070	1	1	40	410530007	5	993003	50
300080	1	1	40	410530008	5	993003	50
300090	1	1	40	410530009	5	993003	50
300100	1	1	40	410530010	5	993003	50
300110	1	1	40	410530011	5	993003	50
300120	1	1	40	410530012	5	993003	50
300130	1	1	40	410530013	5	993003	50
300140	1	1	40	410530014	5	993003	50
300150	1	1	40	410530015	5	993003	50
400010	1	1	80	410540001	10	994011	500
400020	1	1	40	410540002	10	994001	500
400030	1	1	80	410540003	10	994013	500
400040	1	1	80	410540004	10	994012	500
400050	1	1	40	410540005	10	994002	500
400060	1	1	40	410540006	10	994002	500
400070	1	1	40	410540007	10	994002	500
400080	1	1	40	410540008	10	994003	500
400090	1	1	80	410540009	10	994013	500
400100	1	1	40	410540010	10	994001	500
400110	1	1	40	410540011	10	994101	500
400120	1	1	40	410540011	20	994111	500
400130	1	1	80	410540011	30	994121	500
400140	1	1	80	410540011	40	994131	500
400150	1	1	2100	410540011	50	994141	1000
400210	1	1	40	410540021	10	994102	500
400220	1	1	40	410540021	20	994112	500
400230	1	1	80	410540021	30	994122	500
400240	1	1	80	410540021	40	994132	500
400250	1	1	2100	410540021	50	994142	1000
600010	1	1	2100	410560001	15	996021	375
600020	1	1	40	410560002	15	996001	375
600030	1	1	40	410560003	15	996002	375
600040	1	1	80	410560004	15	996011	375
600050	1	1	80	410560005	15	996012	375
600060	1	1	80	410560006	15	996013	375
600070	1	1	40	410560007	15	996002	375
600080	1	1	80	410560008	15	996011	375
600090	1	1	2100	410560009	15	996022	375
600100	1	1	2100	410560010	15	996023	375
600110	1	1	40	410560011	15	996101	375
600120	1	1	40	410560011	15	996111	375
600130	1	1	80	410560011	15	996121	375
600140	1	1	80	410560011	15	996131	375
600150	1	1	2100	410560011	30	996141	375
600160	1	1	2120	410560011	45	996151	375
600170	1	1	3120	410560011	60	996161	375
600180	1	1	3140	410560011	75	996171	375
600190	1	1	4140	410560011	90	996181	375
600200	1	1	4160	410560011	105	996191	375
100010	1	2	60	410510001	10	991001	10
100020	1	2	60	410510002	10	991001	10
100030	1	2	60	410510003	10	991001	10
100040	1	2	60	410510004	10	991002	10
200010	1	2	60	410520001	10	992001	20
200020	1	2	60	410520002	10	992001	20
200030	1	2	60	410520003	10	992002	20
200040	1	2	60	410520004	10	992002	20
200050	1	2	60	410520005	10	992003	20
200060	1	2	60	410520006	10	992001	20
300010	1	2	60	410530001	10	993001	100
300020	1	2	60	410530002	10	993001	100
300030	1	2	60	410530003	10	993001	100
300040	1	2	60	410530004	10	993002	100
300050	1	2	60	410530005	10	993002	100
300060	1	2	60	410530006	10	993002	100
300070	1	2	60	410530007	10	993003	100
300080	1	2	60	410530008	10	993003	100
300090	1	2	60	410530009	10	993003	100
300100	1	2	60	410530010	10	993003	100
300110	1	2	60	410530011	10	993003	100
300120	1	2	60	410530012	10	993003	100
300130	1	2	60	410530013	10	993003	100
300140	1	2	60	410530014	10	993003	100
300150	1	2	60	410530015	10	993003	100
400010	1	2	1080	410540001	20	994011	1000
400020	1	2	60	410540002	20	994001	1000
400030	1	2	1080	410540003	20	994013	1000
400040	1	2	1080	410540004	20	994012	1000
400050	1	2	60	410540005	20	994002	1000
400060	1	2	60	410540006	20	994002	1000
400070	1	2	60	410540007	20	994002	1000
400080	1	2	60	410540008	20	994003	1000
400090	1	2	1080	410540009	20	994013	1000
400100	1	2	60	410540010	20	994001	1000
400110	1	2	60	410540011	20	994101	1000
400120	1	2	60	410540011	30	994111	1000
400130	1	2	1080	410540011	40	994121	1000
400140	1	2	1080	410540011	50	994131	1000
400150	1	2	2120	410540011	60	994141	2000
400210	1	2	60	410540021	20	994102	1000
400220	1	2	60	410540021	30	994112	1000
400230	1	2	1080	410540021	40	994122	1000
400240	1	2	1080	410540021	50	994132	1000
400250	1	2	2120	410540021	60	994142	2000
600010	1	2	2120	410560001	30	996021	750
600020	1	2	60	410560002	30	996001	750
600030	1	2	60	410560003	30	996002	750
600040	1	2	1080	410560004	30	996011	750
600050	1	2	1080	410560005	30	996012	750
600060	1	2	1080	410560006	30	996013	750
600070	1	2	60	410560007	30	996002	750
600080	1	2	1080	410560008	30	996011	750
600090	1	2	2120	410560009	30	996022	750
600100	1	2	2120	410560010	30	996023	750
600110	1	2	60	410560011	30	996101	750
600120	1	2	60	410560011	30	996111	750
600130	1	2	1080	410560011	30	996121	750
600140	1	2	1080	410560011	30	996131	750
600150	1	2	2120	410560011	45	996141	750
600160	1	2	3120	410560011	60	996151	750
600170	1	2	3140	410560011	75	996161	750
600180	1	2	4140	410560011	90	996171	750
600190	1	2	4160	410560011	105	996181	750
600200	1	2	5160	410560011	120	996191	750
100010	1	3	60	410510001	15	991001	20
100020	1	3	60	410510002	15	991001	20
100030	1	3	60	410510003	15	991001	20
100040	1	3	60	410510004	15	991002	20
200010	1	3	60	410520001	15	992001	40
200020	1	3	60	410520002	15	992001	40
200030	1	3	60	410520003	15	992002	40
200040	1	3	60	410520004	15	992002	40
200050	1	3	60	410520005	15	992003	40
200060	1	3	60	410520006	15	992001	40
300010	1	3	60	410530001	15	993001	200
300020	1	3	60	410530002	15	993001	200
300030	1	3	60	410530003	15	993001	200
300040	1	3	60	410530004	15	993002	200
300050	1	3	60	410530005	15	993002	200
300060	1	3	60	410530006	15	993002	200
300070	1	3	60	410530007	15	993003	200
300080	1	3	60	410530008	15	993003	200
300090	1	3	60	410530009	15	993003	200
300100	1	3	60	410530010	15	993003	200
300110	1	3	60	410530011	15	993003	200
300120	1	3	60	410530012	15	993003	200
300130	1	3	60	410530013	15	993003	200
300140	1	3	60	410530014	15	993003	200
300150	1	3	60	410530015	15	993003	200
400010	1	3	1080	410540001	30	994011	2000
400020	1	3	60	410540002	30	994001	2000
400030	1	3	1080	410540003	30	994013	2000
400040	1	3	1080	410540004	30	994012	2000
400050	1	3	60	410540005	30	994002	2000
400060	1	3	60	410540006	30	994002	2000
400070	1	3	60	410540007	30	994002	2000
400080	1	3	60	410540008	30	994003	2000
400090	1	3	1080	410540009	30	994013	2000
400100	1	3	60	410540010	30	994001	2000
400110	1	3	60	410540011	30	994101	2000
400120	1	3	60	410540011	40	994111	2000
400130	1	3	1080	410540011	50	994121	2000
400140	1	3	1080	410540011	60	994131	2000
400150	1	3	3120	410540011	70	994141	4000
400210	1	3	60	410540021	30	994102	2000
400220	1	3	60	410540021	40	994112	2000
400230	1	3	1080	410540021	50	994122	2000
400240	1	3	1080	410540021	60	994132	2000
400250	1	3	3120	410540021	70	994142	4000
600010	1	3	3120	410560001	45	996021	1500
600020	1	3	60	410560002	45	996001	1500
600030	1	3	60	410560003	45	996002	1500
600040	1	3	1080	410560004	45	996011	1500
600050	1	3	1080	410560005	45	996012	1500
600060	1	3	1080	410560006	45	996013	1500
600070	1	3	60	410560007	45	996002	1500
600080	1	3	1080	410560008	45	996011	1500
600090	1	3	3120	410560009	45	996022	1500
600100	1	3	3120	410560010	45	996023	1500
600110	1	3	60	410560011	45	996101	1500
600120	1	3	60	410560011	45	996111	1500
600130	1	3	1080	410560011	45	996121	1500
600140	1	3	1080	410560011	45	996131	1500
600150	1	3	3120	410560011	60	996141	1500
600160	1	3	3140	410560011	75	996151	1500
600170	1	3	4140	410560011	90	996161	1500
600180	1	3	4160	410560011	105	996171	1500
600190	1	3	4160	410560011	120	996181	1500
600200	1	3	6180	410560011	135	996191	1500
100010	1	4	80	410510001	20	991001	35
100020	1	4	80	410510002	20	991001	35
100030	1	4	80	410510003	20	991001	35
100040	1	4	80	410510004	20	991002	35
200010	1	4	80	410520001	20	992001	70
200020	1	4	80	410520002	20	992001	70
200030	1	4	80	410520003	20	992002	70
200040	1	4	80	410520004	20	992002	70
200050	1	4	80	410520005	20	992003	70
200060	1	4	80	410520006	20	992001	70
300010	1	4	80	410530001	20	993001	350
300020	1	4	80	410530002	20	993001	350
300030	1	4	80	410530003	20	993001	350
300040	1	4	80	410530004	20	993002	350
300050	1	4	80	410530005	20	993002	350
300060	1	4	80	410530006	20	993002	350
300070	1	4	80	410530007	20	993003	350
300080	1	4	80	410530008	20	993003	350
300090	1	4	80	410530009	20	993003	350
300100	1	4	80	410530010	20	993003	350
300110	1	4	80	410530011	20	993003	350
300120	1	4	80	410530012	20	993003	350
300130	1	4	80	410530013	20	993003	350
300140	1	4	80	410530014	20	993003	350
300150	1	4	80	410530015	20	993003	350
400010	1	4	1100	410540001	40	994011	3500
400020	1	4	80	410540002	40	994001	3500
400030	1	4	1100	410540003	40	994013	3500
400040	1	4	1100	410540004	40	994012	3500
400050	1	4	80	410540005	40	994002	3500
400060	1	4	80	410540006	40	994002	3500
400070	1	4	80	410540007	40	994002	3500
400080	1	4	80	410540008	40	994003	3500
400090	1	4	1100	410540009	40	994013	3500
400100	1	4	80	410540010	40	994001	3500
400110	1	4	80	410540011	40	994101	3500
400120	1	4	80	410540011	50	994111	3500
400130	1	4	1100	410540011	60	994121	3500
400140	1	4	1100	410540011	70	994131	3500
400150	1	4	3140	410540011	80	994141	7000
400210	1	4	80	410540021	40	994102	3500
400220	1	4	80	410540021	50	994112	3500
400230	1	4	1100	410540021	60	994122	3500
400240	1	4	1100	410540021	70	994132	3500
400250	1	4	3140	410540021	80	994142	7000
600010	1	4	3140	410560001	60	996021	2625
600020	1	4	80	410560002	60	996001	2625
600030	1	4	80	410560003	60	996002	2625
600040	1	4	1100	410560004	60	996011	2625
600050	1	4	1100	410560005	60	996012	2625
600060	1	4	1100	410560006	60	996013	2625
600070	1	4	80	410560007	60	996002	2625
600080	1	4	1100	410560008	60	996011	2625
600090	1	4	3140	410560009	60	996022	2625
600100	1	4	3140	410560010	60	996023	2625
600110	1	4	80	410560011	60	996101	2625
600120	1	4	80	410560011	60	996111	2625
600130	1	4	1100	410560011	60	996121	2625
600140	1	4	1100	410560011	60	996131	2625
600150	1	4	3140	410560011	75	996141	2625
600160	1	4	4140	410560011	90	996151	2625
600170	1	4	4160	410560011	105	996161	2625
600180	1	4	4160	410560011	120	996171	2625
600190	1	4	5160	410560011	135	996181	2625
600200	1	4	6180	410560011	150	996191	2625
100010	1	5	1080	410510001	25	991001	55
100020	1	5	1080	410510002	25	991001	55
100030	1	5	1080	410510003	25	991001	55
100040	1	5	1080	410510004	25	991002	55
200010	1	5	1080	410520001	25	992001	110
200020	1	5	1080	410520002	25	992001	110
200030	1	5	1080	410520003	25	992002	110
200040	1	5	1080	410520004	25	992002	110
200050	1	5	1080	410520005	25	992003	110
200060	1	5	1080	410520006	25	992001	110
300010	1	5	1080	410530001	25	993001	550
300020	1	5	1080	410530002	25	993001	550
300030	1	5	1080	410530003	25	993001	550
300040	1	5	1080	410530004	25	993002	550
300050	1	5	1080	410530005	25	993002	550
300060	1	5	1080	410530006	25	993002	550
300070	1	5	1080	410530007	25	993003	550
300080	1	5	1080	410530008	25	993003	550
300090	1	5	1080	410530009	25	993003	550
300100	1	5	1080	410530010	25	993003	550
300110	1	5	1080	410530011	25	993003	550
300120	1	5	1080	410530012	25	993003	550
300130	1	5	1080	410530013	25	993003	550
300140	1	5	1080	410530014	25	993003	550
300150	1	5	1080	410530015	25	993003	550
400010	1	5	2100	410540001	50	994011	5500
400020	1	5	1080	410540002	50	994001	5500
400030	1	5	2100	410540003	50	994013	5500
400040	1	5	2100	410540004	50	994012	5500
400050	1	5	1080	410540005	50	994002	5500
400060	1	5	1080	410540006	50	994002	5500
400070	1	5	1080	410540007	50	994002	5500
400080	1	5	1080	410540008	50	994003	5500
400090	1	5	2100	410540009	50	994013	5500
400100	1	5	1080	410540010	50	994001	5500
400110	1	5	1080	410540011	50	994101	5500
400120	1	5	1080	410540011	60	994111	5500
400130	1	5	2100	410540011	70	994121	5500
400140	1	5	2100	410540011	80	994131	5500
400150	1	5	4140	410540011	90	994141	11000
400210	1	5	1080	410540021	50	994102	5500
400220	1	5	1080	410540021	60	994112	5500
400230	1	5	2100	410540021	70	994122	5500
400240	1	5	2100	410540021	80	994132	5500
400250	1	5	4140	410540021	90	994142	11000
600010	1	5	4140	410560001	75	996021	4125
600020	1	5	1080	410560002	75	996001	4125
600030	1	5	1080	410560003	75	996002	4125
600040	1	5	2100	410560004	75	996011	4125
600050	1	5	2100	410560005	75	996012	4125
600060	1	5	2100	410560006	75	996013	4125
600070	1	5	1080	410560007	75	996002	4125
600080	1	5	2100	410560008	75	996011	4125
600090	1	5	4140	410560009	75	996022	4125
600100	1	5	4140	410560010	75	996023	4125
600110	1	5	1080	410560011	75	996101	4125
600120	1	5	1080	410560011	75	996111	4125
600130	1	5	2100	410560011	75	996121	4125
