商品ID（1~73为已提审老ID，不能动【74~99的，不能用，会与韩国ID冲突】，新加的，充值元宝类100~199，周卡月卡类200~250，礼包类251~499，基金类500~599，摇钱树类600~650，幸运星礼包651~799，成长礼包800~1000，预留类型1001开始）74~99的ID不用	有效标志	类型（元宝、周月卡、礼包等等，服务器用于统计，客户端用于显示）1元宝，2周卡，3月卡，4礼包，5基金，6摇钱树，7幸运星礼包，8成长礼包）	商品名称	价格（新台币）	购买次数限制	IOS小额充值次数限制	购买状态限制	首冲成就ID	获得元宝数量（聚宝盆摇宝时，用作标识每一档的位域）	获得奖励ID（周卡、月卡、每日充值礼包之类的通过这个功能实现，以前是道具ID，现在改成奖励ID）	触发红包ID	获得VIP积分	韩国谷歌商品id	韩国OneStore商品id	新台币计费点	越南盾计费点	韩国OneStore商品id	图标	描述	联想渠道编码	酷派渠道编码	三星渠道ID	右上角标签的图片	右上角标签的文字	商品名称动态脚本	官网包	IOS包	GOOGLE包
[K][C][S]Id	[S]Valid	[C][S]Type	[C][S]ProductName	[C][S]Price	[C][S]TimeLimist	[C][S]IOSTimesLimist	[C][S]StateLimit	[C][S]DoubleAcm	[C][S]GetNumber	[C][S]GetItemID	[S]RedPacket	[S]VIPScore	[C][S]GooglePID	[C][S]OneStorePID	[C]TwID	[C]VNDID	[C][S]IOSPID	[C]Icon	[C]Description	[C]LenovoID	[C]CoopadID	[C]SamsungID	[C]TRTagSprite	[C]TRTagDesc	[C]nameFunc	[C]OFFWebPack	[C]IOSPack	[C]GOOGLEPack
8	1	3	月卡	150	0	0	0	2310	300	40507006	0	1500	0	0	csj.nt.yueka150	0	0	vip_02	首购\n<color=#FF8333FF>6</color>折	0	0	0	base_tagHong	推荐	0	1	1	1
7	1	2	周卡	90	0	0	0	2309	200	40507005	0	900	0	0	csj.nt.week90	0	0	vip_01	首购\n<color=#FF8333FF>3.3</color>折	0	0	0	base_tagHong	推荐	0	1	1	1
199	1	1	180元宝	90	0	0	0	2876	180	0	0	900	0	0	csj.nt.90	0	0	vip_03	0	0	0	0	base_tagZi	超值	"local a,b = NumRestrictionManager.GetNum(191); if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) and a == 1 then return ds(190531); else return ds(190530); end;"	0	1	1
1	1	1	300元宝	150	0	261	0	2324	300	40051910	0	1500	0	0	csj.nt.150	0	0	vip_03	0	0	0	0	base_tagZi	超值	"local a,b = NumRestrictionManager.GetNum(191); if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) and a == 1 then return ds(180814); else return ds(180808); end;"	0	1	1
2	1	1	600元宝	300	0	262	0	2325	600	40051911	0	3000	0	0	csj.nt.300	0	0	vip_04	0	0	0	0	base_tagZi	超值	"local a,b = NumRestrictionManager.GetNum(192);if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) and a == 1 then return ds(180815); else return ds(180809); end;"	0	1	1
15	1	1	980元宝	490	0	0	0	2326	980	40051921	0	4900	0	0	csj.nt.490	0	0	vip_05	0	0	0	0	base_tagZi	超值	"if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) then return ds(180834); else return ds(180833); end;"	0	1	1
3	1	1	2010元宝	990	0	0	0	2327	2010	40051922	0	9900	0	0	csj.nt.990	0	0	vip_05	0	0	0	0	base_tagZi	超值	"if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) then return ds(180816); else return ds(180810); end;"	0	1	1
4	1	1	3040元宝	1490	0	0	0	2328	3040	40051923	1601001	14900	0	0	csj.nt.1490	0	0	vip_06	0	0	0	0	base_tagZi	超值	"if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) then return ds(180817); else return ds(180811); end;"	0	1	1
5	1	1	4080元宝	1990	0	0	0	2329	4080	40051924	1601002	19900	0	0	csj.nt.1990	0	0	vip_07	0	0	0	0	base_tagZi	超值	"if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) then return ds(180818); else return ds(180812); end;"	0	1	1
6	1	1	6280元宝	2990	0	0	0	2330	6280	40051925	1601003	29900	0	0	csj.nt.2990	0	0	vip_08	0	0	0	0	base_tagZi	超值	"if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) then return ds(180819); else return ds(180813); end;"	0	1	1
18	1	1	12480元宝	5990	0	0	0	2860	12480	40051926	1601006	59900	0	0	csj.nt.5990	0	0	vip_08	0	0	0	0	base_tagZi	超值	"if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) then return ds(190533); else return ds(190532); end;"	0	0	1
9	1	4	每日白银礼包	30	390	0	90000040	0	70	40512010	0	300	0	0	csj.nt.30.lb	0	0	item10_005	0	0	0	0	0	0	0	1	1	1
10	1	4	每日黄金礼包	90	391	0	90000040	0	200	40512011	0	900	0	0	csj.nt.90.lb	0	0	item10_006	0	0	0	0	0	0	0	1	1	1
11	1	4	每日白金礼包	150	392	0	90000040	0	330	40512012	0	1500	0	0	csj.nt.150.lb	0	0	item10_007	0	0	0	0	0	0	0	1	1	1
12	1	5	成长基金	300	259	0	0	2307	700	0	0	3000	0	0	csj.jjj.300	0	0	item99_005	0	0	0	0	0	0	0	1	1	1
13	1	5	登录基金	450	260	0	0	2308	980	0	0	4500	0	0	csj.jjj.450	0	0	item99_005	0	0	0	0	0	0	0	1	1	1
14	1	8	新手成长礼	0	0	0	0	0	0	0	0	0	0	0	csj.gametaiwan.52	0	0	item10_005	0	0	0	0	0	0	0	1	1	1
21	1	8	新手豪华礼	0	0	0	0	0	0	0	0	0	0	0	csj.gametaiwan.53	0	0	item10_005	0	0	0	0	0	0	0	1	1	1
30	1	7	优惠幸运礼	0	0	0	0	0	0	0	0	0	0	0	csj.gametaiwan.54	0	0	item99_005	0	0	0	0	0	0	0	1	1	1
31	1	7	30元幸运礼	30	0	0	0	0	0	0	0	300	0	0	csj.gametaiwan.1	0	0	item99_005	0	0	0	0	0	0	0	1	1	1
651	1	7	50元幸运礼	50	0	0	0	0	0	0	0	500	0	0	csj.gametaiwan.55	0	0	item99_005	0	0	0	0	0	0	0	1	0	0
32	1	7	60元幸运礼	60	0	0	0	0	0	0	0	600	0	0	csj.gametaiwan.2	0	0	item99_006	0	0	0	0	0	0	0	0	1	1
33	1	7	90元幸运礼	90	0	0	0	0	0	0	0	900	0	0	csj.gametaiwan.3	0	0	item99_006	0	0	0	0	0	0	0	1	1	1
34	1	7	120元幸运礼	120	0	0	0	0	0	0	0	1200	0	0	csj.gametaiwan.4	0	0	item99_005	0	0	0	0	0	0	0	0	1	1
35	1	7	150元幸运礼	150	0	0	0	0	0	0	0	1500	0	0	csj.gametaiwan.5	0	0	item99_005	0	0	0	0	0	0	0	1	1	1
36	1	7	180元幸运礼	180	0	0	0	0	0	0	0	1800	0	0	csj.gametaiwan.6	0	0	item99_005	0	0	0	0	0	0	0	0	1	1
652	1	7	200元幸运礼	200	0	0	0	0	0	0	0	2000	0	0	csj.gametaiwan.56	0	0	item99_005	0	0	0	0	0	0	0	1	0	0
37	1	7	270元幸运礼	270	0	0	0	0	0	0	0	2700	0	0	csj.gametaiwan.7	0	0	item99_005	0	0	0	0	0	0	0	0	1	1
38	1	7	300元幸运礼	300	0	0	0	0	0	0	0	3000	0	0	csj.gametaiwan.8	0	0	item99_005	0	0	0	0	0	0	0	1	1	1
39	1	7	390元幸运礼	390	0	0	0	0	0	0	0	3900	0	0	csj.gametaiwan.9	0	0	item99_005	0	0	0	0	0	0	0	0	1	1
40	1	7	450元幸运礼	450	0	0	0	0	0	0	0	4500	0	0	csj.gametaiwan.10	0	0	item99_005	0	0	0	0	0	0	0	1	1	1
653	1	7	500元幸运礼	500	0	0	0	0	0	0	0	5000	0	0	csj.gametaiwan.57	0	0	item99_005	0	0	0	0	0	0	0	1	0	0
654	1	7	1000元幸运礼	1000	0	0	0	0	0	0	0	10000	0	0	csj.gametaiwan.58	0	0	item99_005	0	0	0	0	0	0	0	1	0	0
41	1	7	1120元幸运礼	1120	0	0	0	0	0	0	0	11200	0	0	csj.gametaiwan.11	0	0	item99_005	0	0	0	0	0	0	0	0	1	1
42	1	7	1490元幸运礼	1490	0	0	0	0	0	0	0	14900	0	0	csj.gametaiwan.12	0	0	item99_005	0	0	0	0	0	0	0	1	1	1
655	1	7	2000元幸运礼	2000	0	0	0	0	0	0	0	20000	0	0	csj.gametaiwan.59	0	0	item99_005	0	0	0	0	0	0	0	1	0	0
43	1	7	2090元幸运礼	2090	0	0	0	0	0	0	0	20900	0	0	csj.gametaiwan.13	0	0	item99_005	0	0	0	0	0	0	0	0	1	1
44	1	7	2990元幸运礼	2990	0	0	0	0	0	0	0	29900	0	0	csj.gametaiwan.14	0	0	item99_005	0	0	0	0	0	0	0	0	1	1
45	1	7	3000元幸运礼	3000	0	0	0	0	0	0	0	30000	0	0	csj.gametaiwan.15	0	0	item99_005	0	0	0	0	0	0	0	1	0	0
46	1	6	30元摇宝	30	134	0	90000040	0	1	0	0	300	0	0	csj.nt.30.box	0	0	0	0	0	0	0	0	0	0	1	1	1
47	1	6	90元摇宝	90	135	0	90000040	0	2	0	0	900	0	0	csj.nt.90.box	0	0	0	0	0	0	0	0	0	0	1	1	1
48	1	6	150元摇宝	150	136	0	90000040	0	4	0	0	1500	0	0	csj.nt.150.box	0	0	0	0	0	0	0	0	0	0	1	1	1
49	1	6	300元摇宝	300	137	0	90000040	0	8	0	0	3000	0	0	csj.nt.300.box	0	0	0	0	0	0	0	0	0	0	1	1	1
50	1	8	30元扣豪礼	30	0	0	0	0	0	0	0	300	0	0	csj.gametaiwan.16	0	0	item10_005	0	0	0	0	0	0	0	1	1	1
800	1	8	50元扣豪礼	50	0	0	0	0	0	0	0	500	0	0	csj.gametaiwan.60	0	0	item10_005	0	0	0	0	0	0	0	1	0	0
51	1	8	60元扣豪礼	60	0	0	0	0	0	0	0	600	0	0	csj.gametaiwan.17	0	0	item10_006	0	0	0	0	0	0	0	0	1	1
