{
[(5120,4770,94)(5010,4770,94)(5010,4930,94)]
[(5120,4770,94)(5010,4930,94)(5120,5120,94)]
[(4745,5120,94)(5120,5120,94)(4995,4945,94)]
[(4745,5120,94)(4995,4945,94)(4745,4945,94)]
[(5120,5120,94)(5010,4930,94)(4995,4945,94)]
[(4745,6330,94)(4745,6400,94)(5120,6400,94)]
[(4730,6315,94)(4745,6330,94)(5120,6400,94)]
[(4730,6315,94)(5120,6400,94)(5120,5120,94)]
[(4730,6315,94)(5120,5120,94)(4745,5540,94)]
[(5120,5120,94)(4745,5120,94)(4745,5540,94)]
[(4730,6315,94)(4745,5540,94)(4730,5555,94)]
[(4730,5555,94)(4055,5555,94)(4055,6315,94)]
[(4730,5555,94)(4055,6315,94)(4730,6315,94)]
[(5010,6940,94)(5010,7100,94)(5120,7100,94)]
[(5010,6940,94)(5120,7100,94)(5120,6400,94)]
[(4745,6400,94)(4745,6925,94)(4995,6925,94)]
[(4745,6400,94)(4995,6925,94)(5120,6400,94)]
[(4995,6925,94)(5010,6940,94)(5120,6400,94)]
[(5120,5120,94)(6400,5120,94)(6400,4770,94)]
[(5120,5120,94)(6400,4770,94)(5120,4770,94)]
[(5120,6400,94)(6400,6400,94)(6400,5120,94)]
[(5120,6400,94)(6400,5120,94)(5120,5120,94)]
[(5120,7100,94)(6400,7100,94)(6400,6400,94)]
[(5120,7100,94)(6400,6400,94)(5120,6400,94)]
[(6640,4930,94)(6640,4770,94)(6400,4770,94)]
[(6905,5120,94)(6905,4945,94)(6655,4945,94)]
[(6905,5120,94)(6655,4945,94)(6400,5120,94)]
[(6640,4930,94)(6400,4770,94)(6400,5120,94)]
[(6640,4930,94)(6400,5120,94)(6655,4945,94)]
[(6400,6400,94)(6905,6400,94)(6905,6330,94)]
[(6400,6400,94)(6905,6330,94)(6920,6315,94)]
[(6400,6400,94)(6920,6315,94)(6920,5555,94)]
[(6400,6400,94)(6920,5555,94)(6905,5540,94)]
[(6400,6400,94)(6905,5540,94)(6400,5120,94)]
[(6905,5540,94)(6905,5120,94)(6400,5120,94)]
[(6920,6315,94)(7620,6315,94)(7620,5555,94)]
[(6920,6315,94)(7620,5555,94)(6920,5555,94)]
[(6400,7100,94)(6640,7100,94)(6640,6940,94)]
[(6400,7100,94)(6640,6940,94)(6655,6925,94)]
[(6400,7100,94)(6655,6925,94)(6905,6400,94)]
[(6400,7100,94)(6905,6400,94)(6400,6400,94)]
[(6655,6925,94)(6905,6925,94)(6905,6400,94)]
[(34030,28045,653)(33905,28050,653)(33910,28160,653)]
[(34030,28045,653)(33910,28160,653)(34560,28160,644)]
[(34560,27800,635)(34045,27800,635)(34045,28030,653)]
[(34560,27800,635)(34045,28030,653)(34560,28160,644)]
[(34045,28030,653)(34030,28045,653)(34560,28160,644)]
[(33910,29435,653)(33925,29440,653)(34560,29440,653)]
[(33910,29435,653)(34560,29440,653)(34560,28160,644)]
[(33910,29435,653)(34560,28160,644)(33910,28160,653)]
[(33925,29440,653)(33935,29460,644)(33995,29460,644)]
[(33925,29440,653)(33995,29460,644)(34560,29440,653)]
[(33995,29865,644)(33570,29865,635)(33570,30720,635)]
[(34560,29440,653)(33995,29460,644)(34010,29475,644)]
[(34560,29440,653)(34010,29475,644)(34010,29850,644)]
[(34560,29440,653)(34010,29850,644)(33995,29865,644)]
[(34560,29440,653)(33995,29865,644)(33570,30720,635)]
[(34560,29440,653)(33570,30720,635)(34560,30720,635)]
[(33570,32000,635)(34560,32000,635)(34560,30720,635)]
[(33570,32000,635)(34560,30720,635)(33570,30720,635)]
[(33570,33280,635)(34560,33280,635)(34560,32000,635)]
[(33570,33280,635)(34560,32000,635)(33570,32000,635)]
[(33570,34560,635)(34560,34560,635)(34560,33280,635)]
[(33570,34560,635)(34560,33280,635)(33570,33280,635)]
[(33570,35840,635)(34560,35840,635)(34560,34560,635)]
[(33570,35840,635)(34560,34560,635)(33570,34560,635)]
[(33995,37115,644)(33925,37120,635)(34560,37120,635)]
[(34010,37100,644)(33995,37115,644)(34560,37120,635)]
[(34010,37040,644)(34010,37100,644)(34560,37120,635)]
[(33995,37025,644)(34010,37040,644)(34560,37120,635)]
[(33995,37025,644)(34560,37120,635)(34560,35840,635)]
[(33995,37025,644)(34560,35840,635)(33570,35840,635)]
[(33570,35840,635)(33570,37025,635)(33995,37025,644)]
[(34560,37120,635)(33925,37120,635)(33925,37565,653)]
[(34560,37120,635)(33925,37565,653)(33905,37580,653)]
[(34560,37120,635)(33905,37580,653)(33910,38400,653)]
[(34560,37120,635)(33910,38400,653)(34560,38400,644)]
[(33910,38400,653)(33910,38975,653)(33925,38985,653)]
[(33910,38400,653)(33925,38985,653)(34560,39200,635)]
[(33910,38400,653)(34560,39200,635)(34560,38400,644)]
[(33925,38985,653)(33925,39200,635)(34560,39200,635)]
[(34560,28160,644)(35840,28160,644)(35840,27800,635)]
[(34560,28160,644)(35840,27800,635)(34560,27800,635)]
[(34560,29440,653)(35840,29440,635)(35840,28160,644)]
[(34560,29440,653)(35840,28160,644)(34560,28160,644)]
[(35460,29680,635)(35840,29680,635)(35840,29440,635)]
[(35460,29680,635)(35840,29440,635)(34560,29440,653)]
[(34560,30720,635)(35445,30720,635)(35445,29695,635)]
[(34560,30720,635)(35445,29695,635)(34560,29440,653)]
[(35445,29695,635)(35460,29680,635)(34560,29440,653)]
[(35440,32000,635)(35445,30720,635)(34560,30720,635)]
[(35440,32000,635)(34560,30720,635)(34560,32000,635)]
[(35440,32185,635)(35440,32000,635)(34560,32000,635)]
[(35455,32200,635)(35440,32185,635)(34560,32000,635)]
[(35455,32200,635)(34560,32000,635)(34560,33280,635)]
[(35455,32200,635)(34560,33280,635)(35840,33280,644)]
[(35840,33280,644)(35840,32200,635)(35455,32200,635)]
[(34560,34560,635)(35840,34560,635)(35840,33280,644)]
[(34560,34560,635)(35840,33280,644)(34560,33280,635)]
[(35455,34695,635)(35840,34695,635)(35840,34560,635)]
[(35455,34695,635)(35840,34560,635)(34560,34560,635)]
[(34560,35840,635)(35440,35840,635)(35440,34710,635)]
[(34560,35840,635)(35440,34710,635)(34560,34560,635)]
[(35440,34710,635)(35455,34695,635)(34560,34560,635)]
[(35840,37120,635)(35840,37115,635)(35460,37115,635)]
[(35840,37120,635)(35460,37115,635)(34560,37120,635)]
[(35445,37100,635)(35440,35840,635)(34560,35840,635)]
[(35445,37100,635)(34560,35840,635)(34560,37120,635)]
[(34560,37120,635)(35460,37115,635)(35445,37100,635)]
[(34560,38400,644)(35840,38400,635)(35840,37120,635)]
[(34560,38400,644)(35840,37120,635)(34560,37120,635)]
[(34560,39200,635)(35840,39200,635)(35840,38400,635)]
[(34560,39200,635)(35840,38400,635)(34560,38400,644)]
[(35840,28160,644)(37120,28160,644)(37120,27800,635)]
[(35840,28160,644)(37120,27800,635)(35840,27800,635)]
