{
[(22016,5632,3858)(22016,5610,3858)(21992,5606,3858)]
[(22016,5632,3858)(21992,5606,3858)(21840,5632,3858)]
[(22016,5632,3858)(22152,5632,3858)(22016,5610,3858)]
[(20992,6144,3858)(20992,5910,3858)(20872,5970,3858)]
[(20992,6144,3858)(20872,5970,3858)(20700,6144,3858)]
[(21504,5684,3858)(21402,5700,3858)(21396,5706,3858)]
[(21504,6144,3858)(21504,5684,3858)(21396,5706,3858)]
[(21504,6144,3858)(21396,5706,3858)(20992,5910,3858)]
[(21504,6144,3858)(20992,5910,3858)(20992,6144,3858)]
[(22016,5632,3858)(21840,5632,3858)(21504,5684,3858)]
[(22016,5632,3858)(21504,5684,3858)(21504,6144,3858)]
[(22016,5632,3858)(21504,6144,3858)(22016,6144,3858)]
[(22528,5690,3858)(22152,5632,3858)(22016,5632,3858)]
[(22528,5690,3858)(22016,5632,3858)(22016,6144,3858)]
[(22528,5690,3858)(22016,6144,3858)(22528,6144,3858)]
[(22592,5704,3858)(22590,5700,3858)(22528,5690,3858)]
[(22592,5704,3858)(22528,5690,3858)(22528,6144,3858)]
[(22592,5704,3858)(22528,6144,3858)(23040,6144,3858)]
[(22592,5704,3858)(23040,6144,3858)(23040,5932,3858)]
[(23040,6144,3858)(23292,6144,3858)(23122,5972,3858)]
[(23040,6144,3858)(23122,5972,3858)(23040,5932,3858)]
[(18402,6656,4228)(18432,6656,4228)(18432,6646,4228)]
[(18432,6656,4228)(18880,6656,4228)(18834,6514,4228)]
[(18432,6656,4228)(18834,6514,4228)(18432,6646,4228)]
[(20480,6656,3858)(20480,6364,3858)(20452,6390,3858)]
[(20480,6656,3858)(20452,6390,3858)(20318,6656,3858)]
[(20992,6144,3858)(20700,6144,3858)(20480,6364,3858)]
[(20992,6144,3858)(20480,6364,3858)(20480,6656,3858)]
[(20992,6144,3858)(20480,6656,3858)(20992,6656,3858)]
[(20992,6656,3858)(21504,6656,3858)(21504,6144,3858)]
[(20992,6656,3858)(21504,6144,3858)(20992,6144,3858)]
[(21504,6656,3858)(22016,6656,3858)(22016,6144,3858)]
[(21504,6656,3858)(22016,6144,3858)(21504,6144,3858)]
[(22016,6656,3858)(22528,6656,3858)(22528,6144,3858)]
[(22016,6656,3858)(22528,6144,3858)(22016,6144,3858)]
[(22528,6656,3858)(23040,6656,3858)(23040,6144,3858)]
[(22528,6656,3858)(23040,6144,3858)(22528,6144,3858)]
[(23552,6656,3858)(23552,6418,3858)(23540,6390,3858)]
[(23552,6656,3858)(23540,6390,3858)(23292,6144,3858)]
[(23552,6656,3858)(23292,6144,3858)(23040,6144,3858)]
[(23552,6656,3858)(23040,6144,3858)(23040,6656,3858)]
[(23552,6656,3858)(23674,6656,3858)(23552,6418,3858)]
[(16830,7168,4228)(16896,7168,4228)(16896,7140,4228)]
[(16896,7140,4228)(16896,7168,4228)(17408,7168,4228)]
[(16896,7140,4228)(17408,7168,4228)(17408,6936,4228)]
[(17408,6936,4228)(17408,7168,4228)(17920,7168,4228)]
[(17408,6936,4228)(17920,7168,4228)(17920,6730,4228)]
[(18138,6742,4228)(18126,6742,4228)(17920,7168,4228)]
[(18432,6656,4228)(18402,6656,4228)(18138,6742,4228)]
[(18432,6656,4228)(18138,6742,4228)(17920,7168,4228)]
[(18432,6656,4228)(17920,7168,4228)(18432,7168,4228)]
[(18118,6732,4228)(18092,6662,4228)(17920,6730,4228)]
[(18126,6742,4228)(18118,6732,4228)(17920,6730,4228)]
[(18126,6742,4228)(17920,6730,4228)(17920,7168,4228)]
[(18944,7168,4228)(18944,6854,4228)(18880,6656,4228)]
[(18944,7168,4228)(18880,6656,4228)(18432,6656,4228)]
[(18944,7168,4228)(18432,6656,4228)(18432,7168,4228)]
[(18944,7168,4228)(19048,7168,4228)(18944,6854,4228)]
[(20182,6920,3858)(20142,7168,3858)(20480,7168,3858)]
[(20182,6920,3858)(20480,7168,3858)(20480,6656,3858)]
[(20182,6920,3858)(20480,6656,3858)(20318,6656,3858)]
[(20480,7168,3858)(20992,7168,3858)(20992,6656,3858)]
[(20480,7168,3858)(20992,6656,3858)(20480,6656,3858)]
[(20992,7168,3858)(21504,7168,3858)(21504,6656,3858)]
[(20992,7168,3858)(21504,6656,3858)(20992,6656,3858)]
[(21504,7168,3858)(22016,7168,3858)(22016,6656,3858)]
[(21504,7168,3858)(22016,6656,3858)(21504,6656,3858)]
[(22016,7168,3858)(22528,7168,3858)(22528,6656,3858)]
[(22016,7168,3858)(22528,6656,3858)(22016,6656,3858)]
[(22528,7168,3858)(23040,7168,3858)(23040,6656,3858)]
[(22528,7168,3858)(23040,6656,3858)(22528,6656,3858)]
[(23040,7168,3858)(23552,7168,3858)(23552,6656,3858)]
[(23040,7168,3858)(23552,6656,3858)(23040,6656,3858)]
[(23552,7168,3858)(23848,7168,3858)(23810,6920,3858)]
[(23552,7168,3858)(23810,6920,3858)(23674,6656,3858)]
[(23552,7168,3858)(23674,6656,3858)(23552,6656,3858)]
[(15872,7680,4228)(15872,7482,4228)(15646,7534,4228)]
[(15872,7680,4228)(15646,7534,4228)(15682,7680,4228)]
[(15872,7482,4228)(15872,7680,4228)(16384,7680,4228)]
[(15872,7482,4228)(16384,7680,4228)(16384,7360,4228)]
[(16480,7306,4228)(16472,7310,4228)(16480,7326,4228)]
[(16480,7306,4228)(16480,7326,4228)(16830,7168,4228)]
[(16474,7340,4228)(16384,7360,4228)(16384,7680,4228)]
[(16480,7334,4228)(16474,7340,4228)(16384,7680,4228)]
[(16480,7334,4228)(16384,7680,4228)(16896,7680,4228)]
[(16480,7334,4228)(16896,7680,4228)(16896,7168,4228)]
[(16480,7334,4228)(16896,7168,4228)(16830,7168,4228)]
[(16830,7168,4228)(16480,7326,4228)(16480,7334,4228)]
[(16896,7680,4228)(17408,7680,4228)(17408,7168,4228)]
[(16896,7680,4228)(17408,7168,4228)(16896,7168,4228)]
[(17408,7680,4228)(17920,7680,4228)(17920,7168,4228)]
[(17408,7680,4228)(17920,7168,4228)(17408,7168,4228)]
[(17920,7680,4228)(18432,7680,4228)(18432,7168,4228)]
[(17920,7680,4228)(18432,7168,4228)(17920,7168,4228)]
[(18432,7680,4228)(18944,7680,4228)(18944,7168,4228)]
[(18432,7680,4228)(18944,7168,4228)(18432,7168,4228)]
[(18944,7680,4228)(19456,7680,4223)(19202,7604,4223)]
[(18944,7680,4228)(19202,7604,4223)(19194,7604,4228)]
[(19456,7680,4223)(19456,7604,4223)(19202,7604,4223)]
[(19202,7604,4223)(19456,7604,4223)(19456,7528,4223)]
[(18944,7680,4228)(19194,7604,4228)(19186,7596,4228)]
[(19186,7596,4228)(19048,7168,4228)(18944,7168,4228)]
[(19186,7596,4228)(18944,7168,4228)(18944,7680,4228)]
[(19456,7528,4223)(19456,7680,4223)(19968,7680,3973)]
[(19456,7528,4223)(19968,7680,3973)(19968,7376,3922)]
[(20098,7416,3858)(20092,7416,3861)(19968,7680,3973)]
[(20480,7168,3858)(20142,7168,3858)(20106,7406,3858)]
[(20106,7406,3858)(20098,7416,3858)(19968,7680,3973)]
[(20106,7406,3858)(19968,7680,3973)(20480,7680,3858)]
[(20106,7406,3858)(20480,7680,3858)(20480,7168,3858)]
[(20086,7410,3863)(20068,7346,3861)(19968,7376,3922)]
[(20092,7416,3861)(20086,7410,3863)(19968,7376,3922)]
[(20092,7416,3861)(19968,7376,3922)(19968,7680,3973)]
[(20480,7680,3858)(20992,7680,3858)(20992,7168,3858)]
[(20480,7680,3858)(20992,7168,3858)(20480,7168,3858)]
[(20992,7680,3858)(21504,7680,3858)(21504,7168,3858)]
[(20992,7680,3858)(21504,7168,3858)(20992,7168,3858)]
