{
[(32424,8139,1690)(32424,7457,1690)(31239,7457,1690)]
[(32452,8167,1690)(32424,8139,1690)(31239,7457,1690)]
[(32452,8167,1690)(31239,7457,1690)(31239,9557,1680)]
[(32452,8167,1690)(31239,9557,1680)(33451,9557,1680)]
[(33451,9557,1680)(33451,8167,1690)(32452,8167,1690)]
[(33777,8195,1690)(33777,8167,1690)(33451,8167,1690)]
[(33805,8223,1690)(33777,8195,1690)(33451,8167,1690)]
[(33805,8223,1690)(33451,8167,1690)(33451,9557,1680)]
[(33805,8223,1690)(33451,9557,1680)(34795,9557,1676)]
[(33805,8223,1690)(34795,9557,1676)(34645,9091,1680)]
[(34795,9557,1676)(34776,9119,1676)(34673,9119,1680)]
[(34795,9557,1676)(34673,9119,1680)(34645,9091,1680)]
[(34645,9091,1680)(34645,8755,1690)(33805,8223,1690)]
[(31239,9557,1680)(31239,9688,1680)(31939,9688,1680)]
[(31239,9557,1680)(31939,9688,1680)(33451,9557,1680)]
[(31967,9716,1680)(31976,9875,1676)(33451,9828,1676)]
[(31967,9716,1680)(33451,9828,1676)(33451,9557,1680)]
[(31967,9716,1680)(33451,9557,1680)(31939,9688,1680)]
[(34692,9791,1676)(34795,9791,1676)(34795,9557,1676)]
[(34673,9809,1676)(34692,9791,1676)(34795,9557,1676)]
[(34673,9809,1676)(34795,9557,1676)(33451,9557,1680)]
[(34673,9809,1676)(33451,9557,1680)(34029,9809,1676)]
[(33451,9557,1680)(33451,9828,1676)(34029,9809,1676)]
[(34057,10239,1890)(34029,10267,1890)(34664,10267,1890)]
[(34673,9809,1676)(34029,9809,1676)(34057,9837,1690)]
[(34664,10267,1890)(34673,9809,1676)(34057,9837,1690)]
[(34664,10267,1890)(34057,9837,1690)(34057,10239,1890)]
[(34197,10995,1890)(34188,11377,1890)(35131,11405,1890)]
[(35840,9865,1890)(35159,9865,1890)(35159,10323,1890)]
[(34029,10267,1890)(33973,10267,1890)(33945,10351,1890)]
[(34029,10267,1890)(33945,10351,1890)(34692,10341,1890)]
[(34029,10267,1890)(34692,10341,1890)(34664,10313,1890)]
[(34664,10313,1890)(34664,10267,1890)(34029,10267,1890)]
[(33945,10351,1890)(34776,10351,1890)(34692,10341,1890)]
[(34039,10789,1890)(34067,10985,1890)(34169,10967,1890)]
[(33945,10351,1890)(33805,10668,1890)(33992,10743,1890)]
[(33945,10351,1890)(33992,10743,1890)(34039,10789,1890)]
[(33945,10351,1890)(34039,10789,1890)(34169,10967,1890)]
[(33945,10351,1890)(34169,10967,1890)(34776,10351,1890)]
[(35131,11405,1890)(35159,11452,1890)(35747,11452,1890)]
[(35840,9865,1890)(35159,10323,1890)(35131,10351,1890)]
[(35840,9865,1890)(35131,10351,1890)(35747,11452,1890)]
[(35840,9865,1890)(35747,11452,1890)(35840,11527,1890)]
[(34776,10351,1890)(34169,10967,1890)(34197,10995,1890)]
[(34776,10351,1890)(34197,10995,1890)(35131,11405,1890)]
[(34776,10351,1890)(35131,11405,1890)(35747,11452,1890)]
[(34776,10351,1890)(35747,11452,1890)(35131,10351,1890)]
[(36363,11947,1890)(37557,11947,1890)(37623,11620,1890)]
[(37623,11620,1890)(37613,10388,1890)(37240,10388,1890)]
[(37240,10388,1890)(36708,9977,1890)(36643,9977,1890)]
[(36615,9949,1890)(36615,9865,1890)(35840,9865,1890)]
[(36643,9977,1890)(36615,9949,1890)(35840,9865,1890)]
[(37240,10388,1890)(36643,9977,1890)(35840,9865,1890)]
[(37240,10388,1890)(35840,9865,1890)(35840,11527,1890)]
[(37240,10388,1890)(35840,11527,1890)(36363,11947,1890)]
[(37240,10388,1890)(36363,11947,1890)(37623,11620,1890)]
[(37361,12675,1890)(37408,12675,1890)(37408,12609,1890)]
[(37333,12703,1900)(37361,12675,1890)(37408,12609,1890)]
[(37333,12703,1900)(37408,12609,1890)(37557,11947,1890)]
[(37333,12703,1900)(37557,11947,1890)(36363,11947,1890)]
[(37333,12703,1900)(36363,11947,1890)(36736,12255,1890)]
[(36736,12255,1890)(36736,12675,1890)(36773,12703,1900)]
[(36736,12255,1890)(36773,12703,1900)(37333,12703,1900)]
[(37408,12609,1890)(37464,12563,1890)(37557,11947,1890)]
[(36773,14336,2035)(37333,14336,2035)(37333,12703,1900)]
[(36773,14336,2035)(37333,12703,1900)(36773,12703,1900)]
[(36708,16249,2422)(36475,16287,2422)(36428,16333,2422)]
[(36708,16249,2422)(36428,16333,2422)(37744,16333,2427)]
[(36708,16249,2422)(37744,16333,2427)(37361,16193,2422)]
[(36764,16212,2422)(36708,16249,2422)(37361,16193,2422)]
[(36764,16212,2422)(37361,16193,2422)(37315,16156,2422)]
[(37315,16156,2422)(37333,14336,2035)(36773,14336,2035)]
[(37315,16156,2422)(36773,14336,2035)(36764,16212,2422)]
[(38117,16725,2427)(38211,16604,2427)(37828,16315,2427)]
[(38117,16725,2427)(37828,16315,2427)(37744,16333,2427)]
[(36428,16333,2422)(35961,16632,2422)(36027,16725,2422)]
[(36428,16333,2422)(36027,16725,2422)(38117,16725,2427)]
