{
[(41984,38912,2481)(41984,38798,2481)(41836,38734,2481)]
[(41984,38912,2481)(41836,38734,2481)(41758,38912,2481)]
[(41984,38912,2481)(42240,38912,2481)(41984,38798,2481)]
[(41984,39424,2481)(41984,38912,2481)(41758,38912,2481)]
[(41984,39424,2481)(41758,38912,2481)(41532,39424,2481)]
[(42496,39024,2481)(42240,38912,2481)(41984,38912,2481)]
[(42496,39024,2481)(41984,38912,2481)(41984,39424,2481)]
[(42496,39024,2481)(41984,39424,2481)(42496,39424,2481)]
[(42496,39424,2481)(43008,39424,2481)(43008,39250,2481)]
[(42496,39424,2481)(43008,39250,2481)(42496,39024,2481)]
[(43008,39424,2481)(43402,39424,2481)(43008,39250,2481)]
[(39950,39936,2487)(40448,39936,2487)(40448,39794,2487)]
[(40448,39794,2487)(40448,39936,2487)(40960,39936,2487)]
[(40448,39794,2487)(40960,39936,2487)(40960,39648,2487)]
[(40960,39648,2487)(40960,39936,2487)(41472,39936,2487)]
[(40960,39648,2487)(41472,39936,2487)(41472,39502,2487)]
[(41498,39496,2487)(41472,39502,2487)(41472,39936,2487)]
[(41504,39490,2487)(41498,39496,2487)(41472,39936,2487)]
[(41984,39424,2481)(41532,39424,2481)(41504,39490,2487)]
[(41984,39424,2481)(41504,39490,2487)(41472,39936,2487)]
[(41984,39424,2481)(41472,39936,2487)(41984,39936,2481)]
[(41984,39936,2481)(42496,39936,2481)(42496,39424,2481)]
[(41984,39936,2481)(42496,39424,2481)(41984,39424,2481)]
[(42496,39936,2481)(43008,39936,2481)(43008,39424,2481)]
[(42496,39936,2481)(43008,39424,2481)(42496,39424,2481)]
[(43520,39476,2481)(43402,39424,2481)(43008,39424,2481)]
[(43520,39476,2481)(43008,39424,2481)(43008,39936,2481)]
[(43520,39476,2481)(43008,39936,2481)(43520,39936,2481)]
[(43520,39936,2481)(44032,39936,2481)(44032,39702,2481)]
[(43520,39936,2481)(44032,39702,2481)(43520,39476,2481)]
[(44032,39936,2481)(44544,39936,2481)(44544,39928,2481)]
[(44032,39936,2481)(44544,39928,2481)(44032,39702,2481)]
[(44544,39936,2481)(44562,39936,2481)(44544,39928,2481)]
[(38146,40448,2487)(38400,40448,2487)(38400,40376,2487)]
[(38400,40376,2487)(38400,40448,2487)(38912,40448,2487)]
[(38400,40376,2487)(38912,40448,2487)(38912,40230,2487)]
[(38912,40230,2487)(38912,40448,2487)(39424,40448,2487)]
[(38912,40230,2487)(39424,40448,2487)(39424,40084,2487)]
[(39424,40084,2487)(39424,40448,2487)(39936,40448,2487)]
[(39424,40084,2487)(39936,40448,2487)(39936,39940,2487)]
[(40448,39936,2487)(39950,39936,2487)(39936,39940,2487)]
[(40448,39936,2487)(39936,39940,2487)(39936,40448,2487)]
[(40448,39936,2487)(39936,40448,2487)(40448,40448,2487)]
[(40448,40448,2487)(40960,40448,2487)(40960,39936,2487)]
[(40448,40448,2487)(40960,39936,2487)(40448,39936,2487)]
[(40960,40448,2487)(41472,40448,2487)(41472,39936,2487)]
[(40960,40448,2487)(41472,39936,2487)(40960,39936,2487)]
[(41472,40448,2487)(41984,40448,2487)(41984,39936,2481)]
[(41472,40448,2487)(41984,39936,2481)(41472,39936,2487)]
[(41984,40448,2487)(42496,40448,2481)(42496,39936,2481)]
[(41984,40448,2487)(42496,39936,2481)(41984,39936,2481)]
[(42496,40448,2481)(43008,40448,2481)(43008,39936,2481)]
[(42496,40448,2481)(43008,39936,2481)(42496,39936,2481)]
[(43008,40448,2481)(43520,40448,2481)(43520,39936,2481)]
[(43008,40448,2481)(43520,39936,2481)(43008,39936,2481)]
[(43520,40448,2481)(44032,40448,2481)(44032,39936,2481)]
[(43520,40448,2481)(44032,39936,2481)(43520,39936,2481)]
[(44032,40448,2481)(44544,40448,2481)(44544,39936,2481)]
[(44032,40448,2481)(44544,39936,2481)(44032,39936,2481)]
[(44562,39936,2481)(44544,39936,2481)(44544,40448,2481)]
[(44562,39936,2481)(44544,40448,2481)(45056,40448,2481)]
[(44562,39936,2481)(45056,40448,2481)(45056,40152,2481)]
[(45056,40448,2481)(45568,40448,2481)(45568,40378,2481)]
[(45056,40448,2481)(45568,40378,2481)(45056,40152,2481)]
[(45568,40448,2481)(45724,40448,2481)(45568,40378,2481)]
[(36342,40960,2487)(36352,40960,2487)(36352,40956,2487)]
[(36352,40956,2487)(36352,40960,2487)(36864,40960,2487)]
[(36352,40956,2487)(36864,40960,2487)(36864,40812,2487)]
[(36864,40812,2487)(36864,40960,2487)(37376,40960,2487)]
[(36864,40812,2487)(37376,40960,2487)(37376,40666,2487)]
[(37376,40666,2487)(37376,40960,2487)(37888,40960,2487)]
[(37376,40666,2487)(37888,40960,2487)(37888,40520,2487)]
[(38400,40448,2487)(38146,40448,2487)(37888,40520,2487)]
[(38400,40448,2487)(37888,40520,2487)(37888,40960,2487)]
[(38400,40448,2487)(37888,40960,2487)(38400,40960,2487)]
[(38400,40960,2487)(38912,40960,2487)(38912,40448,2487)]
[(38400,40960,2487)(38912,40448,2487)(38400,40448,2487)]
[(38912,40960,2487)(39424,40960,2487)(39424,40448,2487)]
[(38912,40960,2487)(39424,40448,2487)(38912,40448,2487)]
[(39424,40960,2487)(39936,40960,2487)(39936,40448,2487)]
[(39424,40960,2487)(39936,40448,2487)(39424,40448,2487)]
[(39936,40960,2487)(40448,40960,2487)(40448,40448,2487)]
[(39936,40960,2487)(40448,40448,2487)(39936,40448,2487)]
[(40448,40960,2487)(40960,40960,2487)(40960,40448,2487)]
[(40448,40960,2487)(40960,40448,2487)(40448,40448,2487)]
[(40960,40960,2487)(41472,40960,2487)(41472,40448,2487)]
[(40960,40960,2487)(41472,40448,2487)(40960,40448,2487)]
[(41472,40960,2487)(41984,40960,2487)(41984,40448,2487)]
[(41472,40960,2487)(41984,40448,2487)(41472,40448,2487)]
[(41984,40960,2487)(42496,40960,2481)(42496,40448,2481)]
[(41984,40960,2487)(42496,40448,2481)(41984,40448,2487)]
[(42496,40960,2481)(43008,40960,2481)(43008,40448,2481)]
[(42496,40960,2481)(43008,40448,2481)(42496,40448,2481)]
[(43008,40960,2481)(43520,40960,2481)(43520,40448,2481)]
[(43008,40960,2481)(43520,40448,2481)(43008,40448,2481)]
[(43520,40960,2481)(44032,40960,2481)(44032,40448,2481)]
[(43520,40960,2481)(44032,40448,2481)(43520,40448,2481)]
[(44032,40960,2481)(44544,40960,2481)(44544,40448,2481)]
[(44032,40960,2481)(44544,40448,2481)(44032,40448,2481)]
[(44544,40960,2481)(45056,40960,2481)(45056,40448,2481)]
[(44544,40960,2481)(45056,40448,2481)(44544,40448,2481)]
[(45056,40960,2481)(45568,40960,2481)(45568,40448,2481)]
[(45056,40960,2481)(45568,40448,2481)(45056,40448,2481)]
[(46080,40604,2481)(45724,40448,2481)(45568,40448,2481)]
[(46080,40604,2481)(45568,40448,2481)(45568,40960,2481)]
[(46080,40604,2481)(45568,40960,2481)(46080,40960,2481)]
[(46080,40960,2481)(46592,40960,2481)(46592,40830,2481)]
[(46080,40960,2481)(46592,40830,2481)(46080,40604,2481)]
[(46592,40960,2481)(46886,40960,2481)(46592,40830,2481)]
[(33792,41360,2487)(33668,41286,2487)(33654,41282,2487)]
[(33792,41360,2487)(33654,41282,2487)(33544,41472,2487)]
[(33792,41360,2487)(33544,41472,2487)(33792,41472,2487)]
[(33792,41472,2487)(33984,41472,2487)(33792,41360,2487)]
[(34540,41472,2487)(34816,41472,2487)(34816,41392,2487)]
[(34816,41392,2487)(34816,41472,2487)(35328,41472,2487)]
[(34816,41392,2487)(35328,41472,2487)(35328,41248,2487)]
[(35328,41248,2487)(35328,41472,2487)(35840,41472,2487)]
[(35328,41248,2487)(35840,41472,2487)(35840,41102,2487)]
[(36352,41472,2487)(36352,40960,2487)(36342,40960,2487)]
[(36352,41472,2487)(36342,40960,2487)(35840,41102,2487)]
[(36352,41472,2487)(35840,41102,2487)(35840,41472,2487)]
[(36352,41472,2487)(36864,41472,2487)(36864,40960,2487)]
[(36352,41472,2487)(36864,40960,2487)(36352,40960,2487)]
[(36864,41472,2487)(37376,41472,2487)(37376,40960,2487)]
[(36864,41472,2487)(37376,40960,2487)(36864,40960,2487)]
[(37376,41472,2487)(37888,41472,2487)(37888,40960,2487)]
[(37376,41472,2487)(37888,40960,2487)(37376,40960,2487)]
[(37888,41472,2487)(38400,41472,2487)(38400,40960,2487)]
[(37888,41472,2487)(38400,40960,2487)(37888,40960,2487)]
[(38400,41472,2487)(38912,41472,2487)(38912,40960,2487)]
[(38400,41472,2487)(38912,40960,2487)(38400,40960,2487)]
[(38912,41472,2487)(39424,41472,2487)(39424,40960,2487)]
[(38912,41472,2487)(39424,40960,2487)(38912,40960,2487)]
[(39424,41472,2487)(39936,41472,2487)(39936,40960,2487)]
[(39424,41472,2487)(39936,40960,2487)(39424,40960,2487)]
[(39936,41472,2487)(40448,41472,2487)(40448,40960,2487)]
[(39936,41472,2487)(40448,40960,2487)(39936,40960,2487)]
[(40448,41472,2487)(40960,41472,2487)(40960,40960,2487)]
[(40448,41472,2487)(40960,40960,2487)(40448,40960,2487)]
[(40960,41472,2487)(41472,41472,2487)(41472,40960,2487)]
[(40960,41472,2487)(41472,40960,2487)(40960,40960,2487)]
[(41472,41472,2487)(41984,41472,2487)(41984,40960,2487)]
[(41472,41472,2487)(41984,40960,2487)(41472,40960,2487)]
[(41984,41472,2487)(42496,41472,2481)(42496,40960,2481)]
[(41984,41472,2487)(42496,40960,2481)(41984,40960,2487)]
[(42496,41472,2481)(43008,41472,2481)(43008,40960,2481)]
[(42496,41472,2481)(43008,40960,2481)(42496,40960,2481)]
[(43008,41472,2481)(43520,41472,2481)(43520,40960,2481)]
[(43008,41472,2481)(43520,40960,2481)(43008,40960,2481)]
[(43520,41472,2481)(44032,41472,2481)(44032,40960,2481)]
[(43520,41472,2481)(44032,40960,2481)(43520,40960,2481)]
[(44032,41472,2481)(44544,41472,2481)(44544,40960,2481)]
[(44032,41472,2481)(44544,40960,2481)(44032,40960,2481)]
[(44544,41472,2481)(45056,41472,2481)(45056,40960,2481)]
[(44544,41472,2481)(45056,40960,2481)(44544,40960,2481)]
[(45056,41472,2481)(45568,41472,2481)(45568,40960,2481)]
[(45056,41472,2481)(45568,40960,2481)(45056,40960,2481)]
[(45568,41472,2481)(46080,41472,2481)(46080,40960,2481)]
[(45568,41472,2481)(46080,40960,2481)(45568,40960,2481)]
[(46080,41472,2481)(46592,41472,2481)(46592,40960,2481)]
[(46080,41472,2481)(46592,40960,2481)(46080,40960,2481)]
[(47104,41056,2481)(46886,40960,2481)(46592,40960,2481)]
[(47104,41056,2481)(46592,40960,2481)(46592,41472,2481)]
[(47104,41056,2481)(46592,41472,2481)(47104,41472,2481)]
[(47104,41472,2481)(47616,41472,2481)(47616,41282,2481)]
[(47104,41472,2481)(47616,41282,2481)(47104,41056,2481)]
[(47616,41472,2481)(48048,41472,2481)(47616,41282,2481)]
[(49748,41472,2481)(49970,41472,2481)(49918,41378,2481)]
[(33246,41984,2487)(33280,41984,2487)(33280,41928,2487)]
[(33280,41928,2487)(33280,41984,2487)(33792,41984,2487)]
