熔炼主键（表示熔炼类型，1装备分解，2宝石分解，3道具熔炼，4卡牌分解）	熔炼副键（装备/宝石都是6位的：1位类型<1装备2宝石>+1位颜色+2位分类(部位)+2位等级；道具是8位的，直接用材料道具ID）	副键-方案2	valid	可用状态限制ID	消耗ID（批量分解装备、宝石都无消耗，字段无效；道具熔炼可以配消耗）	获得货币类型1(暂时无用)	获得货币值1(暂时无用)	获得宝石精华类型	获得宝石精华数量	获得道具ID1	获得道具数据1	获得道具ID2	获得道具数据2	获得道具ID3	获得道具数据3	获得道具ID4	获得道具数据4	获得道具ID5	获得道具数据5	获得道具ID6	获得道具数据6	可见状态限制
[K][C][S]stuff_id	[K][C][S]stuff_second_id	[K][C][S]stuff_second_id2	0	[C][S]state_id	[C][S]consume_id	[C][S]gen_money_type_1	[C][S]gen_money_value_1	[C][S]gen_stone_type	[C][S]gen_stone_value	[C][S]gen_item_id_1	[C][S]gen_item_num_1	[C][S]gen_item_id_2	[C][S]gen_item_num_2	[C][S]gen_item_id_3	[C][S]gen_item_num_3	[C][S]gen_item_id_4	[C][S]gen_item_num_4	[C][S]gen_item_id_5	[C][S]gen_item_num_5	[C][S]gen_item_id_6	[C][S]gen_item_num_6	[C]visiblelimit
1	110000	1	1	0	0	0	0	0	0	402500001	1	0	0	0	0	0	0	0	0	0	0	0
1	120000	1	1	0	0	0	0	0	0	402500002	1	0	0	0	0	0	0	0	0	0	0	0
1	130000	1	1	0	0	0	0	0	0	402500003	1	0	0	0	0	0	0	0	0	0	0	0
1	140000	1	1	0	0	0	0	0	0	402500004	1	0	0	0	0	0	0	0	0	0	0	0
1	150000	1	1	0	0	0	0	0	0	402500005	1	0	0	0	0	0	0	0	0	0	0	0
1	160000	1	1	0	0	0	0	0	0	402500006	1	0	0	0	0	0	0	0	0	0	0	0
1	170000	1	1	0	0	0	0	0	0	402500007	1	0	0	0	0	0	0	0	0	0	0	0
1	180000	1	1	0	0	0	0	0	0	402500008	1	0	0	0	0	0	0	0	0	0	0	0
1	190000	1	1	0	0	0	0	0	0	402500009	1	0	0	0	0	0	0	0	0	0	0	0
1	110100	1	1	0	0	0	0	0	0	402500001	1	0	0	0	0	0	0	0	0	0	0	0
1	120100	1	1	0	0	0	0	0	0	402500002	1	0	0	0	0	0	0	0	0	0	0	0
1	130100	1	1	0	0	0	0	0	0	402500003	1	0	0	0	0	0	0	0	0	0	0	0
1	140100	1	1	0	0	0	0	0	0	402500004	1	0	0	0	0	0	0	0	0	0	0	0
1	150100	1	1	0	0	0	0	0	0	402500005	1	0	0	0	0	0	0	0	0	0	0	0
1	160100	1	1	0	0	0	0	0	0	402500006	1	0	0	0	0	0	0	0	0	0	0	0
1	170100	1	1	0	0	0	0	0	0	402500007	1	0	0	0	0	0	0	0	0	0	0	0
1	180100	1	1	0	0	0	0	0	0	402500008	1	0	0	0	0	0	0	0	0	0	0	0
1	190100	1	1	0	0	0	0	0	0	402500009	1	0	0	0	0	0	0	0	0	0	0	0
1	110200	1	1	0	0	0	0	0	0	402500001	1	0	0	0	0	0	0	0	0	0	0	0
1	120200	1	1	0	0	0	0	0	0	402500002	1	0	0	0	0	0	0	0	0	0	0	0
1	130200	1	1	0	0	0	0	0	0	402500003	1	0	0	0	0	0	0	0	0	0	0	0
1	140200	1	1	0	0	0	0	0	0	402500004	1	0	0	0	0	0	0	0	0	0	0	0
1	150200	1	1	0	0	0	0	0	0	402500005	1	0	0	0	0	0	0	0	0	0	0	0
