基金类型(主键，0无效、1成长基金、2登录基金、3活动登陆基金)	有效标志位	领取档次（副键，1~99）	领取条件（角色可领取奖励的等级/登录的天数）	领取奖励ID（能领取到的奖励ID）	购买条件（状态限制ID）	时间限制（基金可购买的时间）	购买价格（需要花费的金钱）	商品ID（内购商品表对应ID）	领取的货币类型（204元宝，205绑元）	领取到的货币数量
[K][C][S]Type	[S]valid	[K][C][S]Grade	[C][S]Condition	[C][S]Reward_ID	[C][S]Purchase_ID	[C][S]TimeLimit_ID	[C][S]Price	[C][S]Deposit_ID	[C][S]CoinType	[C][S]CoinNum
1	1	1	40051001	40051001	40051000	0	300	12	205	100
1	1	2	40051002	40051002	40051000	0	300	12	205	200
1	1	3	40051003	40051003	40051000	0	300	12	205	300
1	1	4	40051004	40051004	40051000	0	300	12	205	300
1	1	5	40051005	40051005	40051000	0	300	12	205	400
1	1	6	40051006	40051006	40051000	0	300	12	205	500
1	1	7	40051007	40051007	40051000	0	300	12	205	660
2	1	1	40051101	40051101	40051100	0	450	13	205	200
2	1	2	40051102	40051102	40051100	0	450	13	205	200
2	1	3	40051103	40051103	40051100	0	450	13	205	300
2	1	4	40051104	40051104	40051100	0	450	13	205	200
2	1	5	40051105	40051105	40051100	0	450	13	205	200
2	1	6	40051106	40051106	40051100	0	450	13	205	300
2	1	7	40051107	40051107	40051100	0	450	13	205	200
2	1	8	40051108	40051108	40051100	0	450	13	205	200
2	1	9	40051109	40051109	40051100	0	450	13	205	300
2	1	10	40051110	40051110	40051100	0	450	13	205	200
2	1	11	40051111	40051111	40051100	0	450	13	205	200
2	1	12	40051112	40051112	40051100	0	450	13	205	300
2	1	13	40051113	40051113	40051100	0	450	13	205	200
2	1	14	40051114	40051114	40051100	0	450	13	205	200
2	1	15	40051115	40051115	40051100	0	450	13	205	300
2	1	16	40051116	40051116	40051100	0	450	13	205	200
2	1	17	40051117	40051117	40051100	0	450	13	205	200
2	1	18	40051118	40051118	40051100	0	450	13	205	300
2	1	19	40051119	40051119	40051100	0	450	13	205	200
2	1	20	40051120	40051120	40051100	0	450	13	205	200
2	1	21	40051121	40051121	40051100	0	450	13	205	300
2	1	22	40051122	40051122	40051100	0	450	13	205	200
2	1	23	40051123	40051123	40051100	0	450	13	205	200
2	1	24	40051124	40051124	40051100	0	450	13	205	300
2	1	25	40051125	40051125	40051100	0	450	13	205	200
2	1	26	40051126	40051126	40051100	0	450	13	205	200
2	1	27	40051127	40051127	40051100	0	450	13	205	300
2	1	28	40051128	40051128	40051100	0	450	13	205	200
2	1	29	40051129	40051129	40051100	0	450	13	205	200
2	1	30	40051130	40051130	40051100	0	450	13	205	500
3	1	1	40050951	40051101	40050950	0	450	65	205	200
3	1	2	40050952	40051102	40050950	0	450	65	205	200
3	1	3	40050953	40051103	40050950	0	450	65	205	300
3	1	4	40050954	40051104	40050950	0	450	65	205	200
3	1	5	40050955	40051105	40050950	0	450	65	205	200
3	1	6	40050956	40051106	40050950	0	450	65	205	300
3	1	7	40050957	40051107	40050950	0	450	65	205	200
3	1	8	40050958	40051108	40050950	0	450	65	205	200
3	1	9	40050959	40051109	40050950	0	450	65	205	300
3	1	10	40050960	40051110	40050950	0	450	65	205	200
3	1	11	40050961	40051111	40050950	0	450	65	205	200
3	1	12	40050962	40051112	40050950	0	450	65	205	300
3	1	13	40050963	40051113	40050950	0	450	65	205	200
3	1	14	40050964	40051114	40050950	0	450	65	205	200
3	1	15	40050965	40051115	40050950	0	450	65	205	300
3	1	16	40050966	40051116	40050950	0	450	65	205	200
3	1	17	40050967	40051117	40050950	0	450	65	205	200
3	1	18	40050968	40051118	40050950	0	450	65	205	300
3	1	19	40050969	40051119	40050950	0	450	65	205	200
3	1	20	40050970	40051120	40050950	0	450	65	205	200
3	1	21	40050971	40051121	40050950	0	450	65	205	300
3	1	22	40050972	40051122	40050950	0	450	65	205	200
3	1	23	40050973	40051123	40050950	0	450	65	205	200
3	1	24	40050974	40051124	40050950	0	450	65	205	300
3	1	25	40050975	40051125	40050950	0	450	65	205	200
3	1	26	40050976	40051126	40050950	0	450	65	205	200
3	1	27	40050977	40051127	40050950	0	450	65	205	300
3	1	28	40050978	40051128	40050950	0	450	65	205	200
3	1	29	40050979	40051129	40050950	0	450	65	205	200
3	1	30	40050980	40051130	40050950	0	450	65	205	500
