魔化规则ID（配在卡片表里）	魔化等级（副键）	有效标志：0：无效，1：有效	消耗道具ID	消耗道具个数	成功率	必成消耗元宝	直升消耗元宝	提升属性百分比	消耗现金数	材料完美魔化成功率（在成功之后再对魔化成功的两种可能进行判定）	元宝完美魔化成功率（在成功之后再对魔化成功的两种可能进行判定）	增加战力值	备注
[K][C]ID	[K][C]Level	0	[C]Consume_ItemID	[C]Consume_ItemNum	[S]Success_Rate	[C]CritialSuccess_Cost	[C]ConsumeId	[C]Attr_Percent	[C]Coin_Cost	[C]Perfect_Rate	[C]Perfect_RateByGold	[S]	0
1001	1	1	430100301	3	10000	0	40630	4	0	1000	1000	0	紫普
1001	2	1	430100301	3	8000	0	40630	8	0	1000	1000	0	紫普
1001	3	1	430100301	3	8000	0	40630	12	0	1000	2000	0	紫普
1001	4	1	430100301	3	8000	0	40630	16	0	1000	2000	0	紫普
1001	5	1	430100301	4	6000	0	40630	20	0	1000	2000	0	紫普
1001	6	1	430100301	4	6000	0	40630	24	0	1000	3000	0	紫普
1001	7	1	430100301	5	5500	0	40630	28	0	1000	3000	0	紫普
1001	8	1	430100301	5	5000	0	40630	32	0	1000	3000	0	紫普
1001	9	1	430100301	6	4500	0	40630	36	0	1000	4000	0	紫普
1001	10	1	430100301	6	4000	0	40630	40	0	1000	4000	0	紫普
1002	1	1	430100301	6	10000	0	40631	4	0	1000	1000	0	紫魂
1002	2	1	430100301	6	8000	0	40631	8	0	1000	1000	0	紫魂
1002	3	1	430100301	6	8000	0	40631	12	0	1000	2000	0	紫魂
1002	4	1	430100301	6	8000	0	40631	16	0	1000	2000	0	紫魂
1002	5	1	430100301	8	6000	0	40631	20	0	1000	2000	0	紫魂
1002	6	1	430100301	8	6000	0	40631	24	0	1000	3000	0	紫魂
1002	7	1	430100301	10	5500	0	40631	28	0	1000	3000	0	紫魂
1002	8	1	430100301	10	5000	0	40631	32	0	1000	3000	0	紫魂
1002	9	1	430100301	12	4500	0	40631	36	0	1000	4000	0	紫魂
1002	10	1	430100301	12	4000	0	40631	40	0	1000	4000	0	紫魂
