激活主ID（代表激活类型：1全身星级，2全身完美，3全身宝石，4全身强化激活（特殊处理在客户端服务器杂表里）,5位表示强化激活）	真·副ID（仅服务器用，服务器从DESIGN_CFG读取判断条件并匹配好激活等级后会获得一组主副键键值，根据它们来这个表取属性）	valid	剑客属性1	剑客属性值1	剑客属性2	剑客属性值2	御灵属性1	御灵属性值1	御灵属性2	御灵属性值2	刀客属性1	刀客属性值1	刀客属性2	刀客属性值2	弓手属性1	弓手属性值1	弓手属性2	弓手属性值2	增加战力值	激活法球属性池ID	激活主条件：星级、完美条数、宝石等级、强化等级	完美激活额外条件参数1	完美激活额外条件参数2	激活等级
[K][C][S]activate_id	[K][C][S]second_id	0	[C][S]attr_type1_pro1	[C][S]attr_value1_pro1	[C][S]attr_type2_pro1	[C][S]attr_value2_pro1	[C][S]attr_type1_pro2	[C][S]attr_value1_pro2	[C][S]attr_type2_pro2	[C][S]attr_value2_pro2	[C][S]attr_type1_pro3	[C][S]attr_value1_pro3	[C][S]attr_type2_pro3	[C][S]attr_value2_pro3	[C][S]attr_type1_pro4	[C][S]attr_value1_pro4	[C][S]attr_type2_pro4	[C][S]attr_value2_pro4	[S]	[C][S]OrbAttrPool	[C]activate_second_id	[C]extend_param1	[C]extend_param2	[C]level
1	10	1	4068	100	4071	100	4068	100	4071	100	4068	100	4071	100	4068	100	4071	100	380	0	10	0	0	1
1	20	1	4068	200	4071	200	4068	200	4071	200	4068	200	4071	200	4068	200	4071	200	1368	0	20	0	0	2
1	30	1	4068	300	4071	300	4068	300	4071	300	4068	300	4071	300	4068	300	4071	300	2792	0	30	0	0	3
1	40	1	4068	400	4071	400	4068	400	4071	400	4068	400	4071	400	4068	400	4071	400	4948	0	40	0	0	4
1	50	1	4068	500	4071	500	4068	500	4071	500	4068	500	4071	500	4068	500	4071	500	8996	0	50	0	0	5
1	60	1	4068	600	4071	600	4068	600	4071	600	4068	600	4071	600	4068	600	4071	600	15962	0	60	0	0	6
1	70	1	4068	700	4071	700	4068	700	4071	700	4068	700	4071	700	4068	700	4071	700	27136	0	70	0	0	7
1	80	1	4068	800	4071	800	4068	800	4071	800	4068	800	4071	800	4068	800	4071	800	45506	0	80	0	0	8
1	90	1	4068	900	4071	900	4068	900	4071	900	4068	900	4071	900	4068	900	4071	900	74994	0	90	0	0	9
1	100	1	4068	1000	4071	1000	4068	1000	4071	1000	4068	1000	4071	1000	4068	1000	4071	1000	108360	0	100	0	0	10
2	1	1	4067	100	0	0	4070	100	0	0	4067	100	0	0	4070	100	0	0	843	0	4	0	0	1
2	2	1	4067	200	0	0	4070	200	0	0	4067	200	0	0	4070	200	0	0	3375	0	8	0	0	2
2	3	1	4067	300	0	0	4070	300	0	0	4067	300	0	0	4070	300	0	0	7592	0	10	0	0	3
2	4	1	4067	400	0	0	4070	400	0	0	4067	400	0	0	4070	400	0	0	15941	0	14	0	0	4
2	5	1	4067	500	0	0	4070	500	0	0	4067	500	0	0	4070	500	0	0	24290	0	18	0	0	5
2	6	1	4067	600	0	0	4070	600	0	0	4067	600	0	0	4070	600	0	0	32639	0	20	0	0	6
2	7	1	4067	700	0	0	4070	700	0	0	4067	700	0	0	4070	700	0	0	46757	0	24	0	0	7
2	8	1	4067	800	0	0	4070	800	0	0	4067	800	0	0	4070	800	0	0	60875	0	28	0	0	8
2	9	1	4067	900	0	0	4070	900	0	0	4067	900	0	0	4070	900	0	0	74994	0	30	0	0	9
2	10	1	4067	1000	0	0	4070	1000	0	0	4067	1000	0	0	4070	1000	0	0	108360	0	30	14	30	10
2	11	1	4067	1200	0	0	4070	1200	0	0	4067	1200	0	0	4070	1200	0	0	141726	0	30	18	40	11
2	12	1	4067	1400	0	0	4070	1400	0	0	4067	1400	0	0	4070	1400	0	0	175092	0	30	20	50	12
2	13	1	4067	1600	0	0	4070	1600	0	0	4067	1600	0	0	4070	1600	0	0	208458	0	30	24	60	13
2	14	1	4067	1800	0	0	4070	1800	0	0	4067	1800	0	0	4070	1800	0	0	241824	0	30	28	70	14
2	15	1	4067	2000	0	0	4070	2000	0	0	4067	2000	0	0	4070	2000	0	0	275190	0	30	30	80	15
3	40	1	4068	100	4071	100	4068	100	4071	100	4068	100	4071	100	4068	100	4071	100	380	0	40	0	0	1
