秘法激活主ID	副ID	valid	剑客属性1	剑客属性值1	剑客属性2	剑客属性值2	御灵属性1	御灵属性值1	御灵属性2	御灵属性值2	刀客属性1	刀客属性值1	刀客属性2	刀客属性值2	弓手属性1	弓手属性值1	弓手属性2	弓手属性值2	增加战力值
[K][C][S]activate_id	[K][C][S]second_id	0	[C][S]attr_type1_pro1	[C][S]attr_value1_pro1	[C][S]attr_type2_pro1	[C][S]attr_value2_pro1	[C][S]attr_type1_pro2	[C][S]attr_value1_pro2	[C][S]attr_type2_pro2	[C][S]attr_value2_pro2	[C][S]attr_type1_pro3	[C][S]attr_value1_pro3	[C][S]attr_type2_pro3	[C][S]attr_value2_pro3	[C][S]attr_type1_pro4	[C][S]attr_value1_pro4	[C][S]attr_type2_pro4	[C][S]attr_value2_pro4	[C][S]fight_value
100100	1	1	65	179	72	26598	65	179	72	26598	65	179	72	26598	65	179	72	26598	3060
100200	1	1	65	188	72	27928	65	188	72	27928	65	188	72	27928	65	188	72	27928	3213
100300	1	1	65	197	72	29258	65	197	72	29258	65	197	72	29258	65	197	72	29258	4091
100400	1	1	65	206	72	30588	65	206	72	30588	65	206	72	30588	65	206	72	30588	4277
100500	1	1	65	214	72	31918	65	214	72	31918	65	214	72	31918	65	214	72	31918	6004
100600	1	1	65	223	72	33248	65	223	72	33248	65	223	72	33248	65	223	72	33248	8519
100700	1	1	65	232	72	34578	65	232	72	34578	65	232	72	34578	65	232	72	34578	8860
100800	1	1	65	241	72	35908	65	241	72	35908	65	241	72	35908	65	241	72	35908	12562
100900	1	1	65	250	72	37238	65	250	72	37238	65	250	72	37238	65	250	72	37238	16263
101000	1	1	65	259	72	38568	65	259	72	38568	65	259	72	38568	65	259	72	38568	19965
100100	2	1	65	418	72	62063	65	418	72	62063	65	418	72	62063	65	418	72	62063	7141
100200	2	1	65	438	72	65166	65	438	72	65166	65	438	72	65166	65	438	72	65166	7498
100300	2	1	65	459	72	68270	65	459	72	68270	65	459	72	68270	65	459	72	68270	9546
100400	2	1	65	480	72	71373	65	480	72	71373	65	480	72	71373	65	480	72	71373	9980
100500	2	1	65	501	72	74476	65	501	72	74476	65	501	72	74476	65	501	72	74476	14010
100600	2	1	65	522	72	77579	65	522	72	77579	65	522	72	77579	65	522	72	77579	19879
100700	2	1	65	543	72	80682	65	543	72	80682	65	543	72	80682	65	543	72	80682	20675
100800	2	1	65	564	72	83786	65	564	72	83786	65	564	72	83786	65	564	72	83786	29312
100900	2	1	65	585	72	86889	65	585	72	86889	65	585	72	86889	65	585	72	86889	37949
101000	2	1	65	606	72	89992	65	606	72	89992	65	606	72	89992	65	606	72	89992	46586
