#道藏ID	#等级	valid 	#升级消耗ID	#升级限制ID	#剑客属性1类型	#剑客属性1数值	#剑客属性2类型	#剑客属性2数值	#御灵属性1类型	#御灵属性1数值	#御灵属性2类型	#御灵属性2数值	#刀客属性1类型	#刀客属性1数值	#刀客属性2类型	#刀客属性2数值	#弓手属性1类型	#弓手属性1数值	#弓手属性2类型	#弓手属性2数值	#伙伴属性1类型	#伙伴属性1数值	#伙伴属性2类型	#伙伴属性2数值	增加战力值
[C][S]id	[C][S]level	0	[C][S]consume_id	[C][S]char_state_limit_id	[C][S]char_attr_pro11_type1	[C][S]char_attr_pro11_value1	[C][S]char_attr_pro11_type2	[C][S]char_attr_pro11_value2	[C][S]char_attr_pro21_type1	[C][S]char_attr_pro21_value1	[C][S]char_attr_pro21_type2	[C][S]char_attr_pro21_value2	[C][S]char_attr_pro31_type1	[C][S]char_attr_pro31_value1	[C][S]char_attr_pro31_type2	[C][S]char_attr_pro31_value2	[C][S]char_attr_pro41_type1	[C][S]char_attr_pro41_value1	[C][S]char_attr_pro41_type2	[C][S]char_attr_pro41_value2	[C][S]partner_attr_type1	[C][S]partner_attr_value1	[C][S]partner_attr_type2	[C][S]partner_attr_value2	[S]add_fighting_
900001001	0	1	60101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900001001	1	1	0	0	67	148	0	0	70	133	0	0	67	111	0	0	70	185	0	0	0	0	0	0	162
900001002	0	1	60102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900001002	1	1	0	0	67	148	0	0	70	133	0	0	67	111	0	0	70	185	0	0	0	0	0	0	198
900001003	0	1	60103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900001003	1	1	0	0	67	148	0	0	70	133	0	0	67	111	0	0	70	185	0	0	0	0	0	0	240
900001004	0	1	60104	90003027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900001004	1	1	0	0	67	148	0	0	70	133	0	0	67	111	0	0	70	185	0	0	0	0	0	0	240
900001005	0	1	60105	90003027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900001005	1	1	0	0	67	148	0	0	70	133	0	0	67	111	0	0	70	185	0	0	0	0	0	0	291
900001006	0	1	60106	90003028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900001006	1	1	0	0	67	148	0	0	70	133	0	0	67	111	0	0	70	185	0	0	0	0	0	0	291
900001007	0	1	60107	90003029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900001007	1	1	0	0	67	197	0	0	70	177	0	0	67	148	0	0	70	246	0	0	0	0	0	0	518
900001008	0	1	60108	90003029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900001008	1	1	0	0	67	197	0	0	70	177	0	0	67	148	0	0	70	246	0	0	0	0	0	0	518
900001009	0	1	60109	90003029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900001009	1	1	0	0	67	197	0	0	70	177	0	0	67	148	0	0	70	246	0	0	0	0	0	0	518
900001010	0	1	60110	90003030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900001010	1	1	0	0	67	246	0	0	70	221	0	0	67	185	0	0	70	308	0	0	0	0	0	0	648
900001011	0	1	60111	90003031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900001011	1	1	0	0	67	246	0	0	70	221	0	0	67	185	0	0	70	308	0	0	0	0	0	0	864
900001012	0	1	60112	90003032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900001012	1	1	0	0	67	246	0	0	70	221	0	0	67	185	0	0	70	308	0	0	0	0	0	0	864
900001013	0	1	60113	90003033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900001013	1	1	0	0	67	296	0	0	70	266	0	0	67	222	0	0	70	370	0	0	0	0	0	0	1040
900001014	0	1	60114	90003034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900001014	1	1	0	0	67	296	0	0	70	266	0	0	67	222	0	0	70	370	0	0	0	0	0	0	1040
900001015	0	1	60115	90003035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900001015	1	1	0	0	67	345	0	0	70	311	0	0	67	259	0	0	70	431	0	0	0	0	0	0	1213
900001016	0	1	60116	90003036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900001016	1	1	0	0	67	345	0	0	70	311	0	0	67	259	0	0	70	431	0	0	0	0	0	0	1621
900001017	0	1	60117	90003037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900001017	1	1	0	0	67	395	0	0	70	356	0	0	67	296	0	0	70	494	0	0	0	0	0	0	1851
900001018	0	1	60118	90003038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900001018	1	1	0	0	67	395	0	0	70	356	0	0	67	296	0	0	70	494	0	0	0	0	0	0	1851
900001019	0	1	60119	90003039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900001019	1	1	0	0	67	444	0	0	70	400	0	0	67	333	0	0	70	555	0	0	0	0	0	0	2781
900001020	0	1	60120	90003040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
