精炼规则ID	精炼星级	有效字段	精炼条件限制	精炼消耗ID	分解材料副ID（1位类型<1装备2宝石>+1位颜色+2位分类(部位)+1位等级；道具是8位的）	精炼成功率·真	精炼成功率·假	付费精炼价格	精炼等级强化上限	突破该星级需要的强化等级	神装升阶时计算继承用的积分
[K][C][S]ID	[K][C][S]Lvl	0	[C][S]char_state_limit	[C][S]consume_id	[C][S]stuff_second_id	[C][S]SuccessRate1	[C][S]SuccessRate2	[C][S]GoldCost	[S][C]maxStrengLvl	[S]needStrengLvl	[S][C]refine_value
1110	0	1	-1	-1	110000	0	0	10000	100	0	0
1120	0	1	-1	-1	120000	10000	10000	10000	100	0	0
1130	0	1	0	51130	130000	10000	10000	10000	100	0	0
1130	1	1	0	51130	130000	10000	10000	10000	100	0	105
1130	2	1	0	51130	130000	10000	10000	10000	100	0	210
1130	3	1	0	51130	130000	10000	10000	10000	100	0	420
1130	4	1	0	51130	130000	10000	10000	10000	100	0	630
1130	5	1	0	51130	130000	10000	10000	10000	100	0	945
1130	6	1	-1	-1	130000	0	0	10000	100	0	1260
1140	0	1	0	51140	140000	10000	10000	10000	100	0	0
1140	1	1	0	51140	140000	10000	10000	10000	100	0	200
1140	2	1	0	51140	140000	10000	10000	10000	100	0	400
1140	3	1	0	51140	140000	10000	10000	10000	100	0	800
1140	4	1	0	51140	140000	10000	10000	10000	100	0	1200
1140	5	1	0	51140	140000	10000	10000	10000	100	0	1800
1140	6	1	0	51140	140000	10000	10000	10000	100	0	2400
1140	7	1	0	51140	140000	10000	10000	10000	100	0	3400
1140	8	1	0	51140	140000	10000	10000	10000	100	0	4400
1140	9	1	0	51140	140000	10000	10000	10000	100	0	6400
1140	10	1	-1	-1	140000	0	0	10000	100	0	8400
1150	0	1	0	51150	150000	10000	10000	10000	100	0	0
1150	1	1	0	51150	150000	10000	10000	10000	100	0	400
1150	2	1	0	51150	150000	10000	10000	10000	100	0	800
1150	3	1	0	51150	150000	10000	10000	10000	100	0	1600
1150	4	1	0	51150	150000	10000	10000	10000	100	0	2400
1150	5	1	0	51150	150000	10000	10000	10000	100	0	3600
1150	6	1	0	51150	150000	10000	10000	10000	100	0	4800
1150	7	1	0	51150	150000	10000	10000	10000	100	0	6720
1150	8	1	0	51150	150000	10000	10000	10000	100	0	8640
1150	9	1	0	51150	150000	10000	10000	10000	100	0	12480
1150	10	1	-1	-1	150000	0	0	10000	100	0	16320
1160	0	1	0	51160	160000	10000	10000	10000	100	0	0
1160	1	1	0	51160	160000	10000	10000	10000	100	0	600
1160	2	1	0	51160	160000	10000	10000	10000	100	0	1200
1160	3	1	0	51160	160000	10000	10000	10000	100	0	2400
1160	4	1	0	51160	160000	10000	10000	10000	100	0	3600
1160	5	1	0	51160	160000	10000	10000	10000	100	0	5400
1160	6	1	0	51160	160000	10000	10000	10000	100	0	7200
1160	7	1	0	51160	160000	10000	10000	10000	100	0	10400
1160	8	1	0	51160	160000	10000	10000	10000	100	0	13600
1160	9	1	0	51160	160000	10000	10000	10000	100	0	20000
1160	10	1	-1	-1	160000	0	0	10000	100	0	26400
1170	0	1	0	51170	170000	10000	10000	10000	100	0	0
1170	1	1	0	51170	170000	10000	10000	10000	100	0	975
1170	2	1	0	51170	170000	10000	10000	10000	100	0	1950
1170	3	1	0	51170	170000	10000	10000	10000	100	0	3900
1170	4	1	0	51170	170000	10000	10000	10000	100	0	5850
1170	5	1	0	51170	170000	10000	10000	10000	100	0	8775
1170	6	1	0	51170	170000	10000	10000	10000	100	0	11700
1170	7	1	0	51170	170000	10000	10000	10000	100	0	17400
1170	8	1	0	51170	170000	10000	10000	10000	100	0	23100
1170	9	1	0	51170	170000	10000	10000	10000	100	0	34500
1170	10	1	-1	-1	170000	0	0	10000	100	0	45900
1180	0	1	0	51180	180000	10000	10000	10000	100	0	0
1180	1	1	0	51180	180000	10000	10000	10000	100	0	1400
1180	2	1	0	51180	180000	10000	10000	10000	100	0	2800
1180	3	1	0	51180	180000	10000	10000	10000	100	0	5600
1180	4	1	0	51180	180000	10000	10000	10000	100	0	8400
1180	5	1	0	51180	180000	10000	10000	10000	100	0	12600
1180	6	1	0	51180	180000	10000	10000	10000	100	0	16800
1180	7	1	0	51180	180000	10000	10000	10000	100	0	25600
1180	8	1	0	51180	180000	10000	10000	10000	100	0	34400
1180	9	1	0	51180	180000	10000	10000	10000	100	0	52000
1180	10	1	-1	-1	180000	0	0	10000	100	0	69600
1190	0	1	0	51190	190000	10000	10000	10000	100	0	0
1190	1	1	0	51190	190000	10000	10000	10000	100	0	2000
1190	2	1	0	51190	190000	10000	10000	10000	100	0	4000
1190	3	1	0	51190	190000	10000	10000	10000	100	0	8000
1190	4	1	0	51190	190000	10000	10000	10000	100	0	12000
1190	5	1	0	51190	190000	10000	10000	10000	100	0	18000
1190	6	1	0	51190	190000	10000	10000	10000	100	0	24000
1190	7	1	0	51190	190000	10000	10000	10000	100	0	36500
1190	8	1	0	51190	190000	10000	10000	10000	100	0	49000
1190	9	1	0	51190	190000	10000	10000	10000	100	0	74000
1190	10	1	-1	-1	190000	0	0	10000	100	0	99000
1111	0	1	-1	-1	110100	0	0	10000	100	0	0
1121	0	1	0	51121	120100	10000	10000	10000	100	0	0
1131	0	1	0	51131	130100	10000	10000	10000	100	0	0
1131	1	1	0	51131	130100	10000	10000	10000	100	0	105
1131	2	1	0	51131	130100	10000	10000	10000	100	0	210
1131	3	1	0	51131	130100	10000	10000	10000	100	0	420
1131	4	1	0	51131	130100	10000	10000	10000	100	0	630
1131	5	1	0	51131	130100	10000	10000	10000	100	0	945
1131	6	1	-1	-1	130100	0	0	10000	100	0	1260
1141	0	1	0	51141	140100	10000	10000	10000	100	0	0
1141	1	1	0	51141	140100	10000	10000	10000	100	0	200
1141	2	1	0	51141	140100	10000	10000	10000	100	0	400
1141	3	1	0	51141	140100	10000	10000	10000	100	0	800
1141	4	1	0	51141	140100	10000	10000	10000	100	0	1200
1141	5	1	0	51141	140100	10000	10000	10000	100	0	1800
1141	6	1	0	51141	140100	10000	10000	10000	100	0	2400
1141	7	1	0	51141	140100	10000	10000	10000	100	0	3400
1141	8	1	0	51141	140100	10000	10000	10000	100	0	4400
1141	9	1	0	51141	140100	10000	10000	10000	100	0	6400
1141	10	1	-1	-1	140100	0	0	10000	100	0	8400
1151	0	1	0	51151	150100	10000	10000	10000	100	0	0
1151	1	1	0	51151	150100	10000	10000	10000	100	0	400
1151	2	1	0	51151	150100	10000	10000	10000	100	0	800
1151	3	1	0	51151	150100	10000	10000	10000	100	0	1600
1151	4	1	0	51151	150100	10000	10000	10000	100	0	2400
1151	5	1	0	51151	150100	10000	10000	10000	100	0	3600
1151	6	1	0	51151	150100	10000	10000	10000	100	0	4800
1151	7	1	0	51151	150100	10000	10000	10000	100	0	6720
1151	8	1	0	51151	150100	10000	10000	10000	100	0	8640
1151	9	1	0	51151	150100	10000	10000	10000	100	0	12480
1151	10	1	-1	-1	150100	0	0	10000	100	0	16320
1161	0	1	0	51161	160100	10000	10000	10000	100	0	0
1161	1	1	0	51161	160100	10000	10000	10000	100	0	600
1161	2	1	0	51161	160100	10000	10000	10000	100	0	1200
1161	3	1	0	51161	160100	10000	10000	10000	100	0	2400
1161	4	1	0	51161	160100	10000	10000	10000	100	0	3600
1161	5	1	0	51161	160100	10000	10000	10000	100	0	5400
1161	6	1	0	51161	160100	10000	10000	10000	100	0	7200
1161	7	1	0	51161	160100	10000	10000	10000	100	0	10400
1161	8	1	0	51161	160100	10000	10000	10000	100	0	13600
1161	9	1	0	51161	160100	10000	10000	10000	100	0	20000
1161	10	1	-1	-1	160100	0	0	10000	100	0	26400
1171	0	1	0	51171	170100	10000	10000	10000	100	0	0
1171	1	1	0	51171	170100	10000	10000	10000	100	0	975
1171	2	1	0	51171	170100	10000	10000	10000	100	0	1950
1171	3	1	0	51171	170100	10000	10000	10000	100	0	3900
1171	4	1	0	51171	170100	10000	10000	10000	100	0	5850
1171	5	1	0	51171	170100	10000	10000	10000	100	0	8775
1171	6	1	0	51171	170100	10000	10000	10000	100	0	11700
1171	7	1	0	51171	170100	10000	10000	10000	100	0	17400
1171	8	1	0	51171	170100	10000	10000	10000	100	0	23100
1171	9	1	0	51171	170100	10000	10000	10000	100	0	34500
1171	10	1	-1	-1	170100	0	0	10000	100	0	45900
1181	0	1	0	51181	180100	10000	10000	10000	100	0	0
1181	1	1	0	51181	180100	10000	10000	10000	100	0	1400
1181	2	1	0	51181	180100	10000	10000	10000	100	0	2800
1181	3	1	0	51181	180100	10000	10000	10000	100	0	5600
1181	4	1	0	51181	180100	10000	10000	10000	100	0	8400
1181	5	1	0	51181	180100	10000	10000	10000	100	0	12600
1181	6	1	0	51181	180100	10000	10000	10000	100	0	16800
1181	7	1	0	51181	180100	10000	10000	10000	100	0	25600
1181	8	1	0	51181	180100	10000	10000	10000	100	0	34400
1181	9	1	0	51181	180100	10000	10000	10000	100	0	52000
1181	10	1	-1	-1	180100	0	0	10000	100	0	69600
1191	0	1	0	51191	190100	10000	10000	10000	100	0	0
1191	1	1	0	51191	190100	10000	10000	10000	100	0	2000
1191	2	1	0	51191	190100	10000	10000	10000	100	0	4000
1191	3	1	0	51191	190100	10000	10000	10000	100	0	8000
1191	4	1	0	51191	190100	10000	10000	10000	100	0	12000
1191	5	1	0	51191	190100	10000	10000	10000	100	0	18000
1191	6	1	0	51191	190100	10000	10000	10000	100	0	24000
1191	7	1	0	51191	190100	10000	10000	10000	100	0	36500
1191	8	1	0	51191	190100	10000	10000	10000	100	0	49000
1191	9	1	0	51191	190100	10000	10000	10000	100	0	74000
1191	10	1	-1	-1	190100	0	0	10000	100	0	99000
1112	0	1	-1	-1	110200	0	0	10000	100	0	0
1122	0	1	0	51122	120200	10000	10000	10000	100	0	0
1132	0	1	0	51132	130200	10000	10000	10000	100	0	0
1132	1	1	0	51132	130200	10000	10000	10000	100	0	105
1132	2	1	0	51132	130200	10000	10000	10000	100	0	210
1132	3	1	0	51132	130200	10000	10000	10000	100	0	420
1132	4	1	0	51132	130200	10000	10000	10000	100	0	630
1132	5	1	0	51132	130200	10000	10000	10000	100	0	945
1132	6	1	-1	-1	130200	0	0	10000	100	0	1260
1142	0	1	0	51142	140200	10000	10000	10000	100	0	0
1142	1	1	0	51142	140200	10000	10000	10000	100	0	200
1142	2	1	0	51142	140200	10000	10000	10000	100	0	400
1142	3	1	0	51142	140200	10000	10000	10000	100	0	800
1142	4	1	0	51142	140200	10000	10000	10000	100	0	1200
1142	5	1	0	51142	140200	10000	10000	10000	100	0	1800
1142	6	1	0	51142	140200	10000	10000	10000	100	0	2400
1142	7	1	0	51142	140200	10000	10000	10000	100	0	3400
1142	8	1	0	51142	140200	10000	10000	10000	100	0	4400
1142	9	1	0	51142	140200	10000	10000	10000	100	0	6400
1142	10	1	-1	-1	140200	0	0	10000	100	0	8400
1152	0	1	0	51152	150200	10000	10000	10000	100	0	0
1152	1	1	0	51152	150200	10000	10000	10000	100	0	400
1152	2	1	0	51152	150200	10000	10000	10000	100	0	800
1152	3	1	0	51152	150200	10000	10000	10000	100	0	1600
1152	4	1	0	51152	150200	10000	10000	10000	100	0	2400
1152	5	1	0	51152	150200	10000	10000	10000	100	0	3600
1152	6	1	0	51152	150200	10000	10000	10000	100	0	4800
1152	7	1	0	51152	150200	10000	10000	10000	100	0	6720
1152	8	1	0	51152	150200	10000	10000	10000	100	0	8640
1152	9	1	0	51152	150200	10000	10000	10000	100	0	12480
1152	10	1	-1	-1	150200	0	0	10000	100	0	16320
1162	0	1	0	51162	160200	10000	10000	10000	100	0	0
1162	1	1	0	51162	160200	10000	10000	10000	100	0	600
1162	2	1	0	51162	160200	10000	10000	10000	100	0	1200
1162	3	1	0	51162	160200	10000	10000	10000	100	0	2400
1162	4	1	0	51162	160200	10000	10000	10000	100	0	3600
1162	5	1	0	51162	160200	10000	10000	10000	100	0	5400
1162	6	1	0	51162	160200	10000	10000	10000	100	0	7200
1162	7	1	0	51162	160200	10000	10000	10000	100	0	10400
1162	8	1	0	51162	160200	10000	10000	10000	100	0	13600
1162	9	1	0	51162	160200	10000	10000	10000	100	0	20000
1162	10	1	-1	-1	160200	0	0	10000	100	0	26400
1172	0	1	0	51172	170200	10000	10000	10000	100	0	0
1172	1	1	0	51172	170200	10000	10000	10000	100	0	975
1172	2	1	0	51172	170200	10000	10000	10000	100	0	1950
1172	3	1	0	51172	170200	10000	10000	10000	100	0	3900
1172	4	1	0	51172	170200	10000	10000	10000	100	0	5850
1172	5	1	0	51172	170200	10000	10000	10000	100	0	8775
1172	6	1	0	51172	170200	10000	10000	10000	100	0	11700
1172	7	1	0	51172	170200	10000	10000	10000	100	0	17400
1172	8	1	0	51172	170200	10000	10000	10000	100	0	23100
1172	9	1	0	51172	170200	10000	10000	10000	100	0	34500
1172	10	1	-1	-1	170200	0	0	10000	100	0	45900
1182	0	1	0	51182	180200	10000	10000	10000	100	0	0
1182	1	1	0	51182	180200	10000	10000	10000	100	0	1400
1182	2	1	0	51182	180200	10000	10000	10000	100	0	2800
1182	3	1	0	51182	180200	10000	10000	10000	100	0	5600
1182	4	1	0	51182	180200	10000	10000	10000	100	0	8400
1182	5	1	0	51182	180200	10000	10000	10000	100	0	12600
1182	6	1	0	51182	180200	10000	10000	10000	100	0	16800
1182	7	1	0	51182	180200	10000	10000	10000	100	0	25600
1182	8	1	0	51182	180200	10000	10000	10000	100	0	34400
1182	9	1	0	51182	180200	10000	10000	10000	100	0	52000
1182	10	1	-1	-1	180200	0	0	10000	100	0	69600
1192	0	1	0	51192	190200	10000	10000	10000	100	0	0
1192	1	1	0	51192	190200	10000	10000	10000	100	0	2000
1192	2	1	0	51192	190200	10000	10000	10000	100	0	4000
1192	3	1	0	51192	190200	10000	10000	10000	100	0	8000
1192	4	1	0	51192	190200	10000	10000	10000	100	0	12000
1192	5	1	0	51192	190200	10000	10000	10000	100	0	18000
1192	6	1	0	51192	190200	10000	10000	10000	100	0	24000
1192	7	1	0	51192	190200	10000	10000	10000	100	0	36500
1192	8	1	0	51192	190200	10000	10000	10000	100	0	49000
1192	9	1	0	51192	190200	10000	10000	10000	100	0	74000
1192	10	1	-1	-1	190200	0	0	10000	100	0	99000
1113	0	1	-1	-1	110300	0	0	10000	100	0	0
1123	0	1	0	51123	120300	10000	10000	10000	100	0	0
1133	0	1	0	51133	130300	10000	10000	10000	100	0	0
1133	1	1	0	51133	130300	10000	10000	10000	100	0	105
1133	2	1	0	51133	130300	10000	10000	10000	100	0	210
1133	3	1	0	51133	130300	10000	10000	10000	100	0	420
1133	4	1	0	51133	130300	10000	10000	10000	100	0	630
1133	5	1	0	51133	130300	10000	10000	10000	100	0	945
1133	6	1	-1	-1	130300	0	0	10000	100	0	1260
1143	0	1	0	51143	140300	10000	10000	10000	100	0	0
1143	1	1	0	51143	140300	10000	10000	10000	100	0	200
1143	2	1	0	51143	140300	10000	10000	10000	100	0	400
1143	3	1	0	51143	140300	10000	10000	10000	100	0	800
1143	4	1	0	51143	140300	10000	10000	10000	100	0	1200
1143	5	1	0	51143	140300	10000	10000	10000	100	0	1800
1143	6	1	0	51143	140300	10000	10000	10000	100	0	2400
1143	7	1	0	51143	140300	10000	10000	10000	100	0	3400
1143	8	1	0	51143	140300	10000	10000	10000	100	0	4400
1143	9	1	0	51143	140300	10000	10000	10000	100	0	6400
1143	10	1	-1	-1	140300	0	0	10000	100	0	8400
1153	0	1	0	51153	150300	10000	10000	10000	100	0	0
1153	1	1	0	51153	150300	10000	10000	10000	100	0	400
1153	2	1	0	51153	150300	10000	10000	10000	100	0	800
1153	3	1	0	51153	150300	10000	10000	10000	100	0	1600
1153	4	1	0	51153	150300	10000	10000	10000	100	0	2400
1153	5	1	0	51153	150300	10000	10000	10000	100	0	3600
1153	6	1	0	51153	150300	10000	10000	10000	100	0	4800
1153	7	1	0	51153	150300	10000	10000	10000	100	0	6720
1153	8	1	0	51153	150300	10000	10000	10000	100	0	8640
1153	9	1	0	51153	150300	10000	10000	10000	100	0	12480
1153	10	1	-1	-1	150300	0	0	10000	100	0	16320
1163	0	1	0	51163	160300	10000	10000	10000	100	0	0
1163	1	1	0	51163	160300	10000	10000	10000	100	0	600
1163	2	1	0	51163	160300	10000	10000	10000	100	0	1200
1163	3	1	0	51163	160300	10000	10000	10000	100	0	2400
1163	4	1	0	51163	160300	10000	10000	10000	100	0	3600
1163	5	1	0	51163	160300	10000	10000	10000	100	0	5400
1163	6	1	0	51163	160300	10000	10000	10000	100	0	7200
1163	7	1	0	51163	160300	10000	10000	10000	100	0	10400
1163	8	1	0	51163	160300	10000	10000	10000	100	0	13600
1163	9	1	0	51163	160300	10000	10000	10000	100	0	20000
1163	10	1	-1	-1	160300	0	0	10000	100	0	26400
1173	0	1	0	51173	170300	10000	10000	10000	100	0	0
1173	1	1	0	51173	170300	10000	10000	10000	100	0	975
1173	2	1	0	51173	170300	10000	10000	10000	100	0	1950
1173	3	1	0	51173	170300	10000	10000	10000	100	0	3900
1173	4	1	0	51173	170300	10000	10000	10000	100	0	5850
1173	5	1	0	51173	170300	10000	10000	10000	100	0	8775
1173	6	1	0	51173	170300	10000	10000	10000	100	0	11700
1173	7	1	0	51173	170300	10000	10000	10000	100	0	17400
1173	8	1	0	51173	170300	10000	10000	10000	100	0	23100
1173	9	1	0	51173	170300	10000	10000	10000	100	0	34500
1173	10	1	-1	-1	170300	0	0	10000	100	0	45900
1183	0	1	0	51183	180300	10000	10000	10000	100	0	0
1183	1	1	0	51183	180300	10000	10000	10000	100	0	1400
1183	2	1	0	51183	180300	10000	10000	10000	100	0	2800
1183	3	1	0	51183	180300	10000	10000	10000	100	0	5600
1183	4	1	0	51183	180300	10000	10000	10000	100	0	8400
1183	5	1	0	51183	180300	10000	10000	10000	100	0	12600
1183	6	1	0	51183	180300	10000	10000	10000	100	0	16800
1183	7	1	0	51183	180300	10000	10000	10000	100	0	25600
1183	8	1	0	51183	180300	10000	10000	10000	100	0	34400
1183	9	1	0	51183	180300	10000	10000	10000	100	0	52000
1183	10	1	-1	-1	180300	0	0	10000	100	0	69600
1193	0	1	0	51193	190300	10000	10000	10000	100	0	0
1193	1	1	0	51193	190300	10000	10000	10000	100	0	2000
1193	2	1	0	51193	190300	10000	10000	10000	100	0	4000
1193	3	1	0	51193	190300	10000	10000	10000	100	0	8000
1193	4	1	0	51193	190300	10000	10000	10000	100	0	12000
1193	5	1	0	51193	190300	10000	10000	10000	100	0	18000
1193	6	1	0	51193	190300	10000	10000	10000	100	0	24000
1193	7	1	0	51193	190300	10000	10000	10000	100	0	36500
1193	8	1	0	51193	190300	10000	10000	10000	100	0	49000
1193	9	1	0	51193	190300	10000	10000	10000	100	0	74000
1193	10	1	-1	-1	190300	0	0	10000	100	0	99000
1114	0	1	-1	-1	110400	0	0	10000	100	0	0
1124	0	1	0	51124	120400	10000	10000	10000	100	0	0
1134	0	1	0	51134	130400	10000	10000	10000	100	0	0
1134	1	1	0	51134	130400	10000	10000	10000	100	0	105
1134	2	1	0	51134	130400	10000	10000	10000	100	0	210
1134	3	1	0	51134	130400	10000	10000	10000	100	0	420
1134	4	1	0	51134	130400	10000	10000	10000	100	0	630
1134	5	1	0	51134	130400	10000	10000	10000	100	0	945
1134	6	1	-1	-1	130400	0	0	10000	100	0	1260
1144	0	1	0	51144	140400	10000	10000	10000	100	0	0
1144	1	1	0	51144	140400	10000	10000	10000	100	0	200
1144	2	1	0	51144	140400	10000	10000	10000	100	0	400
