天地异变等级	改变类型（1经验转换其他货币，2后进等级差加成，3每个天地异变下领取天地礼包的数据，4每个天地异变开启天第副本所需全服最高等级）	有效标志位	参数1	参数2	参数3	参数4	参数5	参数6	参数7	参数8	参数9	参数10	参数11	参数12	参数13	参数14	参数15	参数16	参数17	参数18	参数19	参数20
[K][C][S]world_lvl_	[K][C][S]change_type_	Valid	[C][S]param1_	[C][S]param2_	[C][S]param3_	[C][S]param4_	[C][S]param5_	[C][S]param6_	[C][S]param7_	[C][S]param8_	[C][S]param9_	[C][S]param10_	[C][S]param11_	[C][S]param12_	[C][S]param13_	[C][S]param14_	[C][S]param15_	[C][S]param16_	[C][S]param17_	[C][S]param18_	[C][S]param19_	[C][S]param20_
1	1	1	100000	203	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	180000	203	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	1	350000	203	5670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	1	700000	203	7180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1	1	1400000	203	9530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1	1	2790000	203	12470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1	1	3970000	203	15880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1	1	5690000	203	26010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1	1	7970000	203	36410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1	1	11150000	203	50980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2	1	40	20000	36	19000	32	18000	28	17000	24	16000	20	15000	16	14000	12	13000	8	12000	4	11000
2	2	1	40	20000	36	19000	32	18000	28	17000	24	16000	20	15000	16	14000	12	13000	8	12000	4	11000
3	2	1	40	20000	36	19000	32	18000	28	17000	24	16000	20	15000	16	14000	12	13000	8	12000	4	11000
4	2	1	40	20000	36	19000	32	18000	28	17000	24	16000	20	15000	16	14000	12	13000	8	12000	4	11000
5	2	1	40	20000	36	19000	32	18000	28	17000	24	16000	20	15000	16	14000	12	13000	8	12000	4	11000
6	2	1	40	20000	36	19000	32	18000	28	17000	24	16000	20	15000	16	14000	12	13000	8	12000	4	11000
7	2	1	40	20000	36	19000	32	18000	28	17000	24	16000	20	15000	16	14000	12	13000	8	12000	4	11000
8	2	1	40	20000	36	19000	32	18000	28	17000	24	16000	20	15000	16	14000	12	13000	8	12000	4	11000
9	2	1	40	20000	36	19000	32	18000	28	17000	24	16000	20	15000	16	14000	12	13000	8	12000	4	11000
10	2	1	40	20000	36	19000	32	18000	28	17000	24	16000	20	15000	16	14000	12	13000	8	12000	4	11000
1	3	1	91001401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	3	1	91001402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	3	1	91001403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	3	1	91001404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	3	1	91001405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	3	1	91001406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	3	1	91001407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	3	1	91001408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	3	1	91001409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	3	1	91001410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	1	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	4	1	1061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	4	1	2081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	4	1	3101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	4	1	4121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	4	1	5141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	4	1	6161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	4	1	7181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	4	1	8201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	4	1	9221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
