life_star_id（第1位无用，第2~3位表示职业，第4~5位表示第几个命星）	life_star_lvl	valid	need_acm_id	attr_type1	attr_value1	attr_type2	attr_value2	attr_type3	attr_value3	attr_type4	attr_value4	attr_type5	attr_value5	attr_type6	attr_value6	增加战力值	增加战力值	增加战力值	增加战力值	增加战力值	增加战力值	reward_acm_id1	reward_acm_id2	main_acm_script	reward_acm_script1	reward_acm_script2	建议境界
[C]life_star_id	[C]life_star_jingjie	[C]valid	[C]need_acm_id	[C]attr_type1	[C]attr_value1	[C]attr_type2	[C]attr_value2	[C]attr_type3	[C]attr_value3	[C]attr_type4	[C]attr_value4	[C]attr_type5	[C]attr_value5	[C]attr_type6	[C]attr_value6	[S]add_fighting1_	[S]add_fighting2_	[S]add_fighting3_	[S]add_fighting4_	[S]add_fighting5_	[S]add_fighting6_	[C]reward_acm_id1	[C]reward_acm_id2	[C]main_acm_script	[C]reward_acm_script1	[C]reward_acm_script2	[C]level_des
80101	1	1	1103	67	120	0	0	67	20	0	0	67	20	0	0	0	0	0	0	0	0	1106	1107	LogicScriptManager.TriggerScript(4102202)	LogicScriptManager.TriggerScript(5110601)	LogicScriptManager.TriggerScript(4102202)	1
80101	2	1	1111	67	180	0	0	67	30	0	0	67	30	0	0	0	0	0	0	0	0	1113	1114	LogicScriptManager.TriggerScript(5110901)	LogicScriptManager.TriggerScript(4102300)	LogicScriptManager.TriggerScript(4102300)	2
80101	3	1	1118	67	225	0	0	67	37	0	0	67	37	0	0	0	0	0	0	0	0	1120	1121	LogicScriptManager.TriggerScript(4102300)	LogicScriptManager.TriggerScript(4102300)	LogicScriptManager.TriggerScript(4102300)	5
80101	4	1	1125	67	270	0	0	67	45	0	0	67	45	0	0	0	0	0	0	0	0	1127	1128	LogicScriptManager.TriggerScript(4102202)	LogicScriptManager.TriggerScript(4102300)	LogicScriptManager.TriggerScript(4102300)	8
80101	5	1	1132	67	270	0	0	67	45	0	0	67	45	0	0	0	0	0	0	0	0	1135	1136	LogicScriptManager.TriggerScript(4102202)	LogicScriptManager.TriggerScript(4102300)	LogicScriptManager.TriggerScript(4102300)	10
80101	6	1	1140	67	270	0	0	67	45	0	0	67	45	0	0	0	0	0	0	0	0	1143	1144	LogicScriptManager.TriggerScript(4102202)	LogicScriptManager.TriggerScript(4102300)	LogicScriptManager.TriggerScript(4102300)	12
80101	7	1	1148	67	270	0	0	67	45	0	0	67	45	0	0	0	0	0	0	0	0	1151	1152	LogicScriptManager.TriggerScript(4102202)	LogicScriptManager.TriggerScript(4102300)	LogicScriptManager.TriggerScript(4102300)	14
80101	8	1	1156	67	270	0	0	67	45	0	0	67	45	0	0	0	0	0	0	0	0	1159	1160	LogicScriptManager.TriggerScript(4102202)	LogicScriptManager.TriggerScript(4102300)	LogicScriptManager.TriggerScript(4102300)	16
80102	1	1	1202	68	120	0	0	68	20	0	0	68	20	0	0	0	0	0	0	0	0	1205	1206	LogicScriptManager.TriggerScript(5120201)	"TaskTracePanel.ShowTaskTip(\""极品武器、衣服、裤子、腰带可以在血凝城玩法中争夺获得\"")"	"TaskTracePanel.ShowTaskTip(\""极品武器、衣服、裤子、腰带可以在血凝城玩法中争夺获得\"")"	2
