群组ID	有效值	死亡触发事件ID	公共掉落ID	单人掉落ID	是否为群组巡逻	成员个数	成员ID1	成员ID2	成员ID3	成员ID4	成员ID5	成员ID6	成员ID7	成员ID8	成员ID9	成员ID10	成员ID11	成员ID12	成员ID13	成员ID14	成员ID15	成员ID16	成员ID17	成员ID18	成员ID19	成员ID20
301101001	1	0	0	0	0	3	301101001	301101002	301101003																	
301102001	1	0	0	0	0	4	301102001	301102002	301102003	301102004																
301103001	1	0	0	0	0	11	301103001	301103002	301103003	301103004	301103005	301103006	301103007	301103008	301103009	301103010	301103011									
301104001	1	0	0	0	0	3	301104001	301104002	301104003																	
301105001	1	0	0	0	0	12	301105001	301105002	301105003	301105004	301105005	301105006	301105007	301105008	301105009	301105010	301105011	301105012								
301106001	1	0	0	0	0	4	301106001	301106002	301106003	301106004																
301107001	1	0	0	0	0	8	301107001	301107002	301107003	301107004	301107005	301107006	301107007	301107008												
301108001	1	0	0	0	0	8	301108001	301108002	301108003	301108004	301108005	301108006	301108007	301108008												
301109001	1	0	0	0	0	17	301109001	301109002	301109003	301109004	301109005	301109006	301109007	301109008	301109009	301109010	301109011	301109012	301109013	301109014	301109015	301109016	301109017			
301110001	1	0	0	0	0	1	301110001																			
301101001	1	30110002	0	0	0	4	301101001	301101002	301101003	301101004																
301102001	1	30110003	0	0	0	4	301102001	301102002	301102003	301102004																
301103001	1	30110005	0	0	0	3	301103001	301103002	301103003																	
301104001	1	30110006	0	0	0	1	301104001																			
301105001	1	30110001	0	0	0	1	301105001																			
301106001	1	0	0	0	0	4	301106001	301106002	301106003	301106004																
301107001	1	0	0	0	0	4	301107001	301107002	301107003	301107004																
301108001	1	0	0	0	0	9	301108001	301108002	301108003	301108004	301108005	301108006	301108007	301108008	301108009											
301100003	1	30110020	0	0	0	2	301100003	301100004																		
301100005	1	30110022	0	0	0	3	301100005	301100006	301100007																	
301100008	1	30110023	0	0	0	3	301100008	301100009	301100010																	
301100011	1	30110025	0	0	0	3	301100011	301100012	301100013																	
301100016	1	30110026	0	0	0	3	301100016	301100017	301100018																	
301100019	1	30110027	0	0	0	4	301100019	301100020	301100021	301100022																
301200002	1	30120002	0	0	0	5	301200002	301200003	301200004	301200005	301200006															
301200012	1	30120003	0	0	0	2	301200012	301200013																		
301200014	1	30120005	0	0	0	5	301200014	301200016	301200017	301200018	301200019															
301200025	1	30120006	0	0	0	2	301200025	301200026																		
301200028	1	30120008	0	0	0	5	301200028	301200029	301200030	301200031	301200032															
301200038	1	30120009	0	0	0	5	301200038	301200039	301200040	301200041	301200042															
301200043	1	30120010	0	0	0	3	301200043	301200044	301200045																	
301200046	1	30120011	0	0	0	5	301200046	301200047	301200048	301200049	301200050															
301200051	1	30120013	0	0	0	5	301200051	301200052	301200053	301200054	301200055															
301200061	1	30120014	0	0	0	3	301200061	301200062	301200063																	
301200064	1	30120017	0	0	0	1	301200064																			
301200065	1	30120015	0	0	0	1	301200065																			
301200066	1	0	0	0	0	6	301200066	301200067	301200068	301200069	301200070	301200071														
301300003	1	30130020	0	0	0	2	301300003	301300004																		
301300005	1	30130022	0	0	0	2	301300005	301300006																		
301300009	1	30130023	0	0	0	2	301300009	301300010																		
301300011	1	30130025	0	0	0	2	301300011	301300012																		
301300016	1	30130026	0	0	0	3	301300016	301300017	301300018																	
301300019	1	30130028	0	0	0	3	301300019	301300020	301300021																	
301300026	1	30130029	0	0	0	3	301300026	301300027	301300028																	
301300030	1	30130031	0	0	0	4	301300030	301300031	301300032	301300033																
301300038	1	30130032	0	0	0	5	301300038	301300039	301300040	301300041	301300042															
301300043	1	30130034	0	0	0	5	301300043	301300044	301300045	301300046	301300047															
301400001	1	30140001	0	0	0	5	301400001	301400002	301400003	301400004	301400005															
301400006	1	30140002	0	0	0	5	301400006	301400007	301400008	301400009	301400010															
301400011	1	30140003	0	0	0	1	301400011																			
301400012	1	30140004	0	0	0	5	301400012	301400013	301400014	301400015	301400016															
301400017	1	30140005	0	0	0	5	301400017	301400018	301400019	301400020	301400021															
301400022	1	30140006	0	0	0	1	301400022																			
301400023	1	30140007	0	0	0	10	301400023	301400024	301400025	301400026	301400027	301400028	301400029	301400030	301400031	301400032										
301400033	1	30140009	0	0	0	2	301400033	301400034																		
301400035	1	30140012	0	0	0	1	301400035																			
301400036	1	30140015	0	0	0	6	301400036	301400037	301400038	301400039	301400040	301400041														
301500003	1	30150020	0	0	0	2	301500003	301500004																		
301500005	1	30150022	0	0	0	3	301500005	301500006	301500007																	
301500008	1	30150023	0	0	0	3	301500008	301500009	301500010																	
301500011	1	30150025	0	0	0	3	301500011	301500012	301500013																	
301500016	1	30150026	0	0	0	3	301500016	301500017	301500018																	
301500019	1	30150028	0	0	0	4	301500019	301500020	301500021	301500022																
301500026	1	30150029	0	0	0	4	301500026	301500027	301500028	301500029																
301500030	1	30150031	0	0	0	4	301500030	301500031	301500032	301500033																
301500038	1	30150032	0	0	0	5	301500038	301500039	301500040	301500041	301500042															
301500043	1	30150034	0	0	0	5	301500043	301500044	301500045	301500046	301500047															
301600002	1	30160002	0	0	0	5	301600002	301600003	301600004	301600005	301600006															
301600012	1	30160003	0	0	0	2	301600012	301600013																		
301600014	1	30160005	0	0	0	5	301600014	301600016	301600017	301600018	301600019															
301600025	1	30160006	0	0	0	2	301600025	301600026																		
301600028	1	30160008	0	0	0	5	301600028	301600029	301600030	301600031	301600032															
301600038	1	30160009	0	0	0	5	301600038	301600039	301600040	301600041	301600042															
301600043	1	30160010	0	0	0	3	301600043	301600044	301600045																	
301600046	1	30160011	0	0	0	5	301600046	301600047	301600048	301600049	301600050															
301600051	1	30160013	0	0	0	5	301600051	301600052	301600053	301600054	301600055															
301600061	1	30160014	0	0	0	3	301600061	301600062	301600063																	
301600064	1	30160017	0	0	0	1	301600064																			
301600065	1	30160015	0	0	0	1	301600065																			
301600066	1	0	0	0	0	6	301600066	301600067	301600068	301600069	301600070	301600071														
301700003	1	30170020	0	0	0	2	301700003	301700004																		
301700005	1	30170022	0	0	0	2	301700005	301700006																		
301700009	1	30170023	0	0	0	2	301700009	301700010																		
301700011	1	30170025	0	0	0	2	301700011	301700012																		
301700016	1	30170026	0	0	0	3	301700016	301700017	301700018																	
301700019	1	30170028	0	0	0	3	301700019	301700020	301700021																	
301700026	1	30170029	0	0	0	3	301700026	301700027	301700028																	
301700030	1	30170031	0	0	0	4	301700030	301700031	301700032	301700033																
301700038	1	30170032	0	0	0	5	301700038	301700039	301700040	301700041	301700042															
301700043	1	30170034	0	0	0	5	301700043	301700044	301700045	301700046	301700047															
