宝石类型	宝石颜色	雕琢等级	有效字段	货币类型(1紫魂三角，2绿魂方形，3彩魂圆形)	货币数量	道具id	道具数量	属性类型1	剑客数值1	御灵数值1	刀客数值1	弓手数值1	属性类型2	剑客数值2	御灵数值2	刀客数值2	弓手数值2	属性类型3	剑客数值3	御灵数值3	刀客数值3	弓手数值3	属性类型4	剑客数值4	御灵数值4	刀客数值4	弓手数值4	增加修为	直升金元	属性类型3	剑客数值3	御灵数值3	刀客数值3	弓手数值3	属性类型4	剑客数值4	御灵数值4	刀客数值4	弓手数值4	宝石名字
[K][C][S]Type	[K][C][S]Color	[K][C][S]Lvl	[S]valve	[C][S]CostCoinType	[C][S]CostCoinNum	[C][S]CostItemType	[C][S]CostItemNum	[C][S]ExAttrType1	[C][S]ExAttrValue11	[C][S]ExAttrValue12	[C][S]ExAttrValue13	[C][S]ExAttrValue14	[C][S]ExAttrType2	[C][S]ExAttrValue21	[C][S]ExAttrValue22	[C][S]ExAttrValue23	[C][S]ExAttrValue24	[S]ExAttrType3	[S]ExAttrValue31	[S]ExAttrValue32	[S]ExAttrValue33	[S]ExAttrValue34	[S]ExAttrType4	[S]ExAttrValue41	[S]ExAttrValue42	[S]ExAttrValue43	[S]ExAttrValue44	[C][S]Fighting	[C][S]Price	[C]ExAttrType3	[C]ExAttrValue31	[C]ExAttrValue32	[C]ExAttrValue33	[C]ExAttrValue34	[C]ExAttrType4	[C]ExAttrValue41	[C]ExAttrValue42	[C]ExAttrValue43	[C]ExAttrValue44	[C]Name
1	3	0	1	1	0	401300102	0	1067	0	0	0	0	1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	锐锋石
1	3	1	1	1	83	401300102	4	1067	102	92	77	128	1070	102	92	77	128	0	0	0	0	0	0	0	0	0	0	48	150	0	0	0	0	0	0	0	0	0	0	锐锋石
1	3	2	1	1	250	401300102	12	1067	147	132	110	184	1070	147	132	110	184	0	0	0	0	0	0	0	0	0	0	96	450	0	0	0	0	0	0	0	0	0	0	锐锋石
1	3	3	1	1	667	401300102	36	1067	210	189	158	263	1070	210	189	158	263	0	0	0	0	0	0	0	0	0	0	192	1200	0	0	0	0	0	0	0	0	0	0	锐锋石
1	3	4	1	1	1750	401300202	36	1067	300	270	225	375	1070	300	270	225	375	0	0	0	0	0	0	0	0	0	0	384	3150	0	0	0	0	0	0	0	0	0	0	锐锋石
1	3	5	1	1	4417	401300202	54	1067	429	386	322	536	1070	429	386	322	536	0	0	0	0	0	0	0	0	0	0	768	7950	0	0	0	0	0	0	0	0	0	0	锐锋石
1	3	6	1	1	8167	401300202	72	1067	613	552	460	766	1070	613	552	460	766	0	0	0	0	0	0	0	0	0	0	1152	14700	0	0	0	0	0	0	0	0	0	0	锐锋石
1	3	7	1	1	15833	401300302	72	1067	877	789	658	1096	1070	877	789	658	1096	0	0	0	0	0	0	0	0	0	0	1728	28500	0	0	0	0	0	0	0	0	0	0	锐锋石
1	3	8	1	1	33333	401300302	108	1067	1253	1128	940	1566	1070	1253	1128	940	1566	0	0	0	0	0	0	0	0	0	0	2592	60000	0	0	0	0	0	0	0	0	0	0	锐锋石
1	3	9	1	1	70833	401300302	144	1067	1790	1611	1343	2238	1070	1790	1611	1343	2238	0	0	0	0	0	0	0	0	0	0	3628	127500	0	0	0	0	0	0	0	0	0	0	锐锋石
1	4	0	1	1	0	401300102	0	1067	0	0	0	0	1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	上古锐锋石
1	4	1	1	1	83	401300102	4	1067	160	144	120	200	1070	160	144	120	200	0	0	0	0	0	0	0	0	0	0	242	150	0	0	0	0	0	0	0	0	0	0	上古锐锋石
1	4	2	1	1	250	401300102	12	1067	229	206	172	286	1070	229	206	172	286	0	0	0	0	0	0	0	0	0	0	485	450	0	0	0	0	0	0	0	0	0	0	上古锐锋石
1	4	3	1	1	667	401300102	36	1067	328	295	246	410	1070	328	295	246	410	0	0	0	0	0	0	0	0	0	0	970	1200	0	0	0	0	0	0	0	0	0	0	上古锐锋石
1	4	4	1	1	1750	401300202	36	1067	469	422	352	586	1070	469	422	352	586	0	0	0	0	0	0	0	0	0	0	1941	3150	0	0	0	0	0	0	0	0	0	0	上古锐锋石
1	4	5	1	1	4417	401300202	54	1067	671	604	503	839	1070	671	604	503	839	0	0	0	0	0	0	0	0	0	0	2912	7950	0	0	0	0	0	0	0	0	0	0	上古锐锋石
1	4	6	1	1	8167	401300202	72	1067	959	863	719	1199	1070	959	863	719	1199	4067	50	50	50	50	4070	50	50	50	50	4368	14700	10070	50	50	50	50	0	0	0	0	0	上古锐锋石
1	4	7	1	1	15833	401300302	72	1067	1371	1234	1028	1714	1070	1371	1234	1028	1714	4067	150	150	150	150	4070	150	150	150	150	6552	28500	10070	150	150	150	150	0	0	0	0	0	上古锐锋石
1	4	8	1	1	33333	401300302	108	1067	1959	1763	1469	2449	1070	1959	1763	1469	2449	4067	250	250	250	250	4070	250	250	250	250	9829	60000	10070	250	250	250	250	0	0	0	0	0	上古锐锋石
1	4	9	1	1	70833	401300302	144	1067	2799	2519	2099	3499	1070	2799	2519	2099	3499	4067	350	350	350	350	4070	350	350	350	350	13761	127500	10070	350	350	350	350	0	0	0	0	0	上古锐锋石
1	5	0	1	1	0	401300102	0	1067	0	0	0	0	1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	神赐锐锋石
1	5	1	1	1	83	401300102	4	1067	361	325	271	451	1070	361	325	271	451	0	0	0	0	0	0	0	0	0	0	1032	150	0	0	0	0	0	0	0	0	0	0	神赐锐锋石
1	5	2	1	1	250	401300102	12	1067	517	465	388	646	1070	517	465	388	646	0	0	0	0	0	0	0	0	0	0	2065	450	0	0	0	0	0	0	0	0	0	0	神赐锐锋石
1	5	3	1	1	667	401300102	36	1067	739	665	554	924	1070	739	665	554	924	0	0	0	0	0	0	0	0	0	0	3098	1200	0	0	0	0	0	0	0	0	0	0	神赐锐锋石
1	5	4	1	1	1750	401300202	36	1067	1057	951	793	1321	1070	1057	951	793	1321	0	0	0	0	0	0	0	0	0	0	4647	3150	0	0	0	0	0	0	0	0	0	0	神赐锐锋石
1	5	5	1	1	4417	401300202	54	1067	1510	1359	1133	1888	1070	1510	1359	1133	1888	4067	50	50	50	50	4070	50	50	50	50	6971	7950	10070	50	50	50	50	0	0	0	0	0	神赐锐锋石
1	5	6	1	1	8167	401300202	72	1067	2158	1942	1619	2698	1070	2158	1942	1619	2698	4067	150	150	150	150	4070	150	150	150	150	10457	14700	10070	150	150	150	150	0	0	0	0	0	神赐锐锋石
1	5	7	1	1	15833	401300302	72	1067	3084	2776	2313	3855	1070	3084	2776	2313	3855	4067	300	300	300	300	4070	300	300	300	300	15685	28500	10070	300	300	300	300	0	0	0	0	0	神赐锐锋石
1	5	8	1	1	33333	401300302	108	1067	4407	3966	3305	5509	1070	4407	3966	3305	5509	4067	500	500	500	500	4070	500	500	500	500	21959	60000	10070	500	500	500	500	0	0	0	0	0	神赐锐锋石
1	5	9	1	1	70833	401300302	144	1067	6296	5666	4722	7870	1070	6296	5666	4722	7870	4067	700	700	700	700	4070	700	700	700	700	30743	127500	10070	700	700	700	700	0	0	0	0	0	神赐锐锋石
3	3	0	1	2	0	401300103	0	1068	0	0	0	0	1071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	金刚石
3	3	1	1	2	56	401300103	4	1068	102	92	77	128	1071	102	92	77	128	0	0	0	0	0	0	0	0	0	0	48	100	0	0	0	0	0	0	0	0	0	0	金刚石
3	3	2	1	2	167	401300103	12	1068	147	132	110	184	1071	147	132	110	184	0	0	0	0	0	0	0	0	0	0	96	300	0	0	0	0	0	0	0	0	0	0	金刚石
3	3	3	1	2	444	401300103	36	1068	210	189	158	263	1071	210	189	158	263	0	0	0	0	0	0	0	0	0	0	192	800	0	0	0	0	0	0	0	0	0	0	金刚石
3	3	4	1	2	1167	401300203	36	1068	300	270	225	375	1071	300	270	225	375	0	0	0	0	0	0	0	0	0	0	384	2100	0	0	0	0	0	0	0	0	0	0	金刚石
3	3	5	1	2	2944	401300203	54	1068	429	386	322	536	1071	429	386	322	536	0	0	0	0	0	0	0	0	0	0	768	5300	0	0	0	0	0	0	0	0	0	0	金刚石
3	3	6	1	2	5444	401300203	72	1068	613	552	460	766	1071	613	552	460	766	0	0	0	0	0	0	0	0	0	0	1152	9800	0	0	0	0	0	0	0	0	0	0	金刚石
3	3	7	1	2	10556	401300303	72	1068	877	789	658	1096	1071	877	789	658	1096	0	0	0	0	0	0	0	0	0	0	1728	19000	0	0	0	0	0	0	0	0	0	0	金刚石
3	3	8	1	2	22222	401300303	108	1068	1253	1128	940	1566	1071	1253	1128	940	1566	0	0	0	0	0	0	0	0	0	0	2592	40000	0	0	0	0	0	0	0	0	0	0	金刚石
3	3	9	1	2	47222	401300303	144	1068	1790	1611	1343	2238	1071	1790	1611	1343	2238	0	0	0	0	0	0	0	0	0	0	3628	85000	0	0	0	0	0	0	0	0	0	0	金刚石
3	4	0	1	2	0	401300103	0	1068	0	0	0	0	1071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	上古金刚石
