付费点ID	有效标志位	VIP等级限制	次数限制ID	消耗ID	消耗货币类型	备注说明
[K][C][S]pay_point_id	[S]valid	[C][S]vip_level	[C][S]num_restrict_id	[C][S]consume_id	[C][S]coin_type	none
1	1	0	0	0	204	卡牌升星必成1
2	1	0	0	0	204	卡牌星级元宝直升2
3	1	0	0	0	205	卡牌元宝重铸3
4	1	0	6	40101	205	周园原地复活4
5	1	0	24	40102	205	驻地原地复活5
6	1	0	97	40206	205	经文任务元宝完成6
7	1	0	33	40201	205	经文任务元宝刷新7
8	1	0	0	0	0	贡献商店元宝刷新8
9	1	0	0	0	0	军功商店元宝刷新9
10	1	0	0	0	0	魔符商店元宝刷新10
11	1	0	0	40203	205	剑池剑意元宝刷新11
12	1	1	0	40204	205	归墟奖励元宝刷新12
13	1	0	0	40205	205	元宝创建教院13
14	1	1	0	40301	205	青铜抽奖元宝重抽14
15	1	1	0	40302	204	白银抽奖元宝重抽15
16	1	0	0	0	0	黄金抽奖元宝重抽16
17	1	1	17	40311	204	白银钥匙元宝购买17
18	1	0	0	0	0	黄金钥匙元宝购买18
19	1	0	0	0	205	装备元宝重铸19
20	1	5	0	0	204	装备重铸元宝锁定20
21	1	0	0	0	204	宝石元宝升级21
22	1	3	0	0	204	灵宠元宝洗髓22
23	1	0	0	0	205	灵宠元宝培养23
24	1	0	0	0	204	商城元宝购物24
25	1	0	0	0	0	装备付费精炼
26	1	0	0	0	205	膜拜元宝付费26
27	1	0	0	40207	204	普通刷藏宝图
28	1	0	0	0	205	高级刷藏宝图(暂无)
29	1	0	0	0	204	付费叛国
30	1	0	0	0	205	提升膜拜等级
31	1	0	0	40598	205	伙伴抽奖
32	1	0	0	40599	205	伙伴十连抽奖
33	1	0	0	0	204	绑元开启卡牌格子
34	1	3	0	0	0	离线托管设置挂机目标，总数2（仅VIP限制部分起效）
35	1	8	0	0	0	离线托管设置挂机目标，总数3（仅VIP限制部分起效）
36	1	0	0	0	0	帮派金库的绑元捐献（仅VIP限制部分起效）
37	1	2	153	94901	205	购买离线PK次数
38	1	0	0	0	0	购买格子VIP资格
