效果对应NPC	天地异变等级	有效标识位	装备类型	优先级	属性类型1	属性值1	属性类型2	属性值2	属性类型3	属性值3	属性类型4	属性值4	装备积分	使用后增加的buff	增加buff时间	图标	备注，策划自己看的，没用字段
[K][C][S]id	[K][C][S]level	0	[C][S]type	[S]priority	[C][S]attr_type1	[C][S]attr_value1	[C][S]attr_type2	[C][S]attr_value2	[C][S]attr_type3	[C][S]attr_value3	[C][S]attr_type4	[C][S]attr_value4	[C][S]score	[S]buff	[S]buff_time	[C]icon	0
4503001	1	1	1	1	65	364	67	1206	70	1206	0	0	100	0	0	item98_003	天地异变1精良天晶
4503001	2	1	1	1	65	575	67	2114	70	2114	0	0	100	0	0	item98_003	天地异变2精良天晶
4503001	3	1	1	1	65	827	67	3518	70	3518	0	0	100	0	0	item98_003	天地异变3精良天晶
4503001	4	1	1	1	65	1368	67	6055	70	6055	0	0	100	0	0	item98_003	天地异变4精良天晶
4503001	5	1	1	1	65	1881	67	7987	70	7987	0	0	100	0	0	item98_003	天地异变5精良天晶
4503001	6	1	1	1	65	2672	67	11473	70	11473	0	0	100	0	0	item98_003	天地异变6精良天晶
4503001	7	1	1	1	65	3503	67	14087	70	14087	0	0	100	0	0	item98_003	天地异变7精良天晶
4503001	8	1	1	1	65	5009	67	20544	70	20544	0	0	100	0	0	item98_003	天地异变8精良天晶
4503002	1	1	2	1	66	364	68	603	71	603	0	0	100	0	0	item98_010	天地异变1精良地煞
4503002	2	1	2	1	66	575	68	1057	71	1057	0	0	100	0	0	item98_010	天地异变2精良地煞
4503002	3	1	2	1	66	827	68	1759	71	1759	0	0	100	0	0	item98_010	天地异变3精良地煞
4503002	4	1	2	1	66	1368	68	3027	71	3027	0	0	100	0	0	item98_010	天地异变4精良地煞
4503002	5	1	2	1	66	1881	68	3993	71	3993	0	0	100	0	0	item98_010	天地异变5精良地煞
4503002	6	1	2	1	66	2672	68	5736	71	5736	0	0	100	0	0	item98_010	天地异变6精良地煞
4503002	7	1	2	1	66	3503	68	7043	71	7043	0	0	100	0	0	item98_010	天地异变7精良地煞
