战力比	有效标志位	压制值
0	1	200
1	1	198
2	1	196
3	1	194
4	1	192
5	1	190
6	1	188
7	1	186
8	1	184
9	1	182
10	1	180
11	1	178
12	1	176
13	1	174
14	1	172
15	1	170
16	1	168
17	1	166
18	1	164
19	1	162
20	1	160
21	1	158
22	1	156
23	1	154
24	1	152
25	1	150
26	1	148
27	1	146
28	1	144
29	1	142
30	1	140
31	1	138
32	1	136
33	1	134
34	1	132
35	1	130
36	1	128
37	1	126
38	1	124
39	1	122
40	1	120
41	1	118
42	1	116
43	1	114
44	1	112
45	1	110
46	1	108
47	1	106
48	1	104
49	1	102
50	1	100
51	1	100
52	1	100
53	1	100
54	1	100
55	1	100
56	1	100
57	1	100
58	1	100
59	1	100
60	1	100
61	1	100
62	1	100
63	1	100
64	1	100
65	1	100
66	1	100
67	1	100
68	1	100
69	1	100
70	1	100
71	1	100
72	1	100
73	1	100
74	1	100
75	1	100
76	1	100
77	1	100
78	1	100
79	1	100
80	1	100
81	1	100
82	1	100
83	1	100
84	1	100
85	1	100
86	1	100
87	1	100
88	1	100
89	1	100
90	1	100
91	1	100
92	1	100
93	1	100
94	1	100
95	1	100
96	1	100
97	1	100
98	1	100
99	1	100
100	1	100
101	1	101
102	1	102
103	1	103
104	1	104
105	1	105
106	1	106
107	1	107
108	1	108
109	1	109
110	1	110
111	1	110
112	1	110
113	1	110
114	1	110
115	1	110
116	1	110
117	1	110
118	1	110
119	1	110
120	1	110
121	1	110
122	1	110
123	1	110
124	1	110
125	1	110
126	1	110
127	1	110
128	1	110
129	1	110
130	1	110
131	1	110
132	1	110
133	1	110
134	1	110
135	1	110
136	1	110
137	1	110
138	1	110
139	1	110
140	1	110
141	1	110
142	1	110
143	1	110
144	1	110
145	1	110
146	1	109
147	1	108
148	1	107
149	1	106
150	1	105
151	1	104
152	1	103
153	1	102
154	1	101
155	1	100
156	1	100
157	1	100
158	1	100
159	1	100
160	1	100
161	1	100
162	1	100
163	1	100
164	1	100
165	1	100
166	1	100
167	1	100
168	1	100
169	1	100
170	1	100
171	1	100
172	1	100
173	1	100
174	1	100
175	1	100
176	1	100
177	1	100
178	1	100
179	1	100
180	1	100
181	1	100
182	1	100
183	1	100
184	1	100
185	1	100
186	1	100
187	1	100
188	1	100
189	1	100
190	1	100
191	1	100
192	1	100
193	1	100
194	1	100
195	1	100
196	1	100
197	1	100
198	1	100
199	1	100
200	1	100
9999	1	100
