颜色ID(1到15是染色系统的色块颜色)	性别	有效标志位	图标	R值	G值	B值	透明度	R值	G值	B值	透明度	描述
[K][C][S]ColorId	[K][C][S]Sex	[S]Valid	[C][S]ColorIcon	[C]R1	[C]G1	[C]B1	[C]A1	[C]R2	[C]G2	[C]B2	[C]A2	[C]Desc
1	1	1	fashionHairs_001	0	0	0	255	0	0	0	0	黑头发
1	2	1	fashionHairs_001	0	0	0	255	0	0	0	0	黑头发
2	1	1	fashionHairs_002	201	208	210	255	0	0	0	0	白头发
2	2	1	fashionHairs_002	201	208	210	255	0	0	0	0	白头发
3	1	1	fashionHairs_003	253	123	212	255	0	0	0	0	紫头发
3	2	1	fashionHairs_003	253	123	212	255	0	0	0	0	紫头发
4	1	1	fashionHairs_004	246	40	40	255	0	0	0	0	红头发
4	2	1	fashionHairs_004	246	40	40	255	0	0	0	0	红头发
5	1	1	fashionHairs_005	255	237	0	255	0	0	0	0	金头发
5	2	1	fashionHairs_005	255	237	0	255	0	0	0	0	金头发
6	1	1	fashionHairs_006	40	118	246	255	0	0	0	0	蓝头发
6	2	1	fashionHairs_006	40	118	246	255	0	0	0	0	蓝头发
7	1	1	fashionHairs_007	149	246	40	255	0	0	0	0	绿头发
7	2	1	fashionHairs_007	149	246	40	255	0	0	0	0	绿头发
8	1	1	fashionHairs_008	0	234	255	255	0	0	0	0	青头发
8	2	1	fashionHairs_008	0	234	255	255	0	0	0	0	青头发
9	1	1	fashionHairs_009	246	40	163	255	0	0	0	0	深紫头发
9	2	1	fashionHairs_009	246	40	163	255	0	0	0	0	深紫头发
110	1	1	fashionClothe_110	255	255	255	255	169	0	0	255	套装醺红如醉-默认颜色男
111	1	1	fashionClothe_111	236	149	230	255	255	255	255	255	套装醺红如醉-1男
112	1	1	fashionClothe_112	255	252	141	255	244	244	244	255	套装醺红如醉-2男
113	1	1	fashionClothe_113	105	238	100	255	38	28	28	255	套装醺红如醉-3男
114	1	1	fashionClothe_114	111	219	255	255	248	227	227	255	套装醺红如醉-4男
115	1	1	fashionClothe_115	255	255	255	255	255	255	255	255	套装醺红如醉-5男
120	1	1	fashionClothe_130	255	255	255	255	201	0	0	255	套装醺红如醉-默认颜色正太
121	1	1	fashionClothe_131	255	174	243	255	255	255	255	255	套装醺红如醉-1正太
122	1	1	fashionClothe_132	113	195	244	255	255	255	255	255	套装醺红如醉-2正太
123	1	1	fashionClothe_133	17	17	17	255	221	34	34	255	套装醺红如醉-3正太
124	1	1	fashionClothe_134	150	255	172	255	239	184	255	255	套装醺红如醉-4正太
125	1	1	fashionClothe_135	216	209	125	255	255	210	210	255	套装醺红如醉-5正太
110	2	1	fashionClothe_120	255	39	53	255	255	255	255	255	套装醺红如醉-默认颜色女
111	2	1	fashionClothe_121	255	255	255	255	255	255	255	255	套装醺红如醉-1女
112	2	1	fashionClothe_122	152	229	255	255	255	255	255	255	套装醺红如醉-2女
113	2	1	fashionClothe_123	60	60	60	255	255	255	255	255	套装醺红如醉-3女
114	2	1	fashionClothe_124	255	148	234	255	249	212	255	255	套装醺红如醉-4女
115	2	1	fashionClothe_125	255	239	113	255	255	247	219	255	套装醺红如醉-5女
120	2	1	fashionClothe_140	255	51	51	255	255	255	255	255	套装醺红如醉-默认颜色萝莉
121	2	1	fashionClothe_141	255	128	230	255	255	255	255	255	套装醺红如醉-1萝莉
122	2	1	fashionClothe_142	255	236	129	255	255	255	255	255	套装醺红如醉-2萝莉
123	2	1	fashionClothe_143	161	255	124	255	255	255	255	255	套装醺红如醉-3萝莉
124	2	1	fashionClothe_144	120	249	255	255	255	255	255	255	套装醺红如醉-4萝莉
125	2	1	fashionClothe_145	255	255	255	255	255	255	255	255	套装醺红如醉-5萝莉
210	1	1	fashionClothe_210	118	176	255	255	255	255	255	255	套装雪霁晴蓝-默认颜色男
211	1	1	fashionClothe_211	227	145	82	255	109	48	48	255	套装雪霁晴蓝-1男
212	1	1	fashionClothe_212	255	255	255	255	255	255	255	255	套装雪霁晴蓝-2男
213	1	1	fashionClothe_213	19	255	157	255	255	255	255	255	套装雪霁晴蓝-3男
214	1	1	fashionClothe_214	143	255	90	255	255	255	255	255	套装雪霁晴蓝-4男
215	1	1	fashionClothe_215	255	26	145	255	255	255	255	255	套装雪霁晴蓝-5男
220	1	1	fashionClothe_230	71	149	255	255	255	255	255	255	套装雪霁晴蓝-默认颜色正太
221	1	1	fashionClothe_231	193	152	125	255	255	255	255	255	套装雪霁晴蓝-1正太
222	1	1	fashionClothe_232	255	255	255	255	255	255	255	255	套装雪霁晴蓝-2正太
223	1	1	fashionClothe_233	81	255	204	255	255	255	255	255	套装雪霁晴蓝-3正太
224	1	1	fashionClothe_234	152	255	81	255	255	255	255	255	套装雪霁晴蓝-4正太
225	1	1	fashionClothe_235	255	98	166	255	255	255	255	255	套装雪霁晴蓝-5正太
210	2	1	fashionClothe_220	24	93	255	255	255	255	255	255	套装雪霁晴蓝-默认颜色女
211	2	1	fashionClothe_221	255	161	88	255	96	44	44	255	套装雪霁晴蓝-1女
212	2	1	fashionClothe_222	255	255	255	255	255	255	255	255	套装雪霁晴蓝-2女
213	2	1	fashionClothe_223	0	255	128	255	255	255	255	255	套装雪霁晴蓝-3女
214	2	1	fashionClothe_224	113	255	32	255	255	255	255	255	套装雪霁晴蓝-4女
215	2	1	fashionClothe_225	255	28	136	255	255	255	255	255	套装雪霁晴蓝-5女
