强化规则ID(1位颜色，1位类型，2位部位<0武器，1衣服，2腰带，3裤子，4手套，5项链，6戒指，7徽章，8头盔，9鞋子>，1位流水)	有效标志	强化等级	等级限制	消耗货币类型(0不耗货币，200经验，201修为，202金币，203绑金，204元宝，205绑元)<填0的时候，不会扣除货币，但仍然会根据消耗货币数量字段去做累积积分的计算，以便做强化继承>	消耗货币数量<同时也是计算继承时需要用的累积积分>	消耗道具ID	消耗道具数量	提升比例系数(万分比)	剑客提升固定值1	剑客提升固定值2	剑客提升固定值3	御灵提升固定值4	御灵提升固定值5	御灵提升固定值6	刀客提升固定值7	刀客提升固定值8	刀客提升固定值9	弓手提升固定值10	弓手提升固定值11	弓手提升固定值12	强化成功率	成功率增量	强化暴击率	强化激活主键	强化激活副键	增加战力值	基础概率作假系数1	基础概率作假系数2	基础概率作假系数3	基础概率作假系数4	基础概率作假系数5	基础概率作假系数6	基础概率作假系数7	基础概率作假系数8	基础概率作假系数9	基础概率作假系数10	失败加成作假系数1	失败加成作假系数2	失败加成作假系数3	失败加成作假系数4	失败加成作假系数5	失败加成作假系数6	失败加成作假系数7	失败加成作假系数8	失败加成作假系数9	失败加成作假系数10	必成积分阈值	下级激活属性显示(如果不是-1，要配置强化激活显示的下级等级)
[K][C][S]id	0	[K][C][S]lvl	[C][S]lvl_limit	[C][S]costType	[C][S]costNum	[C][S]costItemId	[C][S]costItemNum	[C][S]attrRatio	[C][S]attrAddValue1	[C][S]attrAddValue2	[C][S]attrAddValue3	[C][S]attrAddValue4	[C][S]attrAddValue5	[C][S]attrAddValue6	[C][S]attrAddValue7	[C][S]attrAddValue8	[C][S]attrAddValue9	[C][S]attrAddValue10	[C][S]attrAddValue11	[C][S]attrAddValue12	[C][S]successRate	[C][S]extraSuccessRate	[C][S]criticalRate	[C][S]extraAttrId1	[C][S]extraAttrId2	[S]add_fighting_	[S]base_sucess_mod_1	[S]base_sucess_mod_2	[S]base_sucess_mod_3	[S]base_sucess_mod_4	[S]base_sucess_mod_5	[S]base_sucess_mod_6	[S]base_sucess_mod_7	[S]base_sucess_mod_8	[S]base_sucess_mod_9	[S]base_sucess_mod_10	[S]fail_extra_mod_1	[S]fail_extra_mod_2	[S]fail_extra_mod_3	[S]fail_extra_mod_4	[S]fail_extra_mod_5	[S]fail_extra_mod_6	[S]fail_extra_mod_7	[S]fail_extra_mod_8	[S]fail_extra_mod_9	[S]fail_extra_mod_10	[S]	[C]nextExtraId
10000	1	0	10	203	600	400400100	4	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	1000	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	-1
10000	1	1	10	203	900	400400100	4	600	58	0	0	52	0	0	44	0	0	73	0	0	10000	1000	0	0	0	59	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	-1
10000	1	2	10	203	1200	400400100	4	1200	117	0	0	105	0	0	88	0	0	146	0	0	10000	1000	0	0	0	118	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	3	10	203	1500	400400100	4	1800	176	0	0	158	0	0	132	0	0	220	0	0	10000	1000	0	0	0	176	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	4	10	203	1800	400400100	4	2400	235	0	0	212	0	0	176	0	0	294	0	0	10000	1000	0	0	0	235	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	5	40	203	2100	400400100	4	3000	294	0	0	265	0	0	221	0	0	368	0	0	9000	1000	0	0	0	294	10000	10000	15000	20000	20000	20000	20000	20000	20000	20000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	6	40	203	2400	400400100	4	3600	353	0	0	318	0	0	265	0	0	441	0	0	8500	1000	0	0	0	376	10000	10000	15000	20000	20000	20000	20000	20000	20000	20000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	7	40	203	2700	400400100	4	4200	412	0	0	371	0	0	309	0	0	515	0	0	8500	1000	0	0	0	458	10000	10000	15000	20000	20000	20000	20000	20000	20000	20000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	8	40	203	3000	400400100	4	4800	471	0	0	424	0	0	353	0	0	589	0	0	8000	1000	0	0	0	541	10000	10000	15000	20000	20000	20000	20000	20000	20000	20000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1000	-1
