序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值8豪华9）	商品原价	商品名称	境界备注
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	没用	没用
1	300900302	2	300500003	40	0	90001001	90001001	0	0	0	[称号]威震八方	0~60级
2	300900312	2	300500003	40	0	90001002	90001002	0	0	0	[称号]威震八方	61~2转100级
3	300900322	2	300500003	40	0	90001003	90001003	0	0	0	[称号]威震八方	2转101~4转140级
4	300900332	2	300500003	40	0	90001004	90001004	0	0	0	[称号]威震八方	4转141级以上
5	300900342	2	300500003	40	0	90001005	90001005	0	0	0	[称号]威震八方	5转160级以上
6	300900352	2	300500003	40	0	90001006	90001006	0	0	0	[称号]威震八方	5转160级以上
7	300900362	2	300500003	40	0	90001007	90001007	0	0	0	[称号]威震八方	5转160级以上
8	300900303	2	300500004	20	0	90001001	90001001	0	0	0	[称号]唯我独尊	0~60级
9	300900313	2	300500004	20	0	90001002	90001002	0	0	0	[称号]唯我独尊	61~2转100级
10	300900323	2	300500004	20	0	90001003	90001003	0	0	0	[称号]唯我独尊	2转101~4转140级
11	300900333	2	300500004	20	0	90001004	90001004	0	0	0	[称号]唯我独尊	4转141级以上
12	300900343	2	300500004	20	0	90001005	90001005	0	0	0	[称号]唯我独尊	5转160级以上
13	300900353	2	300500004	20	0	90001006	90001006	0	0	0	[称号]唯我独尊	5转160级以上
14	300900363	2	300500004	20	0	90001007	90001007	0	0	0	[称号]唯我独尊	5转160级以上
15	320500101	2	300500003	60	0	90000001	90000001	0	0	0	[时装]青月飞虹	剑客专属
16	320500102	2	300500003	60	0	90000002	90000002	0	0	0	[时装]青冥龙眸	御灵专属
17	320500103	2	300500003	60	0	90000003	90000003	0	0	0	[时装]血炎狂刃	刀客专属
18	320500104	2	300500003	60	0	90000004	90000004	0	0	0	[时装]腾蛇翼弓	弓手专属
19	320500201	2	300500004	30	0	90000001	90000001	0	0	0	[时装]新月流光	剑客专属
20	320500202	2	300500004	30	0	90000002	90000002	0	0	0	[时装]凝霜犀翠	御灵专属
21	320500203	2	300500004	30	0	90000003	90000003	0	0	0	[时装]炼魂鬼斩	刀客专属
22	320500204	2	300500004	30	0	90000004	90000004	0	0	0	[时装]荆棘之怒	弓手专属
