序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值8豪华9）	商品原价	商品特效	额外参数1	商品说明	限制说明
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	[C][S]special_effect	[C][S]param1	没用	没用
1	320400211	2	300500009	500	0	90000001	90000001	0	0	0	0	0	[时装]醺红如醉（7天）	剑客专属
2	320400212	2	300500009	500	0	90000002	90000002	0	0	0	0	0	[时装]醺红如醉（7天）	御灵专属
3	320400213	2	300500009	500	0	90000003	90000003	0	0	0	0	0	[时装]醺红如醉（7天）	刀客专属
4	320400214	2	300500009	500	0	90000004	90000004	0	0	0	0	0	[时装]醺红如醉（7天）	弓手专属
5	320400311	2	300500009	500	0	90000001	90000001	0	0	0	0	0	[时装]雪霁晴蓝（7天）	剑客专属
6	320400312	2	300500009	500	0	90000002	90000002	0	0	0	0	0	[时装]雪霁晴蓝（7天）	御灵专属
7	320400313	2	300500009	500	0	90000003	90000003	0	0	0	0	0	[时装]雪霁晴蓝（7天）	刀客专属
8	320400314	2	300500009	500	0	90000004	90000004	0	0	0	0	0	[时装]雪霁晴蓝（7天）	弓手专属
9	320400521	2	300500009	800	0	90000001	90000001	0	0	0	0	0	[时装]清凉夏日（7天）	剑客专属
10	320400522	2	300500009	800	0	90000002	90000002	0	0	0	0	0	[时装]清凉夏日（7天）	御灵专属
11	320400523	2	300500009	800	0	90000003	90000003	0	0	0	0	0	[时装]清凉夏日（7天）	刀客专属
12	320400524	2	300500009	800	0	90000004	90000004	0	0	0	0	0	[时装]清凉夏日（7天）	弓手专属
13	320400611	2	300500009	800	0	90000001	90000001	0	0	0	0	0	[时装]狐言（7天）	剑客专属
14	320400612	2	300500009	800	0	90000002	90000002	0	0	0	0	0	[时装]狐言（7天）	御灵专属
15	320400613	2	300500009	800	0	90000003	90000003	0	0	0	0	0	[时装]狐言（7天）	刀客专属
16	320400614	2	300500009	800	0	90000004	90000004	0	0	0	0	0	[时装]狐言（7天）	弓手专属
17	320400811	2	300500009	500	0	70007401	90000001	0	0	0	0	0	[时装]细雨和风（7天）	#N/A
18	320400812	2	300500009	500	0	70007402	90000002	0	0	0	0	0	[时装]细雨和风（7天）	#N/A
19	320400813	2	300500009	500	0	70007403	90000003	0	0	0	0	0	[时装]细雨和风（7天）	#N/A
20	320400814	2	300500009	500	0	70007404	90000004	0	0	0	0	0	[时装]细雨和风（7天）	#N/A
21	320400411	2	300500009	520	0	90000001	90000001	0	0	0	0	0	[时装]一生所爱（7天）	剑客专属
22	320400412	2	300500009	520	0	90000002	90000002	0	0	0	0	0	[时装]一生所爱（7天）	御灵专属
23	320400413	2	300500009	520	0	90000003	90000003	0	0	0	0	0	[时装]一生所爱（7天）	刀客专属
24	320400414	2	300500009	520	0	90000004	90000004	0	0	0	0	0	[时装]一生所爱（7天）	弓手专属
25	320400911	2	300500009	1000	0	70007501	90000001	0	0	0	0	0	[时装]踏雪寻梅（7天）	#N/A
26	320400912	2	300500009	1000	0	70007502	90000002	0	0	0	0	0	[时装]踏雪寻梅（7天）	#N/A
27	320400913	2	300500009	1000	0	70007503	90000003	0	0	0	0	0	[时装]踏雪寻梅（7天）	#N/A
28	320400914	2	300500009	1000	0	70007504	90000004	0	0	0	0	0	[时装]踏雪寻梅（7天）	#N/A
29	320401011	2	300500009	1000	0	90000041	90000041	0	0	0	0	0	[时装]雪夜虹影（7天）	剑客专属
30	320401012	2	300500009	1000	0	90000042	90000042	0	0	0	0	0	[时装]雪夜虹影（7天）	御灵专属
31	320401013	2	300500009	1000	0	90000043	90000043	0	0	0	0	0	[时装]雪夜虹影（7天）	刀客专属
32	320401014	2	300500009	1000	0	90000044	90000044	0	0	0	0	0	[时装]雪夜虹影（7天）	弓手专属
33	320401111	2	300500009	1000	0	40052816	40052816	0	0	0	0	0	[时装]吉祥如意（7天）	春节期间内
34	320401112	2	300500009	1000	0	40052817	40052817	0	0	0	0	0	[时装]吉祥如意（7天）	春节期间内
35	320401113	2	300500009	1000	0	40052818	40052818	0	0	0	0	0	[时装]吉祥如意（7天）	春节期间内
36	320401114	2	300500009	1000	0	40052819	40052819	0	0	0	0	0	[时装]吉祥如意（7天）	春节期间内
37	320400201	2	300500009	2000	0	90000001	90000001	0	0	0	0	0	[时装]醺红如醉	剑客专属
38	320400202	2	300500009	2000	0	90000002	90000002	0	0	0	0	0	[时装]醺红如醉	御灵专属
39	320400203	2	300500009	2000	0	90000003	90000003	0	0	0	0	0	[时装]醺红如醉	刀客专属
40	320400204	2	300500009	2000	0	90000004	90000004	0	0	0	0	0	[时装]醺红如醉	弓手专属
41	320400301	2	300500009	2000	0	90000001	90000001	0	0	0	0	0	[时装]雪霁晴蓝	剑客专属
42	320400302	2	300500009	2000	0	90000002	90000002	0	0	0	0	0	[时装]雪霁晴蓝	御灵专属
43	320400303	2	300500009	2000	0	90000003	90000003	0	0	0	0	0	[时装]雪霁晴蓝	刀客专属
44	320400304	2	300500009	2000	0	90000004	90000004	0	0	0	0	0	[时装]雪霁晴蓝	弓手专属
45	320400501	2	300500009	3200	0	90000001	90000001	0	0	0	0	0	[时装]清凉夏日	剑客专属
46	320400502	2	300500009	3200	0	90000002	90000002	0	0	0	0	0	[时装]清凉夏日	御灵专属
47	320400503	2	300500009	3200	0	90000003	90000003	0	0	0	0	0	[时装]清凉夏日	刀客专属
48	320400504	2	300500009	3200	0	90000004	90000004	0	0	0	0	0	[时装]清凉夏日	弓手专属
49	320400601	2	300500009	3200	0	90000001	90000001	0	0	0	0	0	[时装]狐言	剑客专属
50	320400602	2	300500009	3200	0	90000002	90000002	0	0	0	0	0	[时装]狐言	御灵专属
51	320400603	2	300500009	3200	0	90000003	90000003	0	0	0	0	0	[时装]狐言	刀客专属
52	320400604	2	300500009	3200	0	90000004	90000004	0	0	0	0	0	[时装]狐言	弓手专属
53	320400801	2	300500009	2000	0	70007401	90000001	0	0	0	0	0	[时装]细雨和风	#N/A
54	320400802	2	300500009	2000	0	70007402	90000002	0	0	0	0	0	[时装]细雨和风	#N/A
55	320400803	2	300500009	2000	0	70007403	90000003	0	0	0	0	0	[时装]细雨和风	#N/A
56	320400804	2	300500009	2000	0	70007404	90000004	0	0	0	0	0	[时装]细雨和风	#N/A
57	320400401	2	300500009	2080	0	91003011	91003011	0	0	0	0	0	[时装]一生所爱	需要已婚
58	320400402	2	300500009	2080	0	91003012	91003012	0	0	0	0	0	[时装]一生所爱	需要已婚
59	320400403	2	300500009	2080	0	91003013	91003013	0	0	0	0	0	[时装]一生所爱	需要已婚
60	320400404	2	300500009	2080	0	91003014	91003014	0	0	0	0	0	[时装]一生所爱	需要已婚
61	320400901	2	300500009	4000	0	70007501	90000001	0	0	0	0	0	[时装]踏雪寻梅	#N/A
62	320400902	2	300500009	4000	0	70007502	90000002	0	0	0	0	0	[时装]踏雪寻梅	#N/A
63	320400903	2	300500009	4000	0	70007503	90000003	0	0	0	0	0	[时装]踏雪寻梅	#N/A
