序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版6大量7超值8豪华）	商品原价	商品特效	额外参数1	商品说明	限制说明	折扣	次数说明
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	[C][S]special_effect	[C][S]param1	没用	没用	没用	没用
1	400400100	1	205	14	301	80011012	80011012	4	7	15	0	0	普通强化石	1~60级	0.9	每天20
2	400400100	1	205	13	301	80011013	80011013	4	7	15	0	0	普通强化石	61~1转80级	0.85	每天20
3	400400100	1	205	12	301	80011014	80011014	4	7	15	0	0	普通强化石	1转81~2转100级	0.8	每天20
4	400400100	1	205	11	301	80011015	80011015	4	7	15	0	0	普通强化石	2转101~3转120级	0.75	每天20
5	400400100	1	205	11	301	80011016	80011016	4	7	15	0	0	普通强化石	3转121~4转140级	0.7	每天20
6	400400100	1	205	10	301	80011017	80011017	4	7	15	0	0	普通强化石	4转141~5转160级	0.65	每天20
7	400400100	1	205	9	301	80011018	80011018	4	7	15	0	0	普通强化石	5转161~6转180级	0.6	每天20
8	400400100	1	205	8	301	80011019	80011019	4	7	15	0	0	普通强化石	6转181级以上	0.55	每天20
9	400400101	1	205	54	302	80011012	80011012	4	7	60	0	0	精粹强化石	1~60级	0.9	每天15
10	400400101	1	205	51	302	80011013	80011013	4	7	60	0	0	精粹强化石	61~1转80级	0.85	每天15
11	400400101	1	205	48	302	80011014	80011014	4	7	60	0	0	精粹强化石	1转81~2转100级	0.8	每天15
12	400400101	1	205	45	302	80011015	80011015	4	7	60	0	0	精粹强化石	2转101~3转120级	0.75	每天15
13	400400101	1	205	42	302	80011016	80011016	4	7	60	0	0	精粹强化石	3转121~4转140级	0.7	每天15
14	400400101	1	205	39	302	80011017	80011017	4	7	60	0	0	精粹强化石	4转141~5转160级	0.65	每天15
15	400400101	1	205	36	302	80011018	80011018	4	7	60	0	0	精粹强化石	5转161~6转180级	0.6	每天15
16	400400101	1	205	33	302	80011019	80011019	4	7	60	0	0	精粹强化石	6转181级以上	0.55	每天15
17	400400102	1	205	216	303	80011014	80011014	4	7	240	0	0	稀有强化石	1转81~2转100级	0.9	每天10
18	400400102	1	205	204	303	80011015	80011015	4	7	240	0	0	稀有强化石	2转101~3转120级	0.85	每天10
19	400400102	1	205	192	303	80011016	80011016	4	7	240	0	0	稀有强化石	3转121~4转140级	0.8	每天10
20	400400102	1	205	180	303	80011017	80011017	4	7	240	0	0	稀有强化石	4转141~5转160级	0.75	每天10
21	400400102	1	205	168	303	80011018	80011018	4	7	240	0	0	稀有强化石	5转161~6转180级	0.7	每天10
22	400400102	1	205	156	303	80011019	80011019	4	7	240	0	0	稀有强化石	6转181级以上	0.65	每天10
23	400400103	1	205	864	304	80011016	80011016	4	7	960	0	0	上古强化石	3转121~4转140级	0.9	每天3
24	400400103	1	205	816	304	80011017	80011017	4	7	960	0	0	上古强化石	4转141~5转160级	0.85	每天3
25	400400103	1	205	768	304	80011018	80011018	4	7	960	0	0	上古强化石	5转161~6转180级	0.8	每天3
26	400400103	1	205	720	304	80011019	80011019	4	7	960	0	0	上古强化石	6转181级以上	0.75	每天3
27	400400104	1	205	3456	305	80011018	80011018	4	7	3840	0	0	神赐强化石	5转161~6转180级	0.9	每天2
28	400400104	1	205	3264	305	80011019	80011019	4	7	3840	0	0	神赐强化石	6转181级以上	0.85	每天2
29	410400001	1	205	4	306	0	0	4	7	5	0	0	灵宠培养丹	不限	0.8	每天100
30	410300002	1	205	1250	307	80011006	80011006	4	7	1500	0	0	高级灵卷	等级达5转161级	0.833333333	每天5
31	410300001	1	205	500	308	80011003	80011003	4	7	600	0	0	中级灵卷	等级达2转101级	0.833333333	每天2
32	410300000	1	205	250	309	0	0	4	7	300	0	0	低级灵卷	不限	0.833333333	每天1
33	430200301	1	205	90	643	80011021	80011021	0	0	100	0	0	力量陨石	2转101级以上	0.9	
34	430200302	1	205	90	644	80011021	80011021	0	0	100	0	0	守护陨石	2转101级以上	0.9	
35	430200303	1	205	90	645	80011021	80011021	0	0	100	0	0	生命陨石	2转101级以上	0.9	
36	430200401	1	205	105	643	80011022	80011022	0	0	120	0	0	上古力量陨石	3转121级以上	0.875	
37	430200402	1	205	105	644	80011022	80011022	0	0	120	0	0	上古守护陨石	3转121级以上	0.875	
38	430200403	1	205	105	645	80011022	80011022	0	0	120	0	0	上古生命陨石	3转121级以上	0.875	
39	430200501	1	205	140	643	80011023	80011023	0	0	160	0	0	神赐力量陨石	5转161级以上	0.875	
40	430200502	1	205	140	644	80011023	80011023	0	0	160	0	0	神赐守护陨石	5转161级以上	0.875	
41	430200503	1	205	140	645	80011023	80011023	0	0	160	0	0	神赐生命陨石	5转161级以上	0.875	
