序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值【会显示为具体几折，而不是显示超值】8豪华9）	商品原价	商品特效	额外参数1	商品说明	限制说明
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	[C][S]special_effect	[C][S]param1	没用	没用
1	400400100	1	11	3000	623	0	0	0	0	3000	0	0	普通强化石	400400100
2	400400101	1	11	12000	624	0	0	0	0	12000	0	0	精粹强化石	400400101
3	410400001	1	11	1000	625	0	0	0	0	1000	0	0	灵宠培养丹	410400001
4	330100201	1	11	8000	279	70007020	70007020	0	0	8000	0	0	低级天地灵气	410400001
5	330100202	1	11	12000	279	70007021	70007021	0	0	12000	0	0	中级天地灵气	410400001
6	330100203	1	11	16000	279	70007022	70007022	0	0	16000	0	0	高级天地灵气	410400001
7	410530001	1	11	2000	628	0	0	0	0	2000	0	0	[信物]玄铠火灵	410530001
8	410530002	1	11	2000	628	0	0	0	0	2000	0	0	[信物]喵拳王	410530002
9	410530003	1	11	2000	628	0	0	0	0	2000	0	0	[信物]狂风	410530003
10	410530004	1	11	2000	628	0	90009204	0	0	2000	0	0	[信物]仙果儿	410530004
11	410530005	1	11	2000	628	0	0	0	0	2000	0	0	[信物]飞天喵	410530005
12	410530006	1	11	2000	628	0	0	0	0	2000	0	0	[信物]神经喵	410530006
13	410530007	1	11	2000	628	0	0	0	0	2000	0	0	[信物]圣甲虫	410530007
14	410530008	1	11	2000	628	0	0	0	0	2000	0	0	[信物]小小青	410530008
15	410530009	1	11	2000	628	0	0	0	0	2000	0	0	[信物]格鲁特	410530009
16	410540001	1	11	12000	629	90005112	0	0	0	10000	0	0	[信物]离火灵巫	410540001
17	410540002	1	11	12000	629	0	90009102	0	0	10000	0	0	[信物]牛魔王	410540002
18	410540003	1	11	12000	629	90005112	0	0	0	10000	0	0	[信物]化灵魔菇	410540003
19	410540004	1	11	12000	629	90005112	90009104	0	0	10000	0	0	[信物]金刚	410540004
20	410540005	1	11	12000	629	0	0	0	0	10000	0	0	[信物]蝶仙	410540005
21	410540006	1	11	12000	629	0	0	0	0	10000	0	0	[信物]松鼠小伞	410540006
22	410540007	1	11	12000	629	0	90009107	0	0	10000	0	0	[信物]魅惑狐仙	410540007
23	410540008	1	11	12000	629	0	90009108	0	0	10000	0	0	[信物]冰冥女巫	410540008
24	410540009	1	11	12000	629	90005112	0	0	0	10000	0	0	[信物]花蝶妖精	410540009
25	410540010	1	11	12000	629	0	90009110	0	0	10000	0	0	[信物]垂耳毛球	410540010
26	410560001	1	11	60000	630	90005114	0	0	0	60000	0	0	[信物]正天雷魔	410560001
27	410560002	1	11	60000	630	0	0	0	0	60000	0	0	[信物]异域圣使	410560002
28	410560003	1	11	60000	630	0	0	0	0	60000	0	0	[信物]笑天	410560003
29	410560004	1	11	60000	630	90005112	0	0	0	60000	0	0	[信物]御刃	410560004
30	410560005	1	11	60000	630	90005112	0	0	0	60000	0	0	[信物]猪财怪	410560005
31	410560006	1	11	60000	630	90005112	0	0	0	60000	0	0	[信物]西海龙女	410560006
32	410560007	1	11	60000	630	0	90009007	0	0	60000	0	0	[信物]末日使徒	410560007
33	410560008	1	11	60000	630	0	0	0	0	60000	0	0	[信物]幽灵虎	410560008
34	410560009	1	11	60000	630	90005114	0	0	0	60000	0	0	[信物]暴走兔	410560009
35	410560010	1	11	60000	630	90005114	0	0	0	60000	0	0	[信物]万古尸王	410560010
36	410720001	1	11	60000	631	0	0	0	0	60000	0	0	[兽诀]低级灵台之祭	410720001
37	410720002	1	11	50000	631	0	0	0	0	50000	0	0	[兽诀]低级尔虞我诈	410720002
38	410720003	1	11	50000	631	0	0	0	0	50000	0	0	[兽诀]低级霸王气息	410720003
39	410720004	1	11	50000	631	0	0	0	0	50000	0	0	[兽诀]低级吸血	410720004
40	410720005	1	11	40000	631	0	0	0	0	40000	0	0	[兽诀]低级连击	410720005
41	410720006	1	11	50000	631	0	0	0	0	50000	0	0	[兽诀]低级震荡	410720006
42	410720007	1	11	40000	631	0	0	0	0	40000	0	0	[兽诀]低级禁锢	410720007
43	410720008	1	11	40000	631	0	0	0	0	40000	0	0	[兽诀]低级沉默	410720008
44	410720009	1	11	30000	631	0	0	0	0	30000	0	0	[兽诀]低级减速	410720009
45	410720010	1	11	30000	631	0	0	0	0	30000	0	0	[兽诀]低级回复	410720010
46	410720011	1	11	30000	631	0	0	0	0	30000	0	0	[兽诀]低级反弹	410720011
47	410730001	1	11	120000	631	80011003	80011003	0	0	120000	0	0	[兽诀]中级灵台之祭	410730001
48	410730002	1	11	100000	631	80011003	80011003	0	0	100000	0	0	[兽诀]中级尔虞我诈	410730002
49	410730003	1	11	100000	631	80011003	80011003	0	0	100000	0	0	[兽诀]中级霸王气息	410730003
