序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值8豪华9）	商品原价	商品特效	额外参数1	商品说明	限制说明
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	[C][S]special_effect	[C][S]param1	没用	没用
1	410740001	1	204	1500	0	80011006	80011006	0	0	0	0	0	[兽诀]高级灵台之祭	5转161级以上
2	410740002	1	204	1250	0	80011006	80011006	0	0	0	0	0	[兽诀]高级尔虞我诈	5转161级以上
3	410740003	1	204	1250	0	80011006	80011006	0	0	0	0	0	[兽诀]高级霸王气息	5转161级以上
4	410740004	1	204	1250	0	80011006	80011006	0	0	0	0	0	[兽诀]高级吸血	5转161级以上
5	410740005	1	204	1000	0	80011006	80011006	0	0	0	0	0	[兽诀]高级连击	5转161级以上
6	410740006	1	204	1250	0	80011006	80011006	0	0	0	0	0	[兽诀]高级震荡	5转161级以上
7	410740007	1	204	1000	0	80011006	80011006	0	0	0	0	0	[兽诀]高级禁锢	5转161级以上
8	410740008	1	204	1000	0	80011006	80011006	0	0	0	0	0	[兽诀]高级沉默	5转161级以上
9	410740009	1	204	750	0	80011006	80011006	0	0	0	0	0	[兽诀]高级减速	5转161级以上
10	410740010	1	204	750	0	80011006	80011006	0	0	0	0	0	[兽诀]高级回复	5转161级以上
11	410740011	1	204	750	0	80011006	80011006	0	0	0	0	0	[兽诀]高级反弹	5转161级以上
12	410730001	1	204	600	0	80011003	80011003	0	0	0	0	0	[兽诀]中级灵台之祭	2转101级以上
13	410730002	1	204	500	0	80011003	80011003	0	0	0	0	0	[兽诀]中级尔虞我诈	2转101级以上
14	410730003	1	204	500	0	80011003	80011003	0	0	0	0	0	[兽诀]中级霸王气息	2转101级以上
15	410730004	1	204	500	0	80011003	80011003	0	0	0	0	0	[兽诀]中级吸血	2转101级以上
16	410730005	1	204	400	0	80011003	80011003	0	0	0	0	0	[兽诀]中级连击	2转101级以上
17	410730006	1	204	500	0	80011003	80011003	0	0	0	0	0	[兽诀]中级震荡	2转101级以上
18	410730007	1	204	400	0	80011003	80011003	0	0	0	0	0	[兽诀]中级禁锢	2转101级以上
19	410730008	1	204	400	0	80011003	80011003	0	0	0	0	0	[兽诀]中级沉默	2转101级以上
20	410730009	1	204	300	0	80011003	80011003	0	0	0	0	0	[兽诀]中级减速	2转101级以上
21	410730010	1	204	300	0	80011003	80011003	0	0	0	0	0	[兽诀]中级回复	2转101级以上
22	410730011	1	204	300	0	80011003	80011003	0	0	0	0	0	[兽诀]中级反弹	2转101级以上
23	410720001	1	204	300	0	0	0	0	0	0	0	0	[兽诀]低级灵台之祭	#N/A
24	410720002	1	204	250	0	0	0	0	0	0	0	0	[兽诀]低级尔虞我诈	#N/A
25	410720003	1	204	250	0	0	0	0	0	0	0	0	[兽诀]低级霸王气息	#N/A
26	410720004	1	204	250	0	0	0	0	0	0	0	0	[兽诀]低级吸血	#N/A
27	410720005	1	204	200	0	0	0	0	0	0	0	0	[兽诀]低级连击	#N/A
28	410720006	1	204	250	0	0	0	0	0	0	0	0	[兽诀]低级震荡	#N/A
29	410720007	1	204	200	0	0	0	0	0	0	0	0	[兽诀]低级禁锢	#N/A
30	410720008	1	204	200	0	0	0	0	0	0	0	0	[兽诀]低级沉默	#N/A
31	410720009	1	204	150	0	0	0	0	0	0	0	0	[兽诀]低级减速	#N/A
32	410720010	1	204	150	0	0	0	0	0	0	0	0	[兽诀]低级回复	#N/A
33	410720011	1	204	150	0	0	0	0	0	0	0	0	[兽诀]低级反弹	#N/A
