序列号	道具ID	消耗类型(货币、2道具、3consume)	货币ID	价格	状态限制	次数限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值【会显示为具体几折，而不是显示超值】8豪华9）	商品原价	商品特效	额外参数1	生成概率1	生成数量1	生成概率2	生成数量2	生成概率3	生成数量3	生成概率4	生成数量4
[K][C][S]id	[C][S]ItemId	[C][S]CostType	[C][S]CoinId	[C][S]Price	[C][S]showLimt	[C][S]numLimt	[C][S]TRTagSprite	[C][S]showRedNode	[C][S]nameScript	[C][S]special_effect	[C][S]param1	[S]gen_probability_1	[S]gen_sl_1	[S]gen_probability_2	[S]gen_sl_2	[S]gen_probability_3	[S]gen_sl_3	[S]gen_probability_4	[S]gen_sl_4
1	400400100	1	5	1080	80002001	0	0	0	0	0	0	10000	10	0	0	0	0	0	0
2	400400100	1	5	960	80002002	0	1	0	1080	0	0	10000	15	0	0	0	0	0	0
3	400400100	1	5	840	80002003	0	1	0	1080	0	0	10000	15	0	0	0	0	0	0
4	400400101	1	5	3360	80002003	0	1	0	4320	0	0	10000	2	0	0	0	0	0	0
5	400400100	1	5	720	80002004	0	1	0	1080	0	0	10000	19	0	0	0	0	0	0
6	400400101	1	5	2880	80002004	0	1	0	4320	0	0	10000	3	0	0	0	0	0	0
7	400400100	1	5	600	80002005	0	1	0	1080	0	0	0	0	0	0	0	0	10000	20
8	400400101	1	5	2400	80002005	0	1	0	4320	0	0	8000	4	0	0	0	0	0	0
9	400400102	1	5	9600	80002005	0	1	0	17280	0	0	6000	1	0	0	0	0	0	0
10	400400100	1	5	600	80002005	0	0	0	0	0	0	25062	0	0	0	0	0	0	0
11	400400100	1	5	480	80002006	0	1	0	1080	0	0	0	0	0	0	0	0	10000	21
12	400400101	1	5	1920	80002006	0	1	0	4320	0	0	7500	4	0	0	0	0	0	0
13	400400102	1	5	7680	80002006	0	1	0	17280	0	0	5000	3	0	0	0	0	0	0
14	400400100	1	5	480	80002006	0	0	0	0	0	0	26667	0	0	0	0	0	0	0
15	400400100	1	5	360	80002007	0	1	0	1080	0	0	0	0	0	0	0	0	10000	22
16	400400101	1	5	1440	80002007	0	1	0	4320	0	0	7500	6	0	0	0	0	0	0
17	400400102	1	5	5760	80002007	0	1	0	17280	0	0	4000	3	0	0	0	0	0	0
18	400400103	1	5	23040	80002007	0	1	0	69120	0	0	3000	1	0	0	0	0	0	0
19	400400100	1	5	360	80002007	0	1	0	0	0	0	34875	0	0	0	0	0	0	0
20	400400100	1	5	240	80002008	0	1	0	1080	0	0	0	0	0	0	0	0	10000	23
21	400400101	1	5	960	80002008	0	1	0	4320	0	0	7500	7	0	0	0	0	0	0
22	400400102	1	5	3840	80002008	0	1	0	17280	0	0	6000	5	0	0	0	0	0	0
23	400400103	1	5	15360	80002008	0	1	0	69120	0	0	4000	1	0	0	0	0	0	0
24	400400100	1	5	240	80002008	0	0	0	0	0	0	31900	0	0	0	0	0	0	0
25	310600001	1	5	36000	80002001	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
26	310600002	1	5	43200	80002002	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
27	310600003	1	5	48000	80002003	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
28	310600004	1	5	57600	80002004	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
29	310600005	1	5	76800	80002005	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
30	310600006	1	5	96000	80002006	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
31	310600007	1	5	115200	80002007	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
32	310600008	1	5	144000	80002008	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
33	400130100	1	5	3600	80002009	0	0	0	0	0	0	0	0	10000	1	0	0	0	0
34	400130101	1	5	3600	80002009	0	0	0	0	0	0	0	0	10000	1	0	0	0	0
35	400130102	1	5	3600	80002009	0	0	0	0	0	0	0	0	10000	1	0	0	0	0
36	400130103	1	5	3600	80002009	0	0	0	0	0	0	0	0	10000	1	0	0	0	0
37	400130200	1	5	10800	80002009	0	0	0	0	0	0	0	0	10000	1	0	0	0	0
38	400130201	1	5	10800	80002009	0	0	0	0	0	0	0	0	10000	1	0	0	0	0
39	400130202	1	5	10800	80002009	0	0	0	0	0	0	0	0	10000	1	0	0	0	0
40	400130203	1	5	10800	80002009	0	0	0	0	0	0	0	0	10000	1	0	0	0	0
41	400140100	1	5	7200	80002010	0	0	0	0	0	0	0	0	10000	1	0	0	0	0
42	400140101	1	5	7200	80002010	0	0	0	0	0	0	0	0	10000	1	0	0	0	0
43	400140102	1	5	7200	80002010	0	0	0	0	0	0	0	0	10000	1	0	0	0	0
44	400140103	1	5	7200	80002010	0	0	0	0	0	0	0	0	10000	1	0	0	0	0
45	400140200	1	5	21600	80002010	0	0	0	0	0	0	0	0	10000	1	0	0	0	0
46	400140201	1	5	21600	80002010	0	0	0	0	0	0	0	0	10000	1	0	0	0	0
47	400140202	1	5	21600	80002010	0	0	0	0	0	0	0	0	10000	1	0	0	0	0
48	400140203	1	5	21600	80002010	0	0	0	0	0	0	0	0	10000	1	0	0	0	0
49	400150100	1	5	10800	80002011	0	0	0	0	0	0	0	0	5000	1	0	0	0	0
50	400150101	1	5	10800	80002011	0	0	0	0	0	0	0	0	5000	1	0	0	0	0
51	400150102	1	5	10800	80002011	0	0	0	0	0	0	0	0	5000	1	0	0	0	0
52	400150103	1	5	10800	80002011	0	0	0	0	0	0	0	0	5000	1	0	0	0	0
53	400150200	1	5	32400	80002011	0	0	0	0	0	0	0	0	5000	1	0	0	0	0
54	400150201	1	5	32400	80002011	0	0	0	0	0	0	0	0	5000	1	0	0	0	0
55	400150202	1	5	32400	80002011	0	0	0	0	0	0	0	0	5000	1	0	0	0	0
56	400150203	1	5	32400	80002011	0	0	0	0	0	0	0	0	5000	1	0	0	0	0
57	422110100	1	5	4800	90000001	0	0	0	0	1	0	0	0	0	0	1250	1	0	0
58	422110101	1	5	4800	90000001	0	0	0	0	1	0	0	0	0	0	1250	1	0	0
59	422110102	1	5	4800	90000001	0	0	0	0	1	0	0	0	0	0	1250	1	0	0
