序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值8豪华9）	商品原价	商品特效	额外参数1	商品说明	限制说明
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	[C][S]special_effect	[C][S]param1	没用	没用
1	410900301	2	410900400	1	0	0	0	0	0	0	0	0	灵宠币×4	#N/A
2	410530001	2	410900300	10	0	0	0	0	0	0	0	0	[信物]玄铠火灵	#N/A
3	410530002	2	410900300	10	0	0	0	0	0	0	0	0	[信物]喵拳王	#N/A
4	410530003	2	410900300	10	0	0	0	0	0	0	0	0	[信物]狂风	#N/A
5	410530004	2	410900300	10	0	0	90009204	0	0	0	0	0	[信物]仙果儿	拥有才能购买
6	410530005	2	410900300	10	0	0	0	0	0	0	0	0	[信物]飞天喵	#N/A
7	410530006	2	410900300	10	0	0	0	0	0	0	0	0	[信物]神经喵	#N/A
8	410530007	2	410900300	10	0	0	0	0	0	0	0	0	[信物]圣甲虫	#N/A
9	410530008	2	410900300	10	0	0	0	0	0	0	0	0	[信物]小小青	#N/A
10	410530009	2	410900300	10	0	0	0	0	0	0	0	0	[信物]格鲁特	#N/A
11	410530010	2	410900300	10	0	90009210	90009210	0	0	0	0	0	[信物]360灵	拥有才能购买
12	410530011	2	410900300	10	0	90009211	90009211	0	0	0	0	0	[信物]应用宝宝	拥有才能购买
13	410530012	2	410900300	10	0	90009212	90009212	0	0	0	0	0	[信物]册画	拥有才能购买
14	410530013	2	410900300	10	0	90009213	90009213	0	0	0	0	0	[信物]斗鱼	拥有才能购买
15	410530014	2	410900300	10	0	90009214	90009214	0	0	0	0	0	[信物]小微与信	拥有才能购买
16	410530015	2	410900300	10	0	90009214	90009214	0	0	0	0	0	[信物]9游虫子	拥有才能购买
17	410520001	2	410900300	5	0	0	90009301	0	0	0	0	0	[信物]大树	拥有才能购买
18	410520002	2	410900300	5	0	0	0	0	0	0	0	0	[信物]自然之灵	#N/A
19	410520003	2	410900300	5	0	0	0	0	0	0	0	0	[信物]熊妖	#N/A
20	410520004	2	410900300	5	0	0	0	0	0	0	0	0	[信物]小狐仙	#N/A
21	410520005	2	410900300	5	0	0	0	0	0	0	0	0	[信物]小小荷	#N/A
22	410520006	2	410900300	5	0	0	90009301	0	0	0	0	0	[信物]小鱼干	拥有才能购买
23	410510001	2	410900300	2	0	0	0	0	0	0	0	0	[信物]小蓝鱼	#N/A
24	410510002	2	410900300	2	0	0	0	0	0	0	0	0	[信物]异人	#N/A
25	410510003	2	410900300	2	0	0	0	0	0	0	0	0	[信物]小红鱼	#N/A
26	410510004	2	410900300	2	0	0	0	0	0	0	0	0	[信物]魔蝠	#N/A
