序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值8豪华9）	商品原价	商品特效	额外参数1	商品说明	限制说明
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	[C][S]special_effect	[C][S]param1	没用	没用
1	411000201	2	300500009	300	0	0	0	0	0	0	0	0	[坐骑]白毛羊驼（7天）	#N/A
2	411000202	2	300500009	300	0	0	0	0	0	0	0	0	[坐骑]白帝（7天）	#N/A
3	411000203	2	300500009	300	0	0	0	0	0	0	0	0	[坐骑]灵狐（7天）	#N/A
4	411000204	2	300500009	300	0	0	0	0	0	0	0	0	[坐骑]雪兔（7天）	#N/A
5	411000205	2	300500009	300	0	0	0	0	0	0	0	0	[坐骑]黑毛羊驼（7天）	#N/A
6	411000206	2	300500009	400	0	0	0	0	0	0	0	0	[坐骑]紫毛雪兔（7天）	#N/A
7	411000207	2	300500009	300	0	0	0	0	0	0	0	0	[坐骑]熊宝（7天）	#N/A
8	411000308	2	300500009	600	0	70008300	70008300	0	0	0	0	0	[坐骑]君雪（7天）	#N/A
9	411000301	2	300500009	800	0	0	0	0	0	0	0	0	[坐骑]灵宝葫芦（7天）	#N/A
10	411000302	2	300500009	800	0	0	0	0	0	0	0	0	[坐骑]永恒烟火（7天）	#N/A
11	411000303	2	300500009	800	0	0	0	0	0	0	0	0	[坐骑]仙鹤（7天）	#N/A
12	411000304	2	300500009	800	0	0	0	0	0	0	0	0	[坐骑]小鸽鸽（7天）	#N/A
13	411000305	2	300500009	800	0	70007900	70007900	0	0	0	0	0	[坐骑]千纸鹤（7天）	#N/A
14	411000306	2	300500009	800	0	0	0	0	0	0	0	0	[坐骑]摇风纨扇（7天）	#N/A
15	411000307	2	300500009	800	0	70008000	70008000	0	0	0	0	0	[坐骑]暖冬卷（7天）	#N/A
16	411000309	2	300500009	600	0	70008100	70008100	0	0	0	0	0	[坐骑]雪麒麟（7天）	#N/A
17	411000310	2	300500009	900	0	70008200	70008200	0	0	0	0	0	[坐骑]霜落舆（7天）	#N/A
18	411000311	2	300500009	1000	0	90000045	90000045	0	0	0	0	0	[坐骑]圣诞雪橇（7天）	圣诞节期间
19	411000119	2	300500009	1200	0	0	0	0	0	0	0	0	[坐骑]素月	#N/A
20	411000120	2	300500009	1200	0	0	0	0	0	0	0	0	[坐骑]留影	#N/A
21	411000114	2	300500009	1200	0	0	0	0	0	0	0	0	[坐骑]白毛羊驼	#N/A
22	411000101	2	300500009	1200	0	0	0	0	0	0	0	0	[坐骑]白帝	#N/A
23	411000112	2	300500009	1200	0	0	0	0	0	0	0	0	[坐骑]灵狐	#N/A
24	411000117	2	300500009	1200	0	0	0	0	0	0	0	0	[坐骑]雪兔	#N/A
25	411000113	2	300500009	1200	0	0	0	0	0	0	0	0	[坐骑]黑毛羊驼	#N/A
26	411000116	2	300500009	1600	0	0	0	0	0	0	0	0	[坐骑]紫毛雪兔	#N/A
27	411000121	2	300500009	1200	0	0	0	0	0	0	0	0	[坐骑]熊宝	#N/A
28	411000127	2	300500009	2400	0	70008300	70008300	0	0	0	0	0	[坐骑]君雪	#N/A
29	411000104	2	300500009	3200	0	0	0	0	0	0	0	0	[坐骑]灵宝葫芦	#N/A
30	411000108	2	300500009	3200	0	0	0	0	0	0	0	0	[坐骑]永恒烟火	#N/A
31	411000122	2	300500009	3200	0	0	0	0	0	0	0	0	[坐骑]仙鹤	#N/A
32	411000123	2	300500009	3200	0	0	0	0	0	0	0	0	[坐骑]小鸽鸽	#N/A
33	411000124	2	300500009	3200	0	70007900	70007900	0	0	0	0	0	[坐骑]千纸鹤	#N/A
34	411000125	2	300500009	3200	0	0	0	0	0	0	0	0	[坐骑]摇风纨扇	#N/A
35	411000126	2	300500009	3200	0	70008000	70008000	0	0	0	0	0	[坐骑]暖冬卷	#N/A
36	411000128	2	300500009	2400	0	70008100	70008100	0	0	0	0	0	[坐骑]雪麒麟	#N/A
37	411000129	2	300500009	3600	0	70008200	70008200	0	0	0	0	0	[坐骑]霜落舆	#N/A
38	411000130	2	300500009	4000	0	90000045	90000045	0	0	0	0	0	[坐骑]圣诞雪橇	圣诞节期间
