序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值8豪华9）	商品原价	商品特效	额外参数1	商品说明	限制说明
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	[C][S]special_effect	[C][S]param1	没用	没用
1	322400202	1	204	0	403	40051401	40051402	0	0	0	0	0	新手成长礼	天地异变·2变第1~2天，60级以下玩家
2	322400205	1	204	0	406	40051403	40051404	0	0	0	0	0	新手成长礼	天地异变·2变第4~6天，70级以上玩家
3	322400211	1	204	0	415	40051405	40051406	0	0	0	0	0	新手限时礼	天地异变·1变，30级以上玩家
4	322400216	1	204	0	424	40051407	40051407	0	0	0	0	0	新手限时礼	天地异变·3变，1070级以下玩家
5	322400217	1	204	0	427	40051408	40051408	0	0	0	0	0	限时福利礼	天地异变·3变，1081级以上玩家
6	322400218	1	204	0	433	40051411	40051411	0	0	0	0	0	新手限时礼	天地异变·4变，2090级以下玩家
7	322400219	1	204	0	436	40051412	40051412	0	0	0	0	0	限时福利礼	天地异变·4变，2101级以上玩家
8	322400220	1	204	0	449	40051413	40051413	0	0	0	0	0	新手限时礼	天地异变·5变，3110级以下玩家
9	322400221	1	204	0	452	40051414	40051414	0	0	0	0	0	限时福利礼	天地异变·5变，3121级以上玩家
10	322400222	1	204	0	458	40051415	40051415	0	0	0	0	0	新手限时礼	天地异变·6变，4130级以下玩家
11	322400223	1	204	0	461	40051416	40051416	0	0	0	0	0	限时福利礼	天地异变·6变，4141级以上玩家
12	322400224	1	204	0	467	40051417	40051417	0	0	0	0	0	新手限时礼	天地异变·7变，5150级以下玩家
13	322400225	1	204	0	470	40051418	40051418	0	0	0	0	0	限时福利礼	天地异变·7变，5161级以上玩家
14	322400226	1	204	0	476	40051419	40051419	0	0	0	0	0	新手限时礼	天地异变·8变，6170级以下玩家
15	322400227	1	204	0	479	40051420	40051420	0	0	0	0	0	限时福利礼	天地异变·8变，6181级以上玩家
16	322400228	1	204	0	505	40051520	40051520	0	0	0	0	0	新手成长礼	天地异变一开服
17	322400229	1	204	0	510	40051521	40051521	0	0	0	0	0	新手成长礼	天地异变二开服
18	322400230	1	204	0	514	40051522	40051522	0	0	0	0	0	新手成长礼	天地异变二开服
19	322400231	1	204	0	519	40051523	40051523	0	0	0	0	0	新手成长礼	天地异变二开服
20	322400232	1	204	0	523	40051524	40051524	0	0	0	0	0	新手成长礼	天地异变二开服
21	322400233	1	204	0	528	40051525	40051525	0	0	0	0	0	新手成长礼	天地异变三开服
22	322400234	1	204	0	532	40051526	40051526	0	0	0	0	0	新手成长礼	天地异变三开服
23	322400235	1	204	0	538	40051527	40051527	0	0	0	0	0	新手成长礼	天地异变三开服
24	322400236	1	204	0	541	40051528	40051528	0	0	0	0	0	新手成长礼	天地异变三开服
25	322400237	1	204	0	546	40051529	40051529	0	0	0	0	0	新手成长礼	天地异变三开服
26	322400238	1	204	0	551	40051530	40051530	0	0	0	0	0	新手成长礼	天地异变三开服
27	322400239	1	204	0	558	40051531	40051531	0	0	0	0	0	新手成长礼	天地异变三开服
28	322400240	1	204	0	562	40051532	40051532	0	0	0	0	0	新手成长礼	天地异变三开服
29	322400241	1	204	0	567	40051533	40051533	0	0	0	0	0	新手成长礼	天地异变四开服
30	322400242	1	204	0	573	40051534	40051534	0	0	0	0	0	新手成长礼	天地异变四开服
