序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值【会显示为具体几折，而不是显示超值】8豪华9）	商品原价	商品特效	额外参数1	商品说明	限制说明
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	[C][S]special_effect	[C][S]param1	没用	没用
1	410200100	1	204	240	0	0	0	0	0	240	0	0	单次招募令	不限
2	410200200	1	204	1980	0	0	0	0	0	1980	0	0	十次招募令	不限
3	400400100	1	204	15	0	0	0	0	0	15	0	0	普通强化石	不限
4	400400101	1	204	60	0	0	0	0	0	60	0	0	精粹强化石	不限
5	400400102	1	204	240	0	80011002	0	0	0	240	0	0	稀有强化石	等级达1转81级
6	400400103	1	204	960	0	80011004	0	0	0	960	0	0	上古强化石	等级达3转121级
7	400400104	1	204	3840	0	80011006	0	0	0	3840	0	0	神赐强化石	等级达5转161级
8	403300000	1	204	1	0	0	0	0	0	1	0	0	玫瑰	不限
9	300800101	1	204	500	0	40051905	40051905	0	0	500	0	0	婚戒	不在11月11~14号
10	300800101	1	204	400	0	40051903	40051903	4	4	500	0	0	婚戒	11月11~14号
11	402800100	1	204	500	0	0	0	0	0	500	0	0	改名卡	不限
12	402800200	1	204	500	0	0	0	0	0	500	0	0	禁忌之心	不限
13	450200101	1	204	500	0	90003096	90003096	0	0	500	0	0	后悔药·一转	1转61-1转80
14	450200201	1	204	500	0	90003120	90003097	0	0	500	0	0	后悔药·二转	后悔药2-可见不可买
15	450200301	1	204	500	0	90003121	90003098	0	0	500	0	0	后悔药·三转	后悔药3-可见不可买
16	450200401	1	204	500	0	90003122	90003099	0	0	500	0	0	后悔药·四转	后悔药4-可见不可买
17	450200501	1	204	500	0	90003123	90003100	0	0	500	0	0	后悔药·五转	后悔药5-可见不可买
18	450200601	1	204	500	0	90003124	90003115	0	0	500	0	0	后悔药·六转	后悔药6-可见不可买
19	450200701	1	204	500	0	90003125	90003116	0	0	500	0	0	后悔药·七转	后悔药7-可见不可买
20	300500009	1	204	1	0	0	0	0	0	1	0	0	霓裳币	不限
