序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值【会显示为具体几折，而不是显示超值】8豪华9）	商品原价	商品特效	额外参数1	商品说明	限制说明
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	[C][S]special_effect	[C][S]param1	没用	没用
1	310600002	1	205	540	0	90005001	90005001	0	0	540	0	0	元婴丹	天地异变划分：异变1全程
2	310600002	1	205	540	0	90005002	90005002	0	0	540	0	0	元婴丹	天地异变划分：异变2第1~4天
3	310600003	1	205	600	0	90005003	90005003	0	0	600	0	0	炼虚丹	天地异变划分：异变2第5~8天
4	310600003	1	205	600	0	90005004	90005004	0	0	600	0	0	炼虚丹	天地异变划分：异变3第1~7天
5	310600004	1	205	720	0	90005005	90005005	0	0	720	0	0	合体丹	天地异变划分：异变3第8~14天
6	310600004	1	205	720	0	90005006	90005006	0	0	720	0	0	合体丹	天地异变划分：异变4第1~11天
7	310600005	1	205	960	0	90005007	90005007	0	0	960	0	0	大乘丹	天地异变划分：异变4第12~22天
8	310600005	1	205	960	0	90005008	90005008	0	0	960	0	0	大乘丹	天地异变划分：异变5第1~16天
9	310600006	1	205	1200	0	90005009	90005009	0	0	1200	0	0	飞升丹	天地异变划分：异变5第17~32天
10	310600006	1	205	1200	0	90005010	90005010	0	0	1200	0	0	飞升丹	天地异变划分：异变6第1~22天
11	310600007	1	205	1440	0	90005011	90005011	0	0	1440	0	0	大罗丹	天地异变划分：异变6第23~45天
12	310600007	1	205	1440	0	90005012	90005012	0	0	1440	0	0	大罗丹	天地异变划分：异变7第1~30天
13	310600008	1	205	1800	0	90005013	90005013	0	0	1800	0	0	入灭丹	天地异变划分：异变7第31~60天
14	310600008	1	205	1800	0	90005014	90005014	0	0	1800	0	0	入灭丹	天地异变划分：异变8第1~36天
15	310600009	1	205	2250	0	90005015	90005015	0	0	2250	0	0	超脱丹	天地异变划分：异变8第37~75天
16	310600001	1	205	300	0	90005001	90005001	4	7	450	0	0	金罡丹	天地异变划分：异变1全程
17	310600001	1	205	300	0	90005002	90005002	4	7	450	0	0	金罡丹	天地异变划分：异变2第1~4天
18	310600002	1	205	360	0	90005003	90005003	4	7	540	0	0	元婴丹	天地异变划分：异变2第5~8天
19	310600002	1	205	360	0	90005004	90005004	4	7	540	0	0	元婴丹	天地异变划分：异变3第1~7天
20	310600003	1	205	400	0	90005005	90005005	4	7	600	0	0	炼虚丹	天地异变划分：异变3第8~14天
21	310600003	1	205	400	0	90005006	90005006	4	7	600	0	0	炼虚丹	天地异变划分：异变4第1~11天
22	310600004	1	205	480	0	90005007	90005007	4	7	720	0	0	合体丹	天地异变划分：异变4第12~22天
23	310600004	1	205	480	0	90005008	90005008	4	7	720	0	0	合体丹	天地异变划分：异变5第1~16天
24	310600005	1	205	640	0	90005009	90005009	4	7	960	0	0	大乘丹	天地异变划分：异变5第17~32天
25	310600005	1	205	640	0	90005010	90005010	4	7	960	0	0	大乘丹	天地异变划分：异变6第1~22天
26	310600006	1	205	800	0	90005011	90005011	4	7	1200	0	0	飞升丹	天地异变划分：异变6第23~45天
27	310600006	1	205	800	0	90005012	90005012	4	7	1200	0	0	飞升丹	天地异变划分：异变7第1~30天
28	310600007	1	205	960	0	90005013	90005013	4	7	1440	0	0	大罗丹	天地异变划分：异变7第31~60天
29	310600007	1	205	960	0	90005014	90005014	4	7	1440	0	0	大罗丹	天地异变划分：异变8第1~36天
30	310600008	1	205	1200	0	90005015	90005015	4	7	1800	0	0	入灭丹	天地异变划分：异变8第37~75天
31	310600007	1	205	451	0	90005015	90005015	2	7	720	0	0	大罗丹	天地异变划分：异变8第37~75天
32	310600006	1	205	352	0	90005013	90005013	2	7	720	0	0	飞升丹	天地异变划分：异变7第31~60天
33	310600006	1	205	352	0	90005117	90005117	2	7	720	0	0	飞升丹	天地异变8以上
34	310600005	1	205	264	0	90005011	90005011	2	7	720	0	0	大乘丹	天地异变划分：异变6第23~45天
35	310600005	1	205	264	0	90005116	90005116	2	7	720	0	0	大乘丹	天地异变7以上
36	310600004	1	205	240	0	90005009	90005009	2	7	720	0	0	合体丹	天地异变划分：异变5第17~32天
37	310600004	1	205	240	0	90005115	90005115	2	7	720	0	0	合体丹	天地异变6以上
38	310600003	1	205	200	0	90005007	90005007	2	7	600	0	0	炼虚丹	天地异变划分：异变4第12~22天
39	310600003	1	205	200	0	90005114	90005114	2	7	600	0	0	炼虚丹	天地异变5以上
40	310600002	1	205	180	0	90005005	90005005	2	7	540	0	0	元婴丹	天地异变划分：异变3第8~14天
41	310600002	1	205	180	0	90005113	90005113	2	7	540	0	0	元婴丹	天地异变4以上
42	310600001	1	205	150	0	90005003	90005003	2	7	450	0	0	金罡丹	天地异变划分：异变2第5~8天
43	310600001	1	205	150	0	90005112	90005112	2	7	450	0	0	金罡丹	天地异变3以上
44	323200001	1	205	20	0	0	0	0	0	20	0	0	回梦丹	不限
45	323400001	1	205	2	0	0	0	0	0	2	0	0	杜康酒	不限
46	323300001	1	205	300	0	0	0	0	0	300	0	0	修炼丹	不限
47	323500001	1	205	50	0	0	0	0	0	50	0	0	世界喇叭	不限
48	323500002	1	205	400	0	0	0	0	0	400	0	0	喇叭礼包	不限
49	310160101	1	205	32	0	0	0	0	0	32	0	0	蛟龙麟	不限
50	310160102	1	205	32	0	0	0	0	0	32	0	0	金蚕丝	不限
51	310160103	1	205	32	0	0	0	0	0	32	0	0	夫诸皮	不限
52	310160104	1	205	32	0	0	0	0	0	32	0	0	旋龟甲	不限
53	310160201	1	205	32	0	0	0	0	0	32	0	0	紫金矿	不限
54	310160202	1	205	32	0	0	0	0	0	32	0	0	赤金矿	不限
55	310160203	1	205	32	0	0	0	0	0	32	0	0	青金矿	不限
56	310160204	1	205	32	0	0	0	0	0	32	0	0	白金矿	不限
57	310160301	1	205	16	0	0	0	0	0	16	0	0	建筑材料	不限
58	323500003	1	205	40	0	0	0	0	0	40	0	0	主播频道喇叭	不限
59	323500004	1	205	25	0	0	0	0	0	25	0	0	阵营频道喇叭	不限
60	410600100	1	205	150	0	90005113	80011003	0	0	16	0	0	S级女娲石	天地异变4以上
100	400600030	1	205	20	0	20802891	20802891	0	0	20	0	0	[魂玉]三阶武器之魂	通关对应长生碑
101	400600031	1	205	20	0	20803491	20803491	0	0	20	0	0	[魂玉]三阶衣服之魂	通关对应长生碑
102	400600032	1	205	20	0	20804691	20804691	0	0	20	0	0	[魂玉]三阶腰带之魂	通关对应长生碑
103	400600033	1	205	20	0	20804891	20804891	0	0	20	0	0	[魂玉]三阶裤子之魂	通关对应长生碑
104	400600040	1	205	25	0	20806491	20806491	0	0	25	0	0	[魂玉]四阶武器之魂	通关对应长生碑
105	400600041	1	205	25	0	20806991	20806991	0	0	25	0	0	[魂玉]四阶衣服之魂	通关对应长生碑
106	400600042	1	205	25	0	20807691	20807691	0	0	25	0	0	[魂玉]四阶腰带之魂	通关对应长生碑
107	400600043	1	205	25	0	20807891	20807891	0	0	25	0	0	[魂玉]四阶裤子之魂	通关对应长生碑
108	400600050	1	205	30	0	20809491	20809491	0	0	30	0	0	[魂玉]五阶武器之魂	通关对应长生碑
109	400600051	1	205	30	0	20809991	20809991	0	0	30	0	0	[魂玉]五阶衣服之魂	通关对应长生碑
110	400600052	1	205	30	0	20810691	20810691	0	0	30	0	0	[魂玉]五阶腰带之魂	通关对应长生碑
111	400600053	1	205	30	0	20810891	20810891	0	0	30	0	0	[魂玉]五阶裤子之魂	通关对应长生碑
112	400600060	1	205	35	0	20812491	20812491	0	0	35	0	0	[魂玉]六阶武器之魂	通关对应长生碑
113	400600061	1	205	35	0	20812991	20812991	0	0	35	0	0	[魂玉]六阶衣服之魂	通关对应长生碑
114	400600062	1	205	35	0	20813691	20813691	0	0	35	0	0	[魂玉]六阶腰带之魂	通关对应长生碑
115	400600063	1	205	35	0	20813891	20813891	0	0	35	0	0	[魂玉]六阶裤子之魂	通关对应长生碑
116	400600070	1	205	40	0	20815491	20815491	0	0	40	0	0	[魂玉]七阶武器之魂	通关对应长生碑
117	400600071	1	205	40	0	20815991	20815991	0	0	40	0	0	[魂玉]七阶衣服之魂	通关对应长生碑
118	400600072	1	205	40	0	20816691	20816691	0	0	40	0	0	[魂玉]七阶腰带之魂	通关对应长生碑
119	400600073	1	205	40	0	20816891	20816891	0	0	40	0	0	[魂玉]七阶裤子之魂	通关对应长生碑
120	400600080	1	205	45	0	20818491	20818491	0	0	45	0	0	[魂玉]八阶武器之魂	通关对应长生碑
121	400600081	1	205	45	0	20818991	20818991	0	0	45	0	0	[魂玉]八阶衣服之魂	通关对应长生碑
122	400600082	1	205	45	0	20819691	20819691	0	0	45	0	0	[魂玉]八阶腰带之魂	通关对应长生碑
123	400600083	1	205	45	0	20819891	20819891	0	0	45	0	0	[魂玉]八阶裤子之魂	通关对应长生碑
124	400600090	1	205	108	0	20827491	20827491	0	0	108	0	0	[魂玉]九阶武器之魂	通关对应长生碑
125	400600091	1	205	108	0	20827991	20827991	0	0	108	0	0	[魂玉]九阶衣服之魂	通关对应长生碑
126	400600092	1	205	108	0	20828891	20828891	0	0	108	0	0	[魂玉]九阶腰带之魂	通关对应长生碑
127	400600093	1	205	108	0	20828691	20828691	0	0	108	0	0	[魂玉]九阶裤子之魂	通关对应长生碑
200	420200200	1	205	100	0	80011002	80011002	0	0	100	0	0	紫晶碎片	等级达1转81级
201	420200300	1	205	200	0	80011004	80011004	0	0	200	0	0	紫晶晶核	等级达3转121级
202	420200400	1	205	400	0	80011006	80011006	0	0	400	0	0	紫晶玉髓	等级达5转161级
203	420500301	1	205	200	0	91000259	90002801	0	0	200	0	0	[图纸]封魔魂棒·紫	1转81级以上
204	420500302	1	205	200	0	91000259	90002802	0	0	200	0	0	[图纸]金刚虎煞·紫	1转81级以上
205	420500303	1	205	200	0	91000259	90002803	0	0	200	0	0	[图纸]蕴灵元伞·紫	1转81级以上
206	420500401	1	205	700	0	91000260	90002804	0	0	700	0	0	[图纸]封魔魂棒·橙	3转121级以上
207	420500402	1	205	700	0	91000260	90002805	0	0	700	0	0	[图纸]金刚虎煞·橙	3转121级以上
208	420500403	1	205	700	0	91000260	90002806	0	0	700	0	0	[图纸]蕴灵元伞·橙	3转121级以上
209	420500404	1	205	700	0	91000260	90002807	0	0	700	0	0	[图纸]天魔兽神·橙	3转121级以上
210	420500405	1	205	700	0	91000260	90002808	0	0	700	0	0	[图纸]穿天涅槃·橙	3转121级以上
211	420500406	1	205	700	0	91000260	90002809	0	0	700	0	0	[图纸]苍龙剑气·橙	3转121级以上
212	420500501	1	205	1200	0	91000261	90002810	0	0	1200	0	0	[图纸]封魔魂棒·红	5转161级以上
213	420500502	1	205	1200	0	91000261	90002811	0	0	1200	0	0	[图纸]金刚虎煞·红	5转161级以上
214	420500503	1	205	1200	0	91000261	90002812	0	0	1200	0	0	[图纸]蕴灵元伞·红	5转161级以上
215	420500504	1	205	1200	0	91000261	90002813	0	0	1200	0	0	[图纸]天魔兽神·红	5转161级以上
216	420500505	1	205	1200	0	91000261	90002814	0	0	1200	0	0	[图纸]穿天涅槃·红	5转161级以上
217	420500506	1	205	1200	0	91000261	90002815	0	0	1200	0	0	[图纸]苍龙剑气·红	5转161级以上
