序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值8豪华9）	商品原价	商品特效	额外参数1	商品说明	限制说明
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	[C][S]special_effect	[C][S]param1	没用	没用
1	320500111	2	300500009	300	0	90000001	90000001	0	0	0	0	0	[武器]青月飞虹（7天）	剑客专属
2	320500112	2	300500009	300	0	90000002	90000002	0	0	0	0	0	[武器]青冥龙眸（7天）	御灵专属
3	320500113	2	300500009	300	0	90000003	90000003	0	0	0	0	0	[武器]血炎狂刃（7天）	刀客专属
4	320500114	2	300500009	300	0	90000004	90000004	0	0	0	0	0	[武器]秀丽鸣弓（7天）	弓手专属
5	320500211	2	300500009	300	0	90000001	90000001	0	0	0	0	0	[武器]新月流光（7天）	剑客专属
6	320500212	2	300500009	300	0	90000002	90000002	0	0	0	0	0	[武器]凝霜犀翠（7天）	御灵专属
7	320500213	2	300500009	300	0	90000003	90000003	0	0	0	0	0	[武器]炼魂鬼斩（7天）	刀客专属
8	320500214	2	300500009	300	0	90000004	90000004	0	0	0	0	0	[武器]荆棘之怒（7天）	弓手专属
9	320500311	2	300500009	400	0	90000001	90000001	0	0	0	0	0	[武器]醺红如醉（7天）	剑客专属
10	320500312	2	300500009	400	0	90000002	90000002	0	0	0	0	0	[武器]醺红如醉（7天）	御灵专属
11	320500313	2	300500009	400	0	90000003	90000003	0	0	0	0	0	[武器]醺红如醉（7天）	刀客专属
12	320500314	2	300500009	400	0	90000004	90000004	0	0	0	0	0	[武器]醺红如醉（7天）	弓手专属
13	320500421	2	300500009	400	0	90000001	90000001	0	0	0	0	0	[武器]雪霁晴蓝（7天）	剑客专属
14	320500422	2	300500009	400	0	90000002	90000002	0	0	0	0	0	[武器]雪霁晴蓝（7天）	御灵专属
15	320500423	2	300500009	400	0	90000003	90000003	0	0	0	0	0	[武器]雪霁晴蓝（7天）	刀客专属
16	320500424	2	300500009	400	0	90000004	90000004	0	0	0	0	0	[武器]雪霁晴蓝（7天）	弓手专属
17	320500511	2	300500009	600	0	90000001	90000001	0	0	0	0	0	[武器]狐言（7天）	剑客专属
18	320500512	2	300500009	600	0	90000002	90000002	0	0	0	0	0	[武器]狐言（7天）	御灵专属
19	320500513	2	300500009	600	0	90000003	90000003	0	0	0	0	0	[武器]狐言（7天）	刀客专属
20	320500514	2	300500009	600	0	90000004	90000004	0	0	0	0	0	[武器]狐言（7天）	弓手专属
21	320500711	2	300500009	800	0	90000041	90000041	0	0	0	0	0	[武器]雪夜虹影（7天）	#N/A
22	320500712	2	300500009	800	0	90000042	90000042	0	0	0	0	0	[武器]雪夜虹影（7天）	#N/A
23	320500713	2	300500009	800	0	90000043	90000043	0	0	0	0	0	[武器]雪夜虹影（7天）	#N/A
24	320500714	2	300500009	800	0	90000044	90000044	0	0	0	0	0	[武器]雪夜虹影（7天）	#N/A
25	320500201	2	300500009	1200	0	90000001	90000001	0	0	0	0	0	[武器]新月流光	剑客专属
26	320500202	2	300500009	1200	0	90000002	90000002	0	0	0	0	0	[武器]凝霜犀翠	御灵专属
27	320500203	2	300500009	1200	0	90000003	90000003	0	0	0	0	0	[武器]炼魂鬼斩	刀客专属
28	320500204	2	300500009	1200	0	90000004	90000004	0	0	0	0	0	[武器]荆棘之怒	弓手专属
29	320500101	2	300500009	1200	0	90000001	90000001	0	0	0	0	0	[武器]青月飞虹	剑客专属
30	320500102	2	300500009	1200	0	90000002	90000002	0	0	0	0	0	[武器]青冥龙眸	御灵专属
31	320500103	2	300500009	1200	0	90000003	90000003	0	0	0	0	0	[武器]血炎狂刃	刀客专属
32	320500104	2	300500009	1200	0	90000004	90000004	0	0	0	0	0	[武器]秀丽鸣弓	弓手专属
33	320500301	2	300500009	1600	0	90000001	90000001	0	0	0	0	0	[武器]醺红如醉	剑客专属
34	320500302	2	300500009	1600	0	90000002	90000002	0	0	0	0	0	[武器]醺红如醉	御灵专属
35	320500303	2	300500009	1600	0	90000003	90000003	0	0	0	0	0	[武器]醺红如醉	刀客专属
36	320500304	2	300500009	1600	0	90000004	90000004	0	0	0	0	0	[武器]醺红如醉	弓手专属
37	320500401	2	300500009	1600	0	90000001	90000001	0	0	0	0	0	[武器]雪霁晴蓝	剑客专属
38	320500402	2	300500009	1600	0	90000002	90000002	0	0	0	0	0	[武器]雪霁晴蓝	御灵专属
39	320500403	2	300500009	1600	0	90000003	90000003	0	0	0	0	0	[武器]雪霁晴蓝	刀客专属
40	320500404	2	300500009	1600	0	90000004	90000004	0	0	0	0	0	[武器]雪霁晴蓝	弓手专属
41	320500501	2	300500009	2400	0	90000001	90000001	0	0	0	0	0	[武器]狐言	剑客专属
42	320500502	2	300500009	2400	0	90000002	90000002	0	0	0	0	0	[武器]狐言	御灵专属
43	320500503	2	300500009	2400	0	90000003	90000003	0	0	0	0	0	[武器]狐言	刀客专属
44	320500504	2	300500009	2400	0	90000004	90000004	0	0	0	0	0	[武器]狐言	弓手专属
45	320500701	2	300500009	3200	0	90000041	90000041	0	0	0	0	0	[武器]雪夜虹影	剑客专属
46	320500702	2	300500009	3200	0	90000042	90000042	0	0	0	0	0	[武器]雪夜虹影	御灵专属
47	320500703	2	300500009	3200	0	90000043	90000043	0	0	0	0	0	[武器]雪夜虹影	刀客专属
48	320500704	2	300500009	3200	0	90000044	90000044	0	0	0	0	0	[武器]雪夜虹影	弓手专属
