序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值8豪华9）	商品原价	商品说明	限制说明
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	没用	没用
1	300100070	1	5	14000	0	80002017	80002017	0	0	0	[未鉴定]七阶武器	4转140级开放
2	300100170	1	5	13000	0	80002017	80002017	0	0	0	[未鉴定]七阶护甲	4转140级开放
3	300100270	1	5	14000	0	80002017	80002017	0	0	0	[未鉴定]七阶腰带	4转140级开放
4	300100370	1	5	13000	0	80002017	80002017	0	0	0	[未鉴定]七阶裤裙	4转140级开放
5	300100470	1	5	11000	0	80002017	80002017	0	0	0	[未鉴定]七阶手套	4转140级开放
6	300100770	1	5	10000	0	80002017	80002017	0	0	0	[未鉴定]七阶护肩	4转140级开放
7	300100870	1	5	11000	0	80002017	80002017	0	0	0	[未鉴定]七阶头饰	4转140级开放
8	300100970	1	5	10000	0	80002017	80002017	0	0	0	[未鉴定]七阶鞋子	4转140级开放
9	300100060	1	5	6000	0	80002016	80002016	0	0	0	[未鉴定]六阶武器	3转120级开放
10	300100160	1	5	6000	0	80002016	80002016	0	0	0	[未鉴定]六阶护甲	3转120级开放
11	300100260	1	5	6000	0	80002016	80002016	0	0	0	[未鉴定]六阶腰带	3转120级开放
12	300100360	1	5	6000	0	80002016	80002016	0	0	0	[未鉴定]六阶裤裙	3转120级开放
13	300100460	1	5	5000	0	80002016	80002016	0	0	0	[未鉴定]六阶手套	3转120级开放
14	300100760	1	5	4000	0	80002016	80002016	0	0	0	[未鉴定]六阶护肩	3转120级开放
15	300100860	1	5	5000	0	80002016	80002016	0	0	0	[未鉴定]六阶头饰	3转120级开放
16	300100960	1	5	4000	0	80002016	80002016	0	0	0	[未鉴定]六阶鞋子	3转120级开放
17	300100050	1	5	1900	0	80002015	80002015	0	0	0	[未鉴定]五阶武器	2转100级开放
18	300100150	1	5	1800	0	80002015	80002015	0	0	0	[未鉴定]五阶护甲	2转100级开放
19	300100250	1	5	1900	0	80002015	80002015	0	0	0	[未鉴定]五阶腰带	2转100级开放
20	300100350	1	5	1800	0	80002015	80002015	0	0	0	[未鉴定]五阶裤裙	2转100级开放
21	300100450	1	5	1400	0	80002015	80002015	0	0	0	[未鉴定]五阶手套	2转100级开放
22	300100750	1	5	1300	0	80002015	80002015	0	0	0	[未鉴定]五阶护肩	2转100级开放
23	300100850	1	5	1400	0	80002015	80002015	0	0	0	[未鉴定]五阶头饰	2转100级开放
24	300100950	1	5	1300	0	80002015	80002015	0	0	0	[未鉴定]五阶鞋子	2转100级开放
25	300100040	1	5	700	0	80002014	80002014	0	0	0	[未鉴定]四阶武器	1转80级开放
26	300100140	1	5	700	0	80002014	80002014	0	0	0	[未鉴定]四阶护甲	1转80级开放
27	300100240	1	5	700	0	80002014	80002014	0	0	0	[未鉴定]四阶腰带	1转80级开放
28	300100340	1	5	700	0	80002014	80002014	0	0	0	[未鉴定]四阶裤裙	1转80级开放
29	300100440	1	5	500	0	80002014	80002014	0	0	0	[未鉴定]四阶手套	1转80级开放
30	300100740	1	5	500	0	80002014	80002014	0	0	0	[未鉴定]四阶护肩	1转80级开放
31	300100840	1	5	500	0	80002014	80002014	0	0	0	[未鉴定]四阶头饰	1转80级开放
32	300100940	1	5	500	0	80002014	80002014	0	0	0	[未鉴定]四阶鞋子	1转80级开放
33	300100030	1	5	300	0	80002013	80002013	0	0	0	[未鉴定]三阶武器	60级开放
34	300100130	1	5	300	0	80002013	80002013	0	0	0	[未鉴定]三阶护甲	60级开放
35	300100230	1	5	300	0	80002013	80002013	0	0	0	[未鉴定]三阶腰带	60级开放
36	300100330	1	5	300	0	80002013	80002013	0	0	0	[未鉴定]三阶裤裙	60级开放
37	300100430	1	5	220	0	80002013	80002013	0	0	0	[未鉴定]三阶手套	60级开放
38	300100730	1	5	190	0	80002013	80002013	0	0	0	[未鉴定]三阶护肩	60级开放
39	300100830	1	5	220	0	80002013	80002013	0	0	0	[未鉴定]三阶头饰	60级开放
40	300100930	1	5	190	0	80002013	80002013	0	0	0	[未鉴定]三阶鞋子	60级开放
41	300100020	1	5	100	0	0	0	0	0	0	[未鉴定]二阶武器	#N/A
42	300100120	1	5	90	0	0	80002012	0	0	0	[未鉴定]二阶护甲	40级开放
43	300100220	1	5	100	0	0	80002012	0	0	0	[未鉴定]二阶腰带	40级开放
44	300100320	1	5	90	0	0	80002012	0	0	0	[未鉴定]二阶裤裙	40级开放
45	300100420	1	5	70	0	0	80002012	0	0	0	[未鉴定]二阶手套	40级开放
46	300100720	1	5	60	0	0	80002012	0	0	0	[未鉴定]二阶护肩	40级开放
47	300100820	1	5	70	0	0	80002012	0	0	0	[未鉴定]二阶头饰	40级开放
48	300100920	1	5	60	0	0	80002012	0	0	0	[未鉴定]二阶鞋子	40级开放
