序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值【会显示为具体几折，而不是显示超值】8豪华9）	商品原价	商品特效	额外参数1	商品说明	显示限制
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	[C][S]special_effect	[C][S]param1	没用	没用
1	310270024	1	204	1	584	0	0	4	8	1	0	0	每日惊喜礼包	#N/A
2	400500150	1	204	200	0	90005202	90005202	1	4	200	0	0	[图纸]五阶衣服魂装	2转101级以上
3	400500160	1	204	400	0	90005203	90005203	1	4	400	0	0	[图纸]六阶衣服魂装	3转121级以上
4	400500760	1	204	400	0	90005203	90005203	1	4	400	0	0	[图纸]六阶护肩魂装	3转121级以上
5	400500960	1	204	400	0	90005203	90005203	1	4	400	0	0	[图纸]六阶鞋子魂装	3转121级以上
6	400500170	1	204	600	0	90005204	90005204	1	4	600	0	0	[图纸]七阶衣服魂装	4转141级以上
7	400500970	1	204	600	0	90005204	90005204	1	4	600	0	0	[图纸]七阶鞋子魂装	4转141级以上
8	400500180	1	204	800	0	90005205	90005205	1	4	800	0	0	[图纸]八阶衣服魂装	5转161级以上
9	400500780	1	204	800	0	90005205	90005205	1	4	800	0	0	[图纸]八阶护肩魂装	5转161级以上
10	400500980	1	204	800	0	90005205	90005205	1	4	800	0	0	[图纸]八阶鞋子魂装	5转161级以上
11	400500190	1	204	1000	0	90005206	90005206	1	4	1000	0	0	[图纸]九阶衣服魂装	6转181级以上
12	400500790	1	204	1000	0	90005206	90005206	1	4	1000	0	0	[图纸]九阶护肩魂装	6转181级以上
13	400500990	1	204	1000	0	90005206	90005206	1	4	1000	0	0	[图纸]九阶鞋子魂装	6转181级以上
14	411000132	1	204	2080	216	40054601	40054601	1	4	2080	0	0	[坐骑]峨眉月	节日期间内
15	320703300	1	204	728	498	40054601	40054601	1	4	728	0	0	[灵宝]燕语莺歌	节日期间内
16	411000332	1	204	520	499	40054601	40054601	1	4	520	0	0	[坐骑]峨眉月（7天）	节日期间内
17	320703320	1	204	182	500	40054601	40054601	1	4	182	0	0	[灵宝]燕语莺歌（7天）	节日期间内
18	411000132	1	204	4000	216	40054602	40054602	1	4	4000	0	0	[坐骑]峨眉月	节日期间内
19	320703300	1	204	1400	498	40054602	40054602	1	4	1400	0	0	[灵宝]燕语莺歌	节日期间内
20	411000332	1	204	1000	499	40054602	40054602	1	4	1000	0	0	[坐骑]峨眉月（7天）	节日期间内
21	320703320	1	204	350	500	40054602	40054602	1	4	350	0	0	[灵宝]燕语莺歌（7天）	节日期间内
22	310270135	1	204	3300	758	40054800	40054800	1	4	8310	0	0	光复礼包	节日期间内
23	410560003	1	204	250	754	90005110	90005110	4	3	250	0	0	[信物]笑天	天地异变1以上
24	410560006	1	204	250	755	90005112	90005112	4	3	250	0	0	[信物]西海龙女	天地异变3以上
25	410560009	1	204	250	756	90005114	90005114	4	3	250	0	0	[信物]暴走兔	天地异变5以上
26	410560010	1	204	250	757	90005114	90005114	4	3	250	0	0	[信物]万古尸王	天地异变5以上
27	310270084	1	204	90	174	40054500	40054500	1	4	175	0	0	天灯	活动期间内
28	310270084	1	204	90	174	40054700	40054700	1	4	175	0	0	天灯	节日期间内
29	410200100	1	204	190	165	40052700	40052700	1	4	240	0	0	单次招募令	情人节期间
30	300800101	1	204	400	220	40052700	40052700	1	4	500	0	0	婚戒	情人节期间
31	320703000	1	204	1120	0	40052700	40052700	1	4	1400	0	0	[灵宝]一生一世	情人节期间
32	403300001	1	204	70	0	40052700	40052700	1	4	99	0	0	玫瑰*99	情人节期间
33	403300002	1	204	390	0	40052700	40052700	1	4	520	0	0	玫瑰*520	情人节期间
34	403300003	1	204	990	0	40052700	40052700	1	4	1314	0	0	玫瑰*1314	情人节期间
35	403300004	1	204	2510	0	40052700	40052700	1	4	3344	0	0	玫瑰*3344	情人节期间
36	321154016	1	204	60	638	40052700	40052700	1	4	250	0	0	活动礼盒·一	情人节期间
37	321154017	1	204	250	639	40052700	40052700	1	4	935	0	0	活动礼盒·二	情人节期间
38	321154018	1	204	900	640	40052700	40052700	1	4	2300	0	0	活动礼盒·三	情人节期间
39	321154076	1	204	1500	641	40052701	40052701	1	4	3210	0	0	活动礼盒·四	情人节期间
