序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值【会显示为具体几折，而不是显示超值】8豪华9）	商品原价	商品特效	额外参数1	商品说明	限制说明
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	[C][S]special_effect	[C][S]param1	没用	没用
1	310270055	1	204	4	669	90005100	90005100	1	4	13	0	0	幸运铜币礼包1	天地异变处于一
2	310270056	1	204	25	670	90005101	90005101	1	4	69	0	0	幸运铜币礼包2	天地异变处于二
3	310270057	1	204	42	669	90005102	90005102	1	4	104	0	0	幸运铜币礼包3	天地异变处于三
4	310270058	1	204	320	671	90005103	90005103	1	4	772	0	0	幸运铜币礼包4	天地异变处于四
5	310270059	1	204	380	672	90005104	90005104	1	4	884	0	0	幸运铜币礼包5	天地异变处于五
6	310270060	1	204	780	669	90005105	90005105	1	4	1875	0	0	幸运铜币礼包6	天地异变处于六
7	310270061	1	204	1600	671	90005106	90005106	1	4	3907	0	0	幸运铜币礼包7	天地异变处于七
8	310270062	1	204	1650	673	90005107	90005107	1	4	4186	0	0	幸运铜币礼包8	天地异变处于八
9	310270063	1	204	1350	674	90005108	90005108	1	4	3489	0	0	幸运铜币礼包9	天地异变处于九
10	310270064	1	204	1100	673	90005109	90005109	1	4	2907	0	0	幸运铜币礼包10	天地异变处于十
11	400400100	1	204	12	607	80011012	80011012	1	7	15	0	0	普通强化石	1~60级
12	400400100	1	204	11	607	80011013	80011013	1	7	15	0	0	普通强化石	61~1转80级
13	400400100	1	204	11	607	80011014	80011014	1	7	15	0	0	普通强化石	1转81~2转100级
14	400400100	1	204	10	607	80011015	80011015	1	7	15	0	0	普通强化石	2转101~3转120级
15	400400100	1	204	9	607	80011016	80011016	1	7	15	0	0	普通强化石	3转121~4转140级
16	400400100	1	204	8	607	80011017	80011017	1	7	15	0	0	普通强化石	4转141~5转160级
17	400400100	1	204	7	607	80011018	80011018	1	7	15	0	0	普通强化石	5转161~6转180级
18	400400100	1	204	6	607	80011019	80011019	1	7	15	0	0	普通强化石	6转181级以上
19	400400101	1	204	51	608	80011012	80011012	4	7	60	0	0	精粹强化石	1~60级
20	400400101	1	204	48	608	80011013	80011013	4	7	60	0	0	精粹强化石	61~1转80级
21	400400101	1	204	45	608	80011014	80011014	4	7	60	0	0	精粹强化石	1转81~2转100级
22	400400101	1	204	42	608	80011015	80011015	4	7	60	0	0	精粹强化石	2转101~3转120级
23	400400101	1	204	39	608	80011016	80011016	4	7	60	0	0	精粹强化石	3转121~4转140级
24	400400101	1	204	36	608	80011017	80011017	4	7	60	0	0	精粹强化石	4转141~5转160级
25	400400101	1	204	33	608	80011018	80011018	4	7	60	0	0	精粹强化石	5转161~6转180级
26	400400101	1	204	27	608	80011019	80011019	4	7	60	0	0	精粹强化石	6转181级以上
27	400400102	1	204	192	609	80011014	80011014	4	7	240	0	0	稀有强化石	1转81~2转100级
28	400400102	1	204	180	609	80011015	80011015	4	7	240	0	0	稀有强化石	2转101~3转120级
29	400400102	1	204	168	609	80011016	80011016	4	7	240	0	0	稀有强化石	3转121~4转140级
30	400400102	1	204	156	609	80011017	80011017	4	7	240	0	0	稀有强化石	4转141~5转160级
31	400400102	1	204	144	609	80011018	80011018	4	7	240	0	0	稀有强化石	5转161~6转180级
32	400400102	1	204	132	609	80011019	80011019	4	7	240	0	0	稀有强化石	6转181级以上
33	400400103	1	204	768	610	80011016	80011016	4	7	960	0	0	上古强化石	3转121~4转140级
34	400400103	1	204	720	610	80011017	80011017	4	7	960	0	0	上古强化石	4转141~5转160级
35	400400103	1	204	672	610	80011018	80011018	4	7	960	0	0	上古强化石	5转161~6转180级
36	400400103	1	204	624	610	80011019	80011019	4	7	960	0	0	上古强化石	6转181级以上
37	400400104	1	204	3072	611	80011018	80011018	4	7	3840	0	0	神赐强化石	5转161~6转180级
38	400400104	1	204	2880	611	80011019	80011019	4	7	3840	0	0	神赐强化石	6转181级以上
39	321700003	1	204	180	612	80011008	80011008	4	7	270	0	0	随机3级宝石	1~2转100级
40	321700004	1	204	600	613	80011010	80011010	4	7	900	0	0	随机3级宝石	2转101~5转160级
41	321700005	1	204	2000	614	80011011	80011011	4	7	3000	0	0	随机3级宝石	5转161级以上
42	410200200	1	204	1000	126	80011020	80011020	1	7	1980	0	0	十次招募令	十连抽5折仅限1次
43	410400001	1	204	3	615	0	0	1	7	5	0	0	灵宠培养丹	不限
44	410300000	1	204	200	616	80011008	80011008	4	7	300	0	0	低级灵卷	1~2转100级
45	410300001	1	204	400	617	80011010	80011010	4	7	600	0	0	中级灵卷	2转101~5转160级
46	410300002	1	204	1000	618	80011011	80011011	4	7	1500	0	0	高级灵卷	5转161级以上
47	320100301	1	204	266	619	0	0	4	7	380	0	0	3级福签	不限
48	320200500	1	204	240	620	0	0	4	7	300	0	0	神龙藏宝图碎片	不限
49	410300000	1	204	200	201	90000445	90000445	4	7	300	0	0	低级灵卷	2转101级开放购买
50	410300001	1	204	400	202	90000446	90000446	4	7	600	0	0	中级灵卷	5转161级开放购买
51	324200501	1	204	39	0	91000251	91000251	3	1	40	0	0	随机蓝法器碎片	1~60级
52	324200501	1	204	45	0	91000252	91000252	3	1	50	0	0	随机蓝法器碎片	61~1转80级
53	324200503	1	204	59	0	91000253	91000253	3	1	65	0	0	随机蓝紫法器碎片	1转81~2转100级
54	324200504	1	204	72	0	91000254	91000254	3	1	80	0	0	随机紫法器碎片	2转101~3转120级
55	324200505	1	204	99	0	91000255	91000255	3	1	110	0	0	随机紫橙法器碎片	3转121~4转140级
56	324200506	1	204	126	0	91000256	91000256	3	1	140	0	0	随机橙法器碎片	4转141~5转160级
57	324200507	1	204	135	0	91000257	91000257	3	1	150	0	0	随机橙红法器碎片	5转161~6转180级
58	324200508	1	204	144	0	91000258	91000258	3	1	160	0	0	随机红法器碎片	6转181级以上
59	324200501	1	204	40	0	91000259	91000259	4	7	45	0	0	随机蓝法器碎片	1转81级以上
60	324200504	1	204	65	0	91000260	91000260	4	7	72	0	0	随机紫法器碎片	3转121级以上
61	324200506	1	204	113	0	91000261	91000261	4	7	126	0	0	随机橙法器碎片	5转161级以上
62	324200508	1	204	130	0	91000262	91000262	4	7	144	0	0	随机红法器碎片	7转201级以上
