序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值8豪华9）	商品原价	商品特效	额外参数1	商品说明	限制说明
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	[C][S]special_effect	[C][S]param1	没用	没用
1	320702700	2	300500009	800	0	40051903	40051903	1	4	0	0	0	[灵宝]寂寞的凝视	#N/A
2	320600101	2	300500009	300	0	0	0	0	0	0	0	0	[龙魂]碧虬翡意（7天）	#N/A
3	320700510	2	300500009	200	0	0	0	0	0	0	0	0	[灵宝]魅音琵琶（7天）	#N/A
4	320700610	2	300500009	200	0	0	0	0	0	0	0	0	[灵宝]墨魂画笔（7天）	#N/A
5	320700710	2	300500009	200	0	0	0	0	0	0	0	0	[灵宝]酒鬼葫芦（7天）	#N/A
6	320700810	2	300500009	200	0	0	0	0	0	0	0	0	[灵宝]饰金太刀（7天）	#N/A
7	320700910	2	300500009	200	0	0	0	0	0	0	0	0	[灵宝]瞌睡兔（7天）	#N/A
8	320701110	2	300500009	200	0	0	0	0	0	0	0	0	[灵宝]童趣花鼓（7天）	#N/A
9	320701210	2	300500009	200	0	0	0	0	0	0	0	0	[灵宝]冲浪板（7天）	#N/A
10	320701310	2	300500009	200	0	0	0	0	0	0	0	0	[灵宝]海豚（7天）	#N/A
11	320701410	2	300500009	200	0	0	0	0	0	0	0	0	[灵宝]月饼（7天）	#N/A
12	320701510	2	300500009	200	0	0	0	0	0	0	0	0	[灵宝]桃花箭筒（7天）	#N/A
13	320701610	2	300500009	200	0	0	0	0	0	0	0	0	[灵宝]墨徽笔筒（7天）	#N/A
14	320701710	2	300500009	200	0	0	0	0	0	0	0	0	[灵宝]玄银重剑（7天）	#N/A
15	320701810	2	300500009	200	0	0	0	0	0	0	0	0	[灵宝]玄银轻剑（7天）	#N/A
16	320701910	2	300500009	200	0	0	0	0	0	0	0	0	[灵宝]箜羽箭（7天）	#N/A
17	320702010	2	300500009	200	0	0	0	0	0	0	0	0	[灵宝]翡翎手杖（7天）	#N/A
18	320702110	2	300500009	200	0	0	0	0	0	0	0	0	[灵宝]风车鱼（7天）	#N/A
19	320700500	2	300500009	800	0	0	0	0	0	0	0	0	[灵宝]魅音琵琶	#N/A
20	320700600	2	300500009	800	0	0	0	0	0	0	0	0	[灵宝]墨魂画笔	#N/A
21	320700700	2	300500009	800	0	0	0	0	0	0	0	0	[灵宝]酒鬼葫芦	#N/A
22	320700800	2	300500009	800	0	0	0	0	0	0	0	0	[灵宝]饰金太刀	#N/A
23	320700900	2	300500009	800	0	0	0	0	0	0	0	0	[灵宝]瞌睡兔	#N/A
24	320701100	2	300500009	800	0	0	0	0	0	0	0	0	[灵宝]童趣花鼓	#N/A
25	320701200	2	300500009	800	0	0	0	0	0	0	0	0	[灵宝]冲浪板	#N/A
26	320701300	2	300500009	800	0	0	0	0	0	0	0	0	[灵宝]海豚	#N/A
27	320701400	2	300500009	800	0	0	0	0	0	0	0	0	[灵宝]月饼	#N/A
28	320701500	2	300500009	800	0	0	0	0	0	0	0	0	[灵宝]桃花箭筒	#N/A
29	320701600	2	300500009	800	0	0	0	0	0	0	0	0	[灵宝]墨徽笔筒	#N/A
30	320701700	2	300500009	800	0	0	0	0	0	0	0	0	[灵宝]玄银重剑	#N/A
31	320701800	2	300500009	800	0	0	0	0	0	0	0	0	[灵宝]玄银轻剑	#N/A
32	320701900	2	300500009	800	0	0	0	0	0	0	0	0	[灵宝]箜羽箭	#N/A
33	320702000	2	300500009	800	0	0	0	0	0	0	0	0	[灵宝]翡翎手杖	#N/A
34	320702100	2	300500009	800	0	0	0	0	0	0	0	0	[灵宝]风车鱼	#N/A
35	320702900	2	300500009	1400	0	70007700	70007700	0	0	0	0	0	[灵宝]风车	#N/A
36	320702800	2	300500009	1400	0	70007600	70007600	0	0	0	0	0	[灵宝]画卷	#N/A
37	320703300	2	300500009	1400	0	0	0	0	0	0	0	0	[灵宝]燕语莺歌	#N/A
