序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值8豪华9）	商品原价	商品特效	额外参数1	商品说明	限制说明	折扣	次数说明
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	[C][S]special_effect	[C][S]param1	没用	没用	没用	没用
1	300800101	1	204	400	0	40051903	40051903	1	4	500	0	0	婚戒	11月11日~11月14日期间内	0.8	每周1
2	321151604	1	204	20	166	40051699	40051699	1	4	60	0	0	重阳礼盒·一	10月28日~10月30日期间	33%	终生10
3	321151605	1	204	180	167	40051699	40051699	1	4	380	0	0	重阳礼盒·二	10月28日~10月30日期间	47%	终生3
4	321151606	1	204	350	168	40051699	40051699	1	4	710	0	0	重阳礼盒·三	10月28日~10月30日期间	49%	终生1
5	321151607	1	204	2300	169	40051699	40051699	1	4	3730	0	0	重阳礼盒·四	10月28日~10月30日期间	62%	终生1
6	321151608	1	204	3000	170	40051699	40051699	1	4	4630	0	0	重阳礼盒·五	10月28日~10月30日期间	65%	终生3
7	321151709	1	204	25	0	40051800	40051800	1	4	25	0	0	饺子皮	11月8日~11月10日期间内	100%	不限
8	321151710	1	204	25	0	40051800	40051800	1	4	25	0	0	饺子馅	11月8日~11月10日期间内	100%	不限
9	321151704	1	204	20	179	40051800	40051800	1	4	75	0	0	立冬礼盒一	11月8日~11月10日期间内	27%	终生6
10	321151705	1	204	180	180	40051800	40051800	1	4	395	0	0	立冬礼盒二	11月8日~11月10日期间内	46%	终生2
11	321151706	1	204	350	181	40051800	40051800	1	4	645	0	0	立冬礼盒三	11月8日~11月10日期间内	54%	终生2
12	321151707	1	204	2280	182	40051800	40051800	1	4	3825	0	0	立冬礼盒四	11月8日~11月10日期间内	60%	终生1
13	321151708	1	204	3880	183	40051800	40051800	1	4	5955	0	0	立冬礼盒五	11月8日~11月10日期间内	65%	终生3
14	310200100	1	204	10	0	40051903	40051903	1	4	10	0	0	好人卡	11月11日~11月14日期间内	100%	不限
15	321150119	1	204	20	194	40051903	40051903	1	4	72	0	0	单身节礼盒一	11月11日~11月14日期间内	28%	终生6
16	321150120	1	204	180	195	40051903	40051903	1	4	400	0	0	单身节礼盒二	11月11日~11月14日期间内	45%	终生4
17	321150121	1	204	350	196	40051903	40051903	1	4	700	0	0	单身节礼盒三	11月11日~11月14日期间内	50%	终生3
18	321150122	1	204	1500	197	40051903	40051903	1	4	2450	0	0	单身节礼盒四	11月11日~11月14日期间内	61%	终生1
19	321150123	1	204	3000	198	40051903	40051903	1	4	4800	0	0	单身节礼盒五	11月11日~11月14日期间内	63%	终生3
20	321151718	1	204	20	204	40052101	40052101	1	4	60	0	0	小雪礼盒·一	在活动期间内	33%	终生10
21	321151719	1	204	180	205	40052101	40052101	1	4	380	0	0	小雪礼盒·二	在活动期间内	47%	终生3
22	321151720	1	204	350	206	40052101	40052101	1	4	710	0	0	小雪礼盒·三	在活动期间内	49%	终生1
23	321151721	1	204	2400	207	40052101	40052101	1	4	4800	0	0	小雪礼盒·四	在活动期间内	50%	终生1
24	321151722	1	204	3800	208	40052101	40052101	1	4	8700	0	0	小雪礼盒·五	在活动期间内	44%	终生3
25	321152000	1	204	20	0	40052201	40052201	1	4	20	0	0	双12，雪球	在活动期间内	100%	无限制
26	321152001	1	204	100	0	40052201	40052201	1	4	100	0	0	双12，雪人	在活动期间内	100%	无限制
27	321151723	1	204	20	210	40052201	40052201	1	4	80	0	0	双12，雪狂欢礼盒一	在活动期间内	25%	无限制
28	321151724	1	204	180	211	40052201	40052201	1	4	540	0	0	双12，雪狂欢礼盒二	在活动期间内	33%	无限制
29	321151725	1	204	350	212	40052201	40052201	1	4	880	0	0	双12，雪狂欢礼盒三	在活动期间内	40%	无限制
30	321151726	1	204	1500	213	40052201	40052201	1	4	3230	0	0	双12，雪狂欢礼盒四	在活动期间内	46%	无限制
31	321151727	1	204	3400	214	40052201	40052201	1	4	6210	0	0	双12，雪狂欢礼盒五	在活动期间内	55%	无限制
32	310251625	1	204	50	0	40052500	40052500	1	4	50	0	0	圣	在活动期间内	100%	无限制
33	310251626	1	204	50	0	40052500	40052500	1	4	50	0	0	诞	在活动期间内	100%	无限制
34	310251627	1	204	25	224	40052500	40052500	1	4	25	0	0	快	在活动期间内	100%	无限制
35	310251628	1	204	25	225	40052500	40052500	1	4	25	0	0	乐	在活动期间内	100%	无限制
36	310251634	1	204	20	226	40052600	40052600	1	4	80	0	0	元旦礼盒一	在活动期间内	0.25	无限制
37	310251635	1	204	180	227	40052600	40052600	1	4	540	0	0	元旦礼盒二	在活动期间内	0.333333333	无限制
38	310251636	1	204	350	228	40052600	40052600	1	4	865	0	0	元旦礼盒三	在活动期间内	0.404624277	无限制
39	310251637	1	204	1500	229	40052600	40052600	1	4	3060	0	0	元旦礼盒四	在活动期间内	0.490196078	无限制
40	310251638	1	204	3400	230	40052600	40052600	1	4	6210	0	0	元旦礼盒五	在活动期间内	0.547504026	无限制
41	310251633	1	204	120	0	40052600	40052600	1	4	135	0	0	孔明灯	在活动期间内	0.888888889	无限制
