序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）（唐专用标签规则：新品用蓝，限时【时效性】用红，稀有、极品、绝版【品质类】用紫）	显示文字（1新品2稀有3极品4限时5绝版大量7超值【会显示为具体几折，而不是显示超值】8豪华9？？？）	商品原价	商品特效	额外参数1	商品说明	显示限制
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	[C][S]special_effect	[C][S]param1	没用	没用
1	310251700	2	300500012	27	111	40052600	40052600	1	4	27	0	0	孔明灯-神都	活动期间内
2	310251701	2	300500012	27	111	40052600	40052600	1	4	27	0	0	孔明灯-三合殿	活动期间内
3	321151713	2	300500012	10	111	40052101	40052101	1	4	10	0	0	糍粑	活动期间内
4	310251601	2	300500012	10	111	40051699	40051699	1	4	10	0	0	桂花糕	10月28~30号
5	321151709	2	300500012	5	111	40051800	40051800	1	4	5	0	0	饺子皮	11月8~10号
6	321151710	2	300500012	5	111	40051800	40051800	1	4	5	0	0	饺子馅	11月8~10号
7	321151711	2	300500012	10	111	40051800	40051800	1	4	10	0	0	饺子	11月8~10号
8	310200100	2	300500012	2	111	40051903	40051903	1	4	2	0	0	好人卡	11月11~14号
9	321152000	2	300500012	4	111	40052201	40052201	1	4	4	0	0	雪球	活动期间内
10	321152001	2	300500012	20	111	40052201	40052201	1	4	20	0	0	雪人	活动期间内
11	310251625	2	300500012	10	111	40052500	40052500	1	4	10	0	0	圣	活动期间内
12	310251626	2	300500012	10	111	40052500	40052500	1	4	10	0	0	诞	活动期间内
13	310251627	2	300500012	5	111	40052500	40052500	1	4	5	0	0	快	活动期间内
14	310251628	2	300500012	5	111	40052500	40052500	1	4	5	0	0	乐	活动期间内
15	310251703	2	300500012	13	111	40052900	40052900	1	4	13	0	0	元宵	在活动期间内
16	321155200	2	300500012	6	111	40053800	40053800	1	4	6	0	0	劳动勋章	活动期间内
17	310270019	2	300500012	5	376	40053900	40053900	1	4	5	0	0	康乃馨	活动期间内
18	310270021	2	300500012	7	111	40054100	40054100	1	4	7	0	0	蜡烛	活动期间内
19	310270022	2	300500012	20	111	40054200	40054200	1	4	20	0	0	忠胆酒	活动期间内
20	310270023	2	300500012	20	111	40054300	40054300	1	4	20	0	0	粽子	活动期间内
