Apr  2 20:42:51.049 2021@LM_INFO@  active LogDBCenterTask[1] succ!
Apr  2 20:42:51.350 2021@LM_INFO@get_table_no, cur_time:1617410571, table_no:20210402
Apr  2 20:42:59.388 2021@LM_ERROR@DB Error:[1064]:You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'INT DEFAULT 0,role_level         INT DEFAULT 0,role_vip_level     INT DEFAULT 0,' at line 1.
 SQL:CREATE TABLE IF NOT EXISTS yt_log.role_net_delay_20210402 (qy_uin             INT UNSIGNED DEFAULT 0,set_id             INT DEFAULT 0,times              INT DEFAULT 0,ping_delay         INT DEFAULT 0,comm_delay         INT DEFAULT 0,role_id            INT UNSIGNED DEFAULT 0, op_time            INT INT DEFAULT 0,role_level         INT DEFAULT 0,role_vip_level     INT DEFAULT 0,channel_id         VARCHAR(65),imei_serial        VARCHAR(65),oper_ip            INT DEFAULT 0,game_id            INT DEFAULT 0,apk_version        VARCHAR(65),plat_form          SMALLINT DEFAULT 0,language           SMALLINT DEFAULT 0,region             VARCHAR(32) )ENGINE=MyISAM DEFAULT CHARSET=utf8;
Apr  2 20:42:59.406 2021@LM_ERROR@create yt_log.role_net_delay_20210402  db fail! 
Apr  2 20:57:15.945 2021@LM_INFO@  active LogDBCenterTask[1] succ!
Apr  2 20:57:17.333 2021@LM_INFO@get_table_no, cur_time:1617411435, table_no:20210402
Apr  2 20:57:53.707 2021@LM_ERROR@DB Error:[1064]:You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'INT DEFAULT 0,role_level         INT DEFAULT 0,role_vip_level     INT DEFAULT 0,' at line 1.
 SQL:CREATE TABLE IF NOT EXISTS yt_log.role_net_delay_20210402 (qy_uin             INT UNSIGNED DEFAULT 0,set_id             INT DEFAULT 0,times              INT DEFAULT 0,ping_delay         INT DEFAULT 0,comm_delay         INT DEFAULT 0,role_id            INT UNSIGNED DEFAULT 0, op_time            INT INT DEFAULT 0,role_level         INT DEFAULT 0,role_vip_level     INT DEFAULT 0,channel_id         VARCHAR(65),imei_serial        VARCHAR(65),oper_ip            INT DEFAULT 0,game_id            INT DEFAULT 0,apk_version        VARCHAR(65),plat_form          SMALLINT DEFAULT 0,language           SMALLINT DEFAULT 0,region             VARCHAR(32) )ENGINE=MyISAM DEFAULT CHARSET=utf8;
Apr  2 20:57:53.723 2021@LM_ERROR@create yt_log.role_net_delay_20210402  db fail! 
Apr  2 20:59:42.446 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411438, set_id=1, svr_type=11, svr_id=1001101, cache_type=510, cache_capa=1019, cache_size=1; 
Apr  2 20:59:42.450 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411439, set_id=1, svr_type=11, svr_id=1001101, cache_type=501, cache_capa=10139, cache_size=2; 
Apr  2 20:59:42.453 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411436, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 20:59:42.480 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411436, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 20:59:42.485 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411441, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 20:59:42.489 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411441, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 20:59:42.492 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411441, set_id=1, svr_type=12, svr_id=1000001, cache_type=701, cache_capa=1019, cache_size=0; 
Apr  2 20:59:42.495 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411441, set_id=1, svr_type=11, svr_id=1001101, cache_type=512, cache_capa=4019, cache_size=2; 
Apr  2 20:59:42.499 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411442, set_id=1, svr_type=11, svr_id=1001101, cache_type=513, cache_capa=1543, cache_size=0; 
Apr  2 20:59:42.502 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411442, set_id=1, svr_type=11, svr_id=1001101, cache_type=514, cache_capa=1543, cache_size=0; 
Apr  2 20:59:42.506 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411437, set_id=1, svr_type=6, svr_id=1000001, cache_type=801, cache_capa=256, cache_size=1; 
Apr  2 20:59:42.509 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411442, set_id=1, svr_type=6, svr_id=1000001, cache_type=802, cache_capa=101051, cache_size=0; 
Apr  2 20:59:42.515 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411433, set_id=1, svr_type=5, svr_id=1000001, cache_type=401, cache_capa=3079, cache_size=0; 
Apr  2 20:59:42.519 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411443, set_id=1, svr_type=5, svr_id=1000001, cache_type=401, cache_capa=3079, cache_size=0; 
Apr  2 20:59:42.522 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411443, set_id=1, svr_type=11, svr_id=1001101, cache_type=515, cache_capa=4019, cache_size=0; 
Apr  2 20:59:42.526 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411445, set_id=11, svr_type=11, svr_id=1001101, cache_type=516, cache_capa=389, cache_size=0; 
Apr  2 20:59:42.530 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411438, set_id=1, svr_type=20, svr_id=1000001, cache_type=601, cache_capa=10139, cache_size=0; 
Apr  2 20:59:42.534 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411446, set_id=1, svr_type=20, svr_id=1000001, cache_type=601, cache_capa=10139, cache_size=0; 
Apr  2 20:59:42.538 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411446, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 20:59:42.543 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411446, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 20:59:42.546 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411447, set_id=1, svr_type=11, svr_id=1001101, cache_type=517, cache_capa=389, cache_size=0; 
Apr  2 20:59:42.551 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411447, set_id=1, svr_type=6, svr_id=1000001, cache_type=801, cache_capa=256, cache_size=1; 
Apr  2 20:59:42.555 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411448, set_id=1, svr_type=11, svr_id=1001101, cache_type=518, cache_capa=1019, cache_size=0; 
Apr  2 20:59:42.559 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
