离线奖励ID	有效标志位	离线奖励领取最大次数	活动次数限制	等级状态限制（关联状态限制表）	普通掉落ID1普	普通掉落次数1	普通掉落ID2(关联drop_role)	普通掉落次数2	完美掉落ID1(关联drop_role)	完美掉落次数1	完美掉落ID2	完美掉落次数2	掉落奖励(百分比）	掉落元宝奖励1（百分比）	奖励id1普通找回1	奖励id2普通找回2	奖励id3完美找回1	奖励id4完美找回2	普通奖励	元宝奖励	消耗ID（消耗表，消耗表ID副键1代表绑元消耗、副键2代表元宝消耗）	奖励名称	优先级	奖励描述	掉落描述
[K][C][S]ID	0	[C][S]MaxnumLimit	[C][S]numLimitID	[C][S]levellimitID	[K][C][S]dropid1	[C][S]num1	[K][C][S]dropid2	[C][S]num2	[K][C][S]dropid3	[C][S]num3	[K][C][S]dropid4	[C][S]num4	[C][S]commonRewardRate	[K][C][S]ingotRewardRate	[C][S]rewardid1	[C][S]rewardid2	[C][S]rewardid3	[C][S]rewardid4	[K][C][S]commonRewardRate	[K][C][S]ingotRewardRate	[K][C][S]comsume	[C][S]name	[C]prior	[C]rewardText	[C]dropText
10001	1	6	85	91002001	0	0	0	0	0	0	0	0	60	100	70000102	0	70000101	0	60	90	40701	鬼王陵	11	经验\n【鬼王陵】找回礼包	经验\n【鬼王陵】找回礼包
10002	1	6	86	91002002	0	0	0	0	0	0	0	0	60	100	70000202	0	70000201	0	60	90	40702	归墟	12	经验\n【归墟】找回礼包	经验\n【归墟】找回礼包
10003	1	6	84	91002003	0	0	0	0	0	0	0	0	60	100	70000302	0	70000301	0	60	90	40703	秘境	13	经验\n【秘境】找回礼包	经验\n【秘境】找回礼包
10004	1	12	1	91002004	0	0	0	0	0	0	0	0	60	100	70000402	0	70000401	0	60	90	40704	剑池任务	1	经验\n【剑池任务】找回礼包	经验\n【剑池任务】找回礼包
10005	1	15	83	91002005	0	0	0	0	0	0	0	0	60	100	70000502	0	70000501	0	60	90	40705	醉仙酿	2	经验\n【醉仙酿】找回礼包	经验\n【醉仙酿】找回礼包
10006	1	30	25	91002006	0	0	0	0	0	0	0	0	60	100	70000602	0	70000601	0	60	90	40706	帮派任务	3	经验\n【帮派任务】找回礼包	经验\n【帮派任务】找回礼包
10007	1	6	103	91002007	0	0	0	0	0	0	0	0	60	100	70000702	0	70000701	0	60	90	40707	情缘赏花	14	经验\n【情缘赏花】找回礼包	经验\n【情缘赏花】找回礼包
10008	1	18	79	91002008	0	0	0	0	0	0	0	0	60	100	70000802	0	70000801	0	60	90	40708	阵营刺探	21	经验\n【出国刺探】找回礼包	经验\n【出国刺探】找回礼包
10009	1	3	413	91002009	0	0	0	0	0	0	0	0	60	100	70000902	0	70000901	0	60	90	40709	答题活动	22	经验\n【答题活动】找回礼包	经验\n【答题活动】找回礼包
10010	1	3	41	91002010	0	0	0	0	0	0	0	0	60	100	70001002	0	70001001	0	60	90	40710	帮派观碑	23	经验\n【帮派观碑】找回礼包	经验\n【帮派观碑】找回礼包
10011	1	18	76	91002011	0	0	0	0	0	0	0	0	60	100	70001102	0	70001101	0	60	90	40711	降妖伏魔	15	经验\n【降妖伏魔】找回礼包	经验\n【降妖伏魔】找回礼包
10012	1	1	30	91002012	0	0	0	0	0	0	0	0	60	100	70001202	0	70001201	0	60	90	40712	攻城战	23	经验\n【攻城战】找回礼包	经验\n【攻城战】找回礼包
10013	1	3	91	91002013	0	0	0	0	0	0	0	0	60	100	70001302	0	70001301	0	60	90	40713	天地之眼1	15	经验\n【天地副本】找回礼包	经验\n【天地副本】找回礼包
10014	1	1	152	91002014	0	0	0	0	0	0	0	0	60	100	70001402	0	70001401	0	60	90	40714	帮派宝库	24	经验\n【帮派宝库】找回礼包	经验\n【帮派宝库】找回礼包
10015	1	3	158	91002015	0	0	0	0	0	0	0	0	60	100	70001502	0	70001501	0	60	90	40715	封魔塔	25	经验\n【封魔塔】找回礼包	经验\n【封魔塔】找回礼包
10016	1	3	91	91002017	0	0	0	0	0	0	0	0	60	100	70001702	0	70001701	0	60	90	40713	天地之眼2	15	经验\n【天地副本】找回礼包	经验\n【天地副本】找回礼包
10017	1	3	91	91002018	0	0	0	0	0	0	0	0	60	100	70001802	0	70001801	0	60	90	40713	天地之眼3	15	经验\n【天地副本】找回礼包	经验\n【天地副本】找回礼包
10018	1	3	91	91002019	0	0	0	0	0	0	0	0	60	100	70001902	0	70001901	0	60	90	40713	天地之眼4	15	经验\n【天地副本】找回礼包	经验\n【天地副本】找回礼包
10019	1	3	91	91002020	0	0	0	0	0	0	0	0	60	100	70002002	0	70002001	0	60	90	40713	天地之眼5	15	经验\n【天地副本】找回礼包	经验\n【天地副本】找回礼包
10020	1	3	91	91002021	0	0	0	0	0	0	0	0	60	100	70002102	0	70002101	0	60	90	40713	天地之眼6	15	经验\n【天地副本】找回礼包	经验\n【天地副本】找回礼包
10021	1	3	91	91002022	0	0	0	0	0	0	0	0	60	100	70002202	0	70002201	0	60	90	40713	天地之眼7	15	经验\n【天地副本】找回礼包	经验\n【天地副本】找回礼包
10022	1	3	91	91002023	0	0	0	0	0	0	0	0	60	100	70002302	0	70002301	0	60	90	40713	天地之眼8	15	经验\n【天地副本】找回礼包	经验\n【天地副本】找回礼包
