1级宝石ID	有效标志位	所需宝石精华ID(1三角精华，2方形精华，3圆形精华)	合成所需宝石精华数量	合成所需铜币数量	每点精华的元宝价值
[C][S][K]ID	[S]valid	[C][S]TokenID	[C][S]TokenCost	[C][S]BindCoinCost	[C][S]TokenPrice
400130100	1	1	15	0	3
400140100	1	1	50	0	3
400150100	1	1	167	0	3
400130101	1	2	10	0	3
400140101	1	2	34	0	3
400150101	1	2	112	0	3
400130102	1	1	15	0	3
400140102	1	1	50	0	3
400150102	1	1	167	0	3
400130103	1	2	10	0	3
400140103	1	2	34	0	3
400150103	1	2	112	0	3
400130104	1	1	10	0	3
400140104	1	1	34	0	3
400150104	1	1	112	0	3
400130105	1	2	15	0	3
400140105	1	2	50	0	3
400150105	1	2	167	0	3
400130106	1	3	10	0	3
400140106	1	3	34	0	3
400150106	1	3	112	0	3
400130107	1	3	15	0	3
400140107	1	3	50	0	3
400150107	1	3	167	0	3
400130108	1	3	15	0	3
400140108	1	3	50	0	3
400150108	1	3	167	0	3
400130109	1	3	10	0	3
400140109	1	3	34	0	3
400150109	1	3	112	0	3
400130110	1	3	20	0	3
400140110	1	3	67	0	3
400150110	1	3	222	0	3
400130111	1	3	20	0	3
400140111	1	3	67	0	3
400150111	1	3	222	0	3
400130112	1	3	20	0	3
400140112	1	3	67	0	3
400150112	1	3	222	0	3
400130113	1	3	20	0	3
400140113	1	3	67	0	3
400150113	1	3	222	0	3
400130114	1	3	15	0	3
400140114	1	3	50	0	3
400150114	1	3	167	0	3
400130115	1	3	15	0	3
400140115	1	3	50	0	3
400150115	1	3	167	0	3
