品质主ID	副ID（0普通生成用，1免费重铸用，2付费重铸用……10~19各种掉落用，20~29各种制造用）	有效标志位	品质0出现几率	品质1出现几率	品质2出现几率	品质3出现几率	品质4出现几率	品质5出现几率	品质6出现几率	品质7出现几率	品质8出现几率	品质9出现几率	品质0步数	品质1步数	品质2步数	品质3步数	品质4步数	品质5步数	品质6步数	品质7步数	品质8步数	品质9步数	品质0升级成功率	品质1升级成功率	品质2升级成功率	品质3升级成功率	品质4升级成功率	品质5升级成功率	品质6升级成功率	品质7升级成功率	品质8升级成功率	品质9升级成功率	品质0暴击成功率	品质1暴击成功率	品质2暴击成功率	品质3暴击成功率	品质4暴击成功率	品质5暴击成功率	品质6暴击成功率	品质7暴击成功率	品质8暴击成功率	品质9暴击成功率
[C][S]	[C][S]	0	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]	[C][S]
1	0	1	4600	5000	400	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
2	0	1	0	0	0	0	0	10000	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
3	0	1	0	0	0	0	0	10000	0	0	0	0	1	1	2	1	1	2	1	1	5	5	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
101	0	1	1500	500	6000	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
101	1	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	1	1	1	2	2	4	8	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
101	2	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	1	1	1	1	1	2	8	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
101	8	1	0	0	0	0	0	0	0	0	0	10000	10000	0	0	1	1	1	1	1	2	8	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
101	10	1	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
101	11	1	0	0	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
