"系数ID(小于1000的为npc等级系数,1001-2000之间是帮派建筑升级控制系数）"	世界科技等级	有效标志位	后进等级上限	后进万分比加成	后进固定加成	正常等级上限	正常万分比加成	正常固定加成	最高等级上限	高等级衰减万分比	高等级固定衰减
[C][S]mod_id	[C][S]world_lvl	[S]vaild	[C][S]low_max_lvl	[C][S]low_mod	[C][S]low_add	[C][S]normal_max_lvl	[C][S]normal_mod	[C][S]normal_add	[C][S]high_max_lvl	[C][S]high_mod	[C][S]high_add
1	1	1	1	0	0	1	40	0	1	0	0
1	2	1	1	0	0	1	1061	0	1	0	0
1	3	1	1	0	0	1	2081	0	1	0	0
1	4	1	1	0	0	1	3101	0	1	0	0
1	5	1	1	0	0	1	4121	0	1	0	0
1	6	1	1	0	0	1	5141	0	1	0	0
1	7	1	1	0	0	1	6161	0	1	0	0
1	8	1	1	0	0	1	7181	0	1	0	0
1000	1	1	1	0	0	1	40	0	1	0	0
1000	2	1	1	0	0	1	1061	0	1	0	0
1000	3	1	1	0	0	1	2081	0	1	0	0
1000	4	1	1	0	0	1	3101	0	1	0	0
1000	5	1	1	0	0	1	4121	0	1	0	0
1000	6	1	1	0	0	1	5141	0	1	0	0
1000	7	1	1	0	0	1	6161	0	1	0	0
1000	8	1	1	0	0	1	7181	0	1	0	0
1001	1	1	1	0	0	1	10000	0	1	0	0
1001	2	1	1	0	0	1	8000	0	1	0	0
1001	3	1	1	0	0	1	6000	0	1	0	0
1001	4	1	1	0	0	1	4000	0	1	0	0
1001	5	1	1	0	0	1	2000	0	1	0	0
1001	6	1	1	0	0	1	1000	0	1	0	0
1001	7	1	1	0	0	1	1000	0	1	0	0
1001	8	1	1	0	0	1	1000	0	1	0	0
1002	1	1	1	0	0	1	10000	0	1	0	0
1002	2	1	1	0	0	1	10000	0	1	0	0
1002	3	1	1	0	0	1	8000	0	1	0	0
1002	4	1	1	0	0	1	6000	0	1	0	0
1002	5	1	1	0	0	1	4000	0	1	0	0
1002	6	1	1	0	0	1	2000	0	1	0	0
1002	7	1	1	0	0	1	1000	0	1	0	0
1002	8	1	1	0	0	1	1000	0	1	0	0
1003	1	1	1	0	0	1	10000	0	1	0	0
1003	2	1	1	0	0	1	10000	0	1	0	0
1003	3	1	1	0	0	1	10000	0	1	0	0
1003	4	1	1	0	0	1	8000	0	1	0	0
1003	5	1	1	0	0	1	6000	0	1	0	0
1003	6	1	1	0	0	1	4000	0	1	0	0
1003	7	1	1	0	0	1	2000	0	1	0	0
1003	8	1	1	0	0	1	1000	0	1	0	0
1004	1	1	1	0	0	1	10000	0	1	0	0
1004	2	1	1	0	0	1	10000	0	1	0	0
1004	3	1	1	0	0	1	10000	0	1	0	0
1004	4	1	1	0	0	1	10000	0	1	0	0
1004	5	1	1	0	0	1	7000	0	1	0	0
1004	6	1	1	0	0	1	5000	0	1	0	0
1004	7	1	1	0	0	1	3000	0	1	0	0
1004	8	1	1	0	0	1	1000	0	1	0	0
1005	1	1	1	0	0	1	10000	0	1	0	0
1005	2	1	1	0	0	1	10000	0	1	0	0
1005	3	1	1	0	0	1	10000	0	1	0	0
1005	4	1	1	0	0	1	10000	0	1	0	0
1005	5	1	1	0	0	1	10000	0	1	0	0
1005	6	1	1	0	0	1	7000	0	1	0	0
1005	7	1	1	0	0	1	5000	0	1	0	0
1005	8	1	1	0	0	1	3000	0	1	0	0
1006	1	1	1	0	0	1	10000	0	1	0	0
1006	2	1	1	0	0	1	10000	0	1	0	0
1006	3	1	1	0	0	1	10000	0	1	0	0
1006	4	1	1	0	0	1	10000	0	1	0	0
1006	5	1	1	0	0	1	10000	0	1	0	0
1006	6	1	1	0	0	1	10000	0	1	0	0
1006	7	1	1	0	0	1	6500	0	1	0	0
1006	8	1	1	0	0	1	4500	0	1	0	0
1007	1	1	1	0	0	1	10000	0	1	0	0
1007	2	1	1	0	0	1	10000	0	1	0	0
1007	3	1	1	0	0	1	10000	0	1	0	0
1007	4	1	1	0	0	1	10000	0	1	0	0
1007	5	1	1	0	0	1	10000	0	1	0	0
1007	6	1	1	0	0	1	10000	0	1	0	0
1007	7	1	1	0	0	1	10000	0	1	0	0
1007	8	1	1	0	0	1	7500	0	1	0	0
1008	1	1	1	0	0	1	10000	0	1	0	0
1008	2	1	1	0	0	1	10000	0	1	0	0
1008	3	1	1	0	0	1	10000	0	1	0	0
1008	4	1	1	0	0	1	10000	0	1	0	0
1008	5	1	1	0	0	1	10000	0	1	0	0
1008	6	1	1	0	0	1	10000	0	1	0	0
1008	7	1	1	0	0	1	10000	0	1	0	0
1008	8	1	1	0	0	1	10000	0	1	0	0
1009	1	1	1	0	0	1	10000	0	1	0	0
1009	2	1	1	0	0	1	10000	0	1	0	0
1009	3	1	1	0	0	1	10000	0	1	0	0
1009	4	1	1	0	0	1	10000	0	1	0	0
1009	5	1	1	0	0	1	10000	0	1	0	0
1009	6	1	1	0	0	1	10000	0	1	0	0
1009	7	1	1	0	0	1	10000	0	1	0	0
1009	8	1	1	0	0	1	10000	0	1	0	0
1010	1	1	1	0	0	1	10000	0	1	0	0
1010	2	1	1	0	0	1	10000	0	1	0	0
1010	3	1	1	0	0	1	10000	0	1	0	0
1010	4	1	1	0	0	1	10000	0	1	0	0
1010	5	1	1	0	0	1	10000	0	1	0	0
1010	6	1	1	0	0	1	10000	0	1	0	0
1010	7	1	1	0	0	1	10000	0	1	0	0
1010	8	1	1	0	0	1	10000	0	1	0	0
1011	1	1	1	0	0	1	10000	0	1	0	0
1011	2	1	1	0	0	1	10000	0	1	0	0
1011	3	1	1	0	0	1	10000	0	1	0	0
1011	4	1	1	0	0	1	10000	0	1	0	0
1011	5	1	1	0	0	1	10000	0	1	0	0
1011	6	1	1	0	0	1	10000	0	1	0	0
1011	7	1	1	0	0	1	10000	0	1	0	0
1011	8	1	1	0	0	1	10000	0	1	0	0
1012	1	1	1	0	0	1	10000	0	1	0	0
1012	2	1	1	0	0	1	10000	0	1	0	0
1012	3	1	1	0	0	1	10000	0	1	0	0
1012	4	1	1	0	0	1	10000	0	1	0	0
1012	5	1	1	0	0	1	10000	0	1	0	0
1012	6	1	1	0	0	1	10000	0	1	0	0
1012	7	1	1	0	0	1	10000	0	1	0	0
1012	8	1	1	0	0	1	10000	0	1	0	0
1013	1	1	1	0	0	1	10000	0	1	0	0
1013	2	1	1	0	0	1	10000	0	1	0	0
1013	3	1	1	0	0	1	10000	0	1	0	0
1013	4	1	1	0	0	1	10000	0	1	0	0
1013	5	1	1	0	0	1	10000	0	1	0	0
1013	6	1	1	0	0	1	10000	0	1	0	0
1013	7	1	1	0	0	1	10000	0	1	0	0
1013	8	1	1	0	0	1	10000	0	1	0	0
1014	1	1	1	0	0	1	10000	0	1	0	0
1014	2	1	1	0	0	1	10000	0	1	0	0
1014	3	1	1	0	0	1	10000	0	1	0	0
1014	4	1	1	0	0	1	10000	0	1	0	0
1014	5	1	1	0	0	1	10000	0	1	0	0
1014	6	1	1	0	0	1	10000	0	1	0	0
1014	7	1	1	0	0	1	10000	0	1	0	0
1014	8	1	1	0	0	1	10000	0	1	0	0
1015	1	1	1	0	0	1	10000	0	1	0	0
1015	2	1	1	0	0	1	10000	0	1	0	0
1015	3	1	1	0	0	1	10000	0	1	0	0
1015	4	1	1	0	0	1	10000	0	1	0	0
1015	5	1	1	0	0	1	10000	0	1	0	0
1015	6	1	1	0	0	1	10000	0	1	0	0
1015	7	1	1	0	0	1	10000	0	1	0	0
1015	8	1	1	0	0	1	10000	0	1	0	0
1016	1	1	1	0	0	1	10000	0	1	0	0
1016	2	1	1	0	0	1	10000	0	1	0	0
1016	3	1	1	0	0	1	10000	0	1	0	0
1016	4	1	1	0	0	1	10000	0	1	0	0
1016	5	1	1	0	0	1	10000	0	1	0	0
1016	6	1	1	0	0	1	10000	0	1	0	0
1016	7	1	1	0	0	1	10000	0	1	0	0
1016	8	1	1	0	0	1	10000	0	1	0	0
1017	1	1	1	0	0	1	10000	0	1	0	0
1017	2	1	1	0	0	1	10000	0	1	0	0
1017	3	1	1	0	0	1	10000	0	1	0	0
1017	4	1	1	0	0	1	10000	0	1	0	0
1017	5	1	1	0	0	1	10000	0	1	0	0
1017	6	1	1	0	0	1	10000	0	1	0	0
1017	7	1	1	0	0	1	10000	0	1	0	0
1017	8	1	1	0	0	1	10000	0	1	0	0
1018	1	1	1	0	0	1	10000	0	1	0	0
