备注	行为ID	有效标志	警戒范围（已*10)	战斗范围（已*10)	待机行走方式（0呆站，9个体巡逻，10群组巡逻）	走路速度（未*10）	奔跑速度（未*10）	camp1阵营1，2阵营2兼敌对，3阵营3和12敌对，21友好(学院攻防：防1攻2)	普攻类型1	普攻1概率(万分比)	普攻类型2	普攻2概率(万分比)	普攻类型3	普攻2概率(万分比)	普通攻击间隔(毫秒)	普通攻击对象(0普通，8炮塔，16固定朝向)	是否回位补给	回位是否重置	尸体存在时间	免疫的debuff类型	"免疫被击硬直和击退(1免疫普攻，2免疫普攻、技能带来的,3免疫一切被击硬直和击退)"	采集读条cmd	读条时间（毫秒）	单位类型，位域：0是普通单位，1是机械单位(不能被加血)、2是免疫XP技能、4是免疫宠物攻击单位	出生范围	攻击范围（已*10）	游荡范围（游荡的距离，已*10，单位M）	采集消耗主键	采集消耗副键
备注	[K][C][S]id	server	[C][S]alertrange	[C][S]fightrange	[C][S]idlewalktype	[C][S]walkspeed	[C][S]runspeed	[C]camp	[C][S]attack1	[C][S]attack1rate	[C][S]attack2	[C][S]attack2rate	[C][S]attack3	[C][S]attack3rate	[C][S]attackcd	[C][S]fightprop	server	server	server	server	[C][S]normalhard	[C][S]readbar_id	[C][S]readbar_time	server	[C][S]bornrange	[C][S]attackrange	server	server	server
主角	11	1	10	20	0	14	38	1	10001	3333	10002	3334	10003	3333	2000	0	0	0	1	0	0	0	0	0	20	2	0	0	0
主角	21	1	10	20	0	14	38	1	10001	3333	10002	3334	10003	3333	2000	0	0	0	1	0	0	0	0	0	20	2	0	0	0
主角	31	1	10	20	0	14	38	1	10001	3333	10002	3334	10003	3333	2000	0	0	0	1	0	0	0	0	0	20	2	0	0	0
栅栏	100	1	0	0	0	0	0	21	0	0	0	0	0	0	2000	0	0	0	0	0	2	0	0	0	0	0	0	0	0
一般采集物	101	1	0	0	0	0	0	21	0	0	0	0	0	0	2000	0	0	0	0	0	3	101	3000	0	0	0	0	0	0
移动型陷阱	102	1	0	0	0	14	38	2	0	0	0	0	0	0	2000	0	0	1	0	0	2	0	0	0	0	0	0	0	0
木桩	103	1	0	10	0	0	0	2	0	0	0	0	0	0	2000	0	0	0	0	0	3	0	0	0	0	0	0	0	0
定点陷阱	104	1	0	0	0	0	0	2	0	0	0	0	0	0	2000	0	0	1	0	0	2	0	0	0	0	0	0	0	0
世界材料采集物	105	1	0	0	0	0	0	21	0	0	0	0	0	0	2000	0	0	0	0	0	3	101	3000	0	0	0	0	30602	1
雷电机关	106	1	0	0	0	0	0	21	0	0	0	0	0	0	2000	0	0	0	0	0	3	101	3000	0	0	0	0	0	0
迷宫采集消耗	107	1	0	0	0	0	0	21	0	0	0	0	0	0	2000	0	0	0	0	0	3	101	3000	0	0	0	0	34002	1
吃鸡战场采集物	108	1	0	0	0	0	0	21	0	0	0	0	0	0	2000	0	0	0	0	0	3	101	1500	0	0	0	0	0	0
20警戒20出生-推图普通近战小怪	1100	1	20	20	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	20	2.5	0	0	0
20警戒20出生-蝙蝠类-推图普通远程小怪	1101	1	20	20	0	14	38	2	10004	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	20	7	0	0	0
20警戒20出生-推图脆皮快速近战小怪	1102	1	20	20	0	14	53	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	20	2	0	0	0
10警戒20出生-推图普通近战小怪	1103	1	10	20	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	20	2.5	0	0	0
10警戒20出生-蝙蝠类-推图普通远程小怪	1104	1	10	20	0	14	38	2	10004	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	20	7	0	0	0
10警戒20出生-推图脆皮快速近战小怪	1105	1	10	20	0	14	53	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	20	2	0	0	0
10警戒10出生-推图普通近战小怪	1106	1	10	20	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	10	2.5	0	0	0
10警戒10出生-蝙蝠类-推图普通远程小怪	1107	1	10	20	0	14	38	2	10004	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	10	7	0	0	0
10警戒10出生-推图脆皮快速近战小怪	1108	1	10	20	0	14	53	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	10	2	0	0	0
推图普通近战小怪-伏兵	1109	1	100	20	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	4	2.5	0	0	0
推图普通远程小怪-伏兵-蝙蝠类	1110	1	100	20	0	14	38	2	10004	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	4	7	0	0	0
推图脆皮快速近战小怪-伏兵	1111	1	100	20	0	14	53	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	4	2	0	0	0
