event_id（1位标示+4位类型+3位流水，与客户端脚本共用ID规则，但是从50000000以上。5任务，6地图（NPC包含在地图里），7系统（1001奇遇任务触发事件），8运营活动，9其他）	valid（有效性，填0则不读取这条信息）	time_limit（触发时间限制ID）	count_limit（触发次数限制ID）	trigger_limit（触发者<挂事件的NPC等>限制条件,状态限制表ID）	get_target_type（目标选取方式,暂未实现）	tart_get_limit（目标<一般是指玩家>限制条件二次过滤，状态限制ID）	state1_time（阶段1触发时间,单位秒）	state1_effect（阶段1触发效果ID）	state_after_state1（阶段1的下个阶段,-1代表没有下一步，即结束整个流程）	state2_time（与下一个效果的间隔）	state2_effect	state_after_state2	state3_time	state3_effect	state_after_state3	state4_time	state4_effect	state_after_state4	state5_time	state5_effect	state_after_state5	state6_time	state6_effect	state_after_state6	state7_time	state7_effect	state_after_state7	state8_time	state8_effect	state_after_state8	state9_time	state9_effect	state_after_state9	state10_time	state10_effect	state_after_state10	state11_time	state11_effect	state_after_state11	state12_time	state12_effect	state_after_state12	state13_time	state13_effect	state_after_state13	state14_time	state14_effect	state_after_state14	state15_time	state15_effect	state_after_state15	state16_time	state16_effect	state_after_state16	state17_time	state17_effect	state_after_state17	state18_time	state18_effect	state_after_state18	state19_time	state19_effect	state_after_state19	state20_time	state20_effect	state_after_state20
1001701	1	0	0	0	0	0	0	10017010	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4100002	1	0	0	0	0	0	0	41000020	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4100102	1	0	0	0	0	0	0	41001020	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4100005	1	0	0	0	0	0	0	41000050	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4100105	1	0	0	0	0	0	0	41001050	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4101002	1	0	0	0	0	0	0	41010020	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4101102	1	0	0	0	0	0	0	41011020	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4101005	1	0	0	0	0	0	0	41010050	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4101105	1	0	0	0	0	0	0	41011050	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4103001	1	0	0	0	0	0	0	41030010	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
