属性ID	等级	有效标志位	剑赠送属性池ID	奶赠送属性池ID	刀赠送属性池ID	弓赠送属性池ID
[S][C]attrId	[S][C]lvl	0	[S][C]giveprop11	[S][C]giveprop21	[S][C]giveprop31	[S][C]giveprop41
1	1060	1	60441101	60442101	60443101	60444101
1	1070	1	60441102	60442102	60443102	60444102
1	1080	1	60441103	60442103	60443103	60444103
2	2080	1	60441111	60442111	60443111	60444111
2	2090	1	60441112	60442112	60443112	60444112
2	2100	1	60441113	60442113	60443113	60444113
3	3100	1	60441121	60442121	60443121	60444121
3	3110	1	60441122	60442122	60443122	60444122
3	3120	1	60441123	60442123	60443123	60444123
4	4120	1	60441131	60442131	60443131	60444131
4	4130	1	60441132	60442132	60443132	60444132
4	4140	1	60441133	60442133	60443133	60444133
5	5140	1	60441141	60442141	60443141	60444141
5	5150	1	60441142	60442142	60443142	60444142
5	5160	1	60441143	60442143	60443143	60444143
6	6160	1	60441151	60442151	60443151	60444151
6	6170	1	60441152	60442152	60443152	60444152
6	6180	1	60441153	60442153	60443153	60444153
7	7180	1	60441161	60442161	60443161	60444161
7	7190	1	60441162	60442162	60443162	60444162
7	7200	1	60441163	60442163	60443163	60444163
