时装ID	阶级	外观分类（10套装，11武器，12挂件，13灵宝，14头发，15坐骑，16光环）	职业	激活条件（状态限制）	激活消耗	魅力值	附加属性	特殊颜色1	颜色1状态	颜色1消耗	特殊颜色2	颜色2状态	颜色2消耗	特殊颜色3	颜色3状态	颜色3消耗	特殊颜色4	颜色4状态	颜色4消耗	特殊颜色5	颜色5状态	颜色5消耗	特殊颜色6	颜色6状态	颜色6消耗	特殊颜色7	颜色7状态	颜色7消耗	特殊颜色8	颜色8状态	颜色8消耗	特殊颜色9	颜色9状态	颜色9消耗	附加特效1	特效1状态	附加特效2	特效2状态	过期提醒提前时间	过期提醒邮件ID	是否可染色（0不可，1可以）	名称	外观ID	说明	颜色	男图标（后面要改名成ImageId_male）	女图标	镜头朝向	镜头距离	镜头偏移X	镜头偏移Y	镜头偏移Z	可见状态限制
[K][C][S]Id	[K][C][S]Level	[C][S]Type	[C][S]Pro	[C][S]ActiveLimit	[C][S]ActiveConsume	[C][S]FashionPoint	[C][S]AttrPoolId	[C][S]ColorId1	[C][S]ColorState1	[C][S]ConsumeId1	[C][S]ColorId2	[C][S]ColorState2	[C][S]ConsumeId2	[C][S]ColorId3	[C][S]ColorState3	[C][S]ConsumeId3	[C][S]ColorId4	[C][S]ColorState4	[C][S]ConsumeId4	[C][S]ColorId5	[C][S]ColorState5	[C][S]ConsumeId5	[C][S]ColorId6	[C][S]ColorState6	[C][S]ConsumeId6	[C][S]ColorId7	[C][S]ColorState7	[C][S]ConsumeId7	[C][S]ColorId8	[C][S]ColorState8	[C][S]ConsumeId8	[C][S]ColorId9	[C][S]ColorState9	[C][S]ConsumeId9	[C][S]Effect1	[C][S]EffectState1	[C][S]Effect2	[C][S]EffectState2	[S]RemindTime	[S]RemindMailID	[C]ColorPart	[C]Name	[C]TypeLvl	[C]Desc	[C]Color	[C]ImageId	[C]ImageId_female	[C]CameraDir	[C]CameraDis	[C]Camera_Dx	[C]Camera_Dy	[C]Camera_Dz	[C]VisibleLimit
101100	1	10	11	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	清逸云姿	0	职业昆仑默认服饰。	1	11_0_1	fashion_14	0	0	0	0	0	0
102100	1	10	21	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	梦曦怜心	0	职业琉璃默认服饰。	1	fashion_21	21_0_1	0	0	0	0	0	0
103100	1	10	31	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	金风玉露	0	职业乾坤默认服饰。	1	31_0_1	fashion_33	0	0	0	0	0	0
104100	1	10	41	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	黯然寂歌	0	职业凤鸣默认服饰。	1	fashion_41	41_0_1	0	0	0	0	0	0
101101	1	10	11	0	100011	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	月朗诗韵	1	月朗剑影，琴心诗韵。	2	fashion_11	fashion_13	0	0	0	0	0	0
102101	1	10	21	0	100012	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	岸芷汀兰	1	岸芷汀兰，郁郁青青。	2	fashion_22	fashion_23	0	0	0	0	0	0
103101	1	10	31	0	100013	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	紫宸狂舞	1	紫宸尚尊，碎风狂舞。	2	fashion_32	fashion_33	0	0	0	0	0	0
104101	1	10	41	0	100014	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	暗月垂心	1	暗月影幢，摇曳垂心。	2	fashion_42	fashion_43	0	0	0	0	0	0
101102	1	10	11	0	100021	80	0	110	1	109101	111	1	109102	112	1	109103	113	1	109104	114	0	109105	115	0	109106	0	0	0	0	0	0	0	0	0	0	0	0	0	86400	2101	1	醺红如醉	2	醺红如醉，绛云思暖。尊享礼包可获得，外观商店可购买	3	fashionClothe_110	fashionClothe_120	0	0	0	0	0	0
101102	2	10	11	0	100021	120	0	110	1	109101	111	1	109102	112	1	109103	113	1	109104	114	0	109105	115	0	109106	0	0	0	0	0	0	0	0	0	0	0	0	0	86400	2101	1	醺红如醉	2	醺红如醉，绛云思暖。尊享礼包可获得，外观商店可购买	3	fashionClothe_110	fashionClothe_120	0	0	0	0	0	0
101102	3	10	11	0	100021	180	0	110	1	109101	111	1	109102	112	1	109103	113	1	109104	114	1	109105	115	0	109106	0	0	0	0	0	0	0	0	0	102	1	0	0	86400	2101	1	醺红如醉	2	醺红如醉，绛云思暖。尊享礼包可获得，外观商店可购买	3	fashionClothe_110	fashionClothe_120	0	0	0	0	0	0
