consume_id消耗ID(2位系统<1武学，2任务，3地图，4付费，5装备，6道藏,7制造，8道具，9系统，10时装，11仙道秘法>+2位类型+2位流水)	second_id副键ID（默认值9999，当副ID找不到时就找这个9999，如果也找不到才返回错误；任务回收填任务ID；制造绑定解绑的0-9副键代表0-9档的解绑消耗，宝塔中代表奖励池ID，仙道秘法重铸）	valid	consume1_mode消耗模式1(1货币，2道具，3精血，4宝石精华，5次数限制<次数ID，数量>，6道藏残页，7消耗特定品质的特定装备（精炼过的装备不算，优先扣除评分低的）（参数1：type_id 参数2：品质 参数3：数量）)	mode1_parm1参数1	mode1_parm2参数2	mode1_parm3参数3	consume2_mode	mode2_parm1	mode2_parm2	mode2_parm3	consume3_mode	mode3_parm1	mode3_parm2	mode3_parm3	consume4_mode	mode4_parm1	mode4_parm2	mode4_parm3	consume5_mode	mode5_parm1	mode5_parm2	mode5_parm3	consume6_mode	mode6_parm1	mode6_parm2	mode6_parm3
[K][C][S]ID	[K][C][S]S_ID	0	[C][S]Mode1	[C][S]Mode1_Param1	[C][S]Mode1_Param2	[C][S]Mode1_Param3	[C][S]Mode2	[C][S]Mode2_Param1	[C][S]Mode2_Param2	[C][S]Mode2_Param3	[C][S]Mode3	[C][S]Mode3_Param1	[C][S]Mode3_Param2	[C][S]Mode3_Param3	[C][S]Mode4	[C][S]Mode4_Param1	[C][S]Mode4_Param2	[C][S]Mode4_Param3	[C][S]Mode5	[C][S]Mode5_Param1	[C][S]Mode5_Param2	[C][S]Mode5_Param3	[C][S]Mode6	[C][S]Mode6_Param1	[C][S]Mode6_Param2	[C][S]Mode6_Param3
10101	1	1	1	203	1650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	1	203	2150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	3	1	1	203	2650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	4	1	1	203	3150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	5	1	1	203	3650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	6	1	1	203	4150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	7	1	1	203	4650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	8	1	1	203	5150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	9	1	1	203	5650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	10	1	1	203	6150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	11	1	1	203	6650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	12	1	1	203	7150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	13	1	1	203	7650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	14	1	1	203	8150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	15	1	1	203	8650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	16	1	1	203	9150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	17	1	1	203	26000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	18	1	1	203	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	19	1	1	203	34000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	20	1	1	203	38000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	21	1	1	203	42000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	22	1	1	203	46000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	23	1	1	203	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	24	1	1	203	54000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	25	1	1	203	58000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	26	1	1	203	62000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	27	1	1	203	62500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	28	1	1	203	77500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	29	1	1	203	92500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	30	1	1	203	107500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	31	1	1	203	122500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	32	1	1	203	137500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	33	1	1	203	152500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	34	1	1	203	167500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	35	1	1	203	182500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	36	1	1	203	197500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	37	1	1	203	142500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	38	1	1	203	157500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	39	1	1	203	172500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	40	1	1	203	187500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	41	1	1	203	202500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	42	1	1	203	217500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	43	1	1	203	232500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	44	1	1	203	247500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	45	1	1	203	262500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	46	1	1	203	277500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	47	1	1	203	307500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	48	1	1	203	337500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10101	49	1	1	203	367500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	1	1	1	203	1320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	2	1	1	203	1720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	3	1	1	203	2120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	4	1	1	203	2520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	5	1	1	203	2920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	6	1	1	203	3320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	7	1	1	203	3720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	8	1	1	203	4120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	9	1	1	203	4520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	10	1	1	203	4920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	11	1	1	203	5320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	12	1	1	203	5720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	13	1	1	203	6120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	14	1	1	203	6520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	15	1	1	203	6920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	16	1	1	203	7320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	17	1	1	203	20800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	18	1	1	203	24000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	19	1	1	203	27200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	20	1	1	203	30400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	21	1	1	203	33600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	22	1	1	203	36800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	23	1	1	203	40000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	24	1	1	203	43200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	25	1	1	203	46400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	26	1	1	203	49600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	27	1	1	203	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	28	1	1	203	62000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	29	1	1	203	74000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	30	1	1	203	86000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	31	1	1	203	98000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	32	1	1	203	110000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	33	1	1	203	122000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	34	1	1	203	134000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	35	1	1	203	146000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	36	1	1	203	158000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	37	1	1	203	114000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	38	1	1	203	126000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	39	1	1	203	138000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10102	40	1	1	203	150000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
