备注	BUFF的ID(ID规则：弹道ID+2位流水号；如果是场景系统等没相关弹道的buff地图ID+2流水号，任务相关1000-1999)	一级分类（只在免疫、叠加计算使用了，其他时候都没用了，1属性改变，2生命恢复，4治疗加成，8无敌，16变身，32特殊，64减速、128沉默、256变羊、512定身、1024眩晕、2048昏睡、4096击退）	二级分类（如果两个buff一级分类相同，但是需要区分为不同类的buff，则使用二级分类）	BUFF类型（1、buff|2、debuff|3、场景buff(3类型buff，先不要用，应该无效））	BUFF等级（副主键，buff等级）	优先级（buff的优先级，优先级低的同类型buff会被高优先级替换）	叠加上限（buff的最大叠加层数，最大99）	触发方式（1时间触发(一般用在dot和hot等有触发间隔的)，2获得触发（关联属性计算改变），3被击触发，4攻击触发，5被击触发另外BUFF，6攻击触发另外BUFF，7移动触发）	CD类型ID（加上BUFF时检测的CD，仅是BUFF的CD，与技能无关）	CD时间(毫秒，具体的CD时间)	时间持续类型（1、墙上时间|2、在线时间|3、永久(NPC出生自带BUFF需要配成永久的)|4、时间叠加类buff墙上时间|5、时间叠加类buff在线时间|6、在某个时间前一直存在）	删除方式（0、不可删除|1、时间到删除|2、死亡删除|4、可以驱散删除|8、跳地图删除|16、使用技能删除|32、跳副本删除|64、被击删除|128、主动攻击删除|256、移动删除）	被击删除次数（被击删除时，才有效）	效果个数（效果个数，需要与后面的个数保持一致|当debuff类型为“受伤转化为施术者回血”时，占用第一个效果的“数值参数”填写转化百分比）	持续时间1（此效果的存在时间，单位毫秒，与buff时间一样则填写-1，如果时间比buff时间短，则此效果要填在后面）	触发间隔1（此效果的触发间隔，单位毫秒，加BUFF瞬间就生效则填写0(之后不再重复生效)，伤害类的DOT一定要填生效间隔的；当一级分类里为位移型hpdot（4194305），则触发间隔为移动距离）	生效条件1（关联至condition（跟程序确认一下））	关联效果id1（关联至skill_effect_cfg中的ID）	百分比参数1（关联的百分比）	数值参数1（关联的数值|当debuff类型为“受伤转化为施术者回血”时，占用第一个效果的“数值参数”填写转化百分比）	暴击率1（效果的单独暴击率）	暴击系数1（效果的单独暴击系数）	持续时间2	触发间隔2	生效条件2	关联效果id2	百分比参数2	数值参数2	暴击率2	暴击系数2	持续时间3	触发间隔3	生效条件3	关联效果id3	百分比参数3	数值参数3	暴击率3	暴击系数3	持续时间4	触发间隔4	生效条件4	关联效果id4	百分比参数4	数值参数4	暴击率4	暴击系数4	客户端表现ID	BUFF广播级别(0不广播，1广播)	BUFF的状态限制ID(关联状态限制表)
说明	[K][C][S]ID	[C][S]class1	[C][S]class2	[C][S]type	[K][C][S]lvl	[C][S]priority	[C][S]Max_superposition	[C][S]triggered	[C][S]cdtype	[C][S]cdtime	[C][S]Durationtype	[C][S]Delete	[C][S]Beendeleted	[C][S]effectnumber	[C][S]Effect[1].duration	[C][S]Effect[1].interval	[C][S]Effect[1].condition	[C][S]Effect[1].effectid	[C][S]Effect[1].percent	[C][S]Effect[1].value	[C][S]Effect[1].critical_rate	[C][S]Effect[1].critical_mod	[C][S]Effect[2].duration	[C][S]Effect[2].interval	[C][S]Effect[2].condition	[C][S]Effect[2].effectid	[C][S]Effect[2].percent	[C][S]Effect[2].value	[C][S]Effect[2].critical_rate	[C][S]Effect[2].critical_mod	[C][S]Effect[3].duration	[C][S]Effect[3].interval	[C][S]Effect[3].condition	[C][S]Effect[3].effectid	[C][S]Effect[3].percent	[C][S]Effect[3].value	[C][S]Effect[3].critical_rate	[C][S]Effect[3].critical_mod	[C][S]Effect[4].duration	[C][S]Effect[4].interval	[C][S]Effect[4].condition	[C][S]Effect[4].effectid	[C][S]Effect[4].percent	[C][S]Effect[4].value	[C][S]Effect[4].critical_rate	[C][S]Effect[4].critical_mod	[C][S]performanceid	[S]	[S]state_limit_id
控制：速度改变	1	64	2007	2	1	1	1	2	0	0	2	13	0	1	-1	0	0	2007	-80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
控制：沉默	2	128	2008	2	1	1	1	2	0	0	2	13	0	1	-1	0	0	2008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
控制：变羊	3	512	2009	2	1	1	1	2	0	0	2	13	0	1	-1	0	0	2009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
控制：昏睡	4	2048	2010	2	1	1	1	2	0	0	2	13	0	1	-1	0	0	2010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
沉默免疫	5	32	4001	1	1	1	1	2	0	0	2	13	0	1	-1	0	0	4001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
变羊免疫	6	32	4002	1	1	1	1	2	0	0	2	13	0	1	-1	0	0	4002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
定身免疫	7	32	4003	1	1	1	1	2	0	0	2	13	0	1	-1	0	0	4003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
眩晕免疫	8	32	4004	1	1	1	1	2	0	0	2	13	0	1	-1	0	0	4004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
昏睡免疫	9	32	4005	1	1	1	1	2	0	0	2	13	0	1	-1	0	0	4005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
