敏感级别（1表示禁止起名禁止聊天，2表示禁止起名但允许聊天）	有效标志	敏感词	加一行（没用，服务器兄弟要求的）
1	0	%[	
1	0	%]	
1	0	%'	
1	0	gm	
1	0	join	
1	0	like	
1	0	alter	
1	0	or	
1	0	modify	
1	0	set	
1	0	drop	
1	0	and	
1	0	exec	
1	0	insert	
1	0	select	
1	0	delete	
1	0	update	
1	0	count	
1	0	\\	
1	0	%%	
1	0	chr	
1	0	mid	
1	0	master	
1	0	truncate	
1	0	char	
1	0	declare	
1	0	%%%%	
1	0	|	
1	0	%&quot	
1	0	毛澤東	
1	0	周恩來	
1	0	劉少奇	
1	0	朱德	
1	0	彭德懷	
1	0	林彪	
1	0	劉伯承	
1	0	陳毅	
1	0	賀龍	
1	0	聶榮臻	
1	0	徐向前	
1	0	羅榮桓	
1	0	葉劍英	
1	0	李大釗	
1	0	陳獨秀	
1	0	孫中山	
1	0	孫文	
1	0	孫逸仙	
1	0	鄧小平	
1	0	陳雲	
1	0	江澤民	
1	0	李鵬	
1	0	朱鎔基	
1	0	李瑞環	
1	0	尉健行	
1	0	李嵐清	
1	0	胡錦濤	
1	0	羅幹	
1	0	溫家寶	
1	0	吳邦國	
1	0	曾慶紅	
1	0	賈慶林	
1	0	黃菊	
1	0	吳官正	
1	0	李長春	
1	0	吳儀	
1	0	回良玉	
1	0	曾培炎	
1	0	曹剛川	
1	0	唐家璿	
1	0	華建敏	
1	0	陳至立	
1	0	張德江	
1	0	俞正聲	
1	0	王樂泉	
1	0	劉雲山	
1	0	王剛	
1	0	王兆國	
1	0	劉淇	
1	0	賀國強	
1	0	郭伯雄	
1	0	胡耀邦	
1	0	習近平	
1	0	李克強	
1	0	張高麗	
1	0	劉延東	
1	0	彭麗媛	
1	0	王岐山	
1	0	華國鋒	
1	0	習大大	
1	0	吳幫國	
1	0	無幫國	
1	0	無邦國	
1	0	無幫過	
1	0	瘟家寶	
1	0	假慶林	
1	0	甲慶林	
1	0	假青林	
1	0	離長春	
1	0	習遠平	
1	0	襲近平	
1	0	李磕牆	
1	0	賀過牆	
1	0	和鍋槍	
1	0	胡主席	
1	0	習主席	
1	0	毛主席	
1	0	布希	
1	0	布雷爾	
1	0	小泉	
1	0	純一郎	
1	0	薩馬蘭奇	
1	0	安南	
1	0	阿拉法特	
1	0	普京	
1	0	默克爾	
1	0	克林頓	
1	0	雷根	
1	0	尼克森	
1	0	林肯	
1	0	杜魯門	
1	0	赫魯雪夫	
1	0	列寧	
1	0	史達林	
1	0	馬克思	
1	0	恩格斯	
1	0	金正日	
1	0	金日成	
1	0	薩達姆	
1	0	胡志明	
1	0	西哈努克	
1	0	希拉克	
1	0	柴契爾	
1	0	阿羅約	
1	0	曼德拉	
1	0	卡斯楚	
1	0	佛蘭克林	
1	0	華盛頓	
1	0	艾森豪威爾	
1	0	拿破崙	
1	0	亞歷山大	
1	0	路易	
1	0	拉姆斯菲爾德	
1	0	蘿拉	
1	0	鮑威爾	
1	0	奧巴馬	
1	0	梅德韋傑夫	
1	0	金正恩	
1	0	安倍晉三	
1	0	本拉登	
1	0	奧馬爾	
1	0	柴玲	
1	0	達賴	
1	0	達賴喇嘛	
1	0	江青	
1	0	張春橋	
1	0	姚文元	
1	0	王洪文	
1	0	東條英機	
1	0	希特勒	
1	0	墨索里尼	
1	0	岡村秀樹	
1	0	岡村寧次	
1	0	高麗樸	
1	0	趙紫陽	
1	0	王丹	
1	0	沃爾開西	
1	0	李洪志	
1	0	李大師	
1	0	賴昌星	
1	0	馬加爵	
1	0	班禪	
1	0	額爾德尼	
1	0	山本五十六	
1	0	阿扁	
1	0	阿扁萬歲	
1	0	熱那亞	
1	0	薄熙來	
1	0	周永康	
1	0	王立軍	
1	0	令計畫	
1	0	默罕默德	
1	0	徐才厚	
1	0	粥永康	
1	0	軸永康	
1	0	肘永康	
1	0	周健康	
1	0	粥健康	
1	0	周小康	
1	0	陳良宇	
