效果ID(技能ID*10+流水号)	效果等级	技能生效条件1（关联至skill_condition表）	生效目标1（0技能目标，1对自己生效）	效果1（效果多余4个就需要更改lua生产，技能效果，关联effect表；并且根据不同的技能类型字段的意义也不一样，以前最多配置4个效果；并且技能效果按照配置顺序进行计算）	百分比1（效果百分比）	数值参数1（效果固定值）	命中率1（效果的单独命中）	暴击几率1（效果的单独概率）	暴击系数1（效果的单独系数）	技能生效条件2	生效目标2	效果2	百分比2	数值参数2	命中率2	暴击几率2	暴击系数2	技能生效条件3	生效目标3	效果3	百分比3	数值参数3	命中率3	暴击几率3	暴击系数3	技能生效条件4	生效目标4	效果4	百分比4	数值参数4	命中率4	暴击几率4	暴击系数4	BUFF生效条件1（关联至skill_condition表）	BUFF目标（0技能目标，1自己）	关联buff配置1（BUFF的ID）	关联buff配置1（BUFF的等级）	持续时间1（持续的时间）	有效概率1（给予的概率）	BUFF层数1（给予的层数）	BUFF生效条件2	BUFF目标	关联buff配置2	关联buff配置1	持续时间2	有效概率2	BUFF层数2	BUFF生效条件3	BUFF目标	关联buff配置3	关联buff配置1	持续时间3	有效概率3	BUFF层数3	BUFF生效条件4	BUFF目标	关联buff配置4	关联buff配置1	持续时间4	有效概率4	BUFF层数4
[K][C][S]ID	[K][C][S]LVL	[C][S]Effect[1].condition	[C][S]Effect[1].target_type	[C][S]Effect[1].id	[C][S]Effect[1].percent	[C][S]Effect[1].value	[C][S]Effect[1].hit_rate	[C][S]Effect[1].critical_rate	[C][S]Effect[1].critical_mod	[C][S]Effect[2].condition	[C][S]Effect[2].target_type	[C][S]Effect[2].id	[C][S]Effect[2].percent	[C][S]Effect[2].value	[C][S]Effect[2].hit_rate	[C][S]Effect[2].critical_rate	[C][S]Effect[2].critical_mod	[C][S]Effect[3].condition	[C][S]Effect[3].target_type	[C][S]Effect[3].id	[C][S]Effect[3].percent	[C][S]Effect[3].value	[C][S]Effect[3].hit_rate	[C][S]Effect[3].critical_rate	[C][S]Effect[3].critical_mod	[C][S]Effect[4].condition	[C][S]Effect[4].target_type	[C][S]Effect[4].id	[C][S]Effect[4].percent	[C][S]Effect[4].value	[C][S]Effect[4].hit_rate	[C][S]Effect[4].critical_rate	[C][S]Effect[4].critical_mod	[C][S]Buff[1].condition	[C][S]Buff[1].target_type	[C][S]Buff[1].id	[C][S]Buff[1].lvl	[C][S]Buff[1].time	[C][S]Buff[1].rate	[C][S]Buff[1].dur_count	[C][S]Buff[2].condition	[C][S]Buff[2].target_type	[C][S]Buff[2].id	[C][S]Buff[2].lvl	[C][S]Buff[2].time	[C][S]Buff[2].rate	[C][S]Buff[2].dur_count	[C][S]Buff[3].condition	[C][S]Buff[3].target_type	[C][S]Buff[3].id	[C][S]Buff[3].lvl	[C][S]Buff[3].time	[C][S]Buff[3].rate	[C][S]Buff[3].dur_count	[C][S]Buff[4].condition	[C][S]Buff[4].target_type	[C][S]Buff[4].id	[C][S]Buff[4].lvl	[C][S]Buff[4].time	[C][S]Buff[4].rate	[C][S]Buff[4].dur_count
10011	1	0	0	1001	29	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10011	2	0	0	1001	29	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10011	3	0	0	1001	29	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10011	4	0	0	1001	29	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10011	5	0	0	1001	31	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10011	6	0	0	1001	31	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10011	7	0	0	1001	31	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10011	8	0	0	1001	31	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10011	9	0	0	1001	31	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
