装备道具ID	有效标志位	装备或道具(1装备2道具)	兑换贡献值	贬值万宝阁等级，0是不贬值	备注
[C]id	0	[C]type	[C]cost	[C]devalue	无效字段
401004003	1	2	2	21	[制造]雨花石
401004004	1	2	2	21	[制造]精铜丝
401004005	1	2	60	21	[制造]女娲石
401008003	1	2	3	21	[制造]鸡血石
401008004	1	2	3	21	[制造]铁底座
401008005	1	2	330	21	[制造]女娲石
401012003	1	2	4	21	[制造]孔雀石
401012004	1	2	4	21	[制造]银丝链
401012005	1	2	1400	21	[制造]女娲石
401016003	1	2	5	21	[制造]青金石
401016004	1	2	5	21	[制造]金丝线
401016005	1	2	4700	21	[制造]女娲石
401020003	1	2	8	21	[制造]冰彩石
401020004	1	2	8	21	[制造]乌金扣
401020005	1	2	17200	21	[制造]女娲石
401024003	1	2	12	21	[制造]金刚石
401024004	1	2	12	21	[制造]紫金链
401024005	1	2	37000	21	[制造]女娲石
401028003	1	2	15	21	[制造]凤血石
401028004	1	2	15	21	[制造]龙血粉
401028005	1	2	46250	21	[制造]女娲石
300110520	1	2	28	21	[未鉴定]二阶项链
300110620	1	2	28	21	[未鉴定]二阶戒指
300110530	1	2	43	21	[未鉴定]三阶项链
300110630	1	2	43	21	[未鉴定]三阶戒指
300110540	1	2	64	21	[未鉴定]四阶项链
300110640	1	2	64	21	[未鉴定]四阶戒指
300110550	1	2	96	21	[未鉴定]五阶项链
300110650	1	2	96	21	[未鉴定]五阶戒指
300110560	1	2	144	21	[未鉴定]六阶项链
300110660	1	2	144	21	[未鉴定]六阶戒指
300110570	1	2	216	21	[未鉴定]七阶项链
300110670	1	2	216	21	[未鉴定]七阶戒指
300130520	1	2	88	21	极品[未鉴定]二阶项链
300130620	1	2	88	21	极品[未鉴定]二阶戒指
300130530	1	2	373	21	极品[未鉴定]三阶项链
300130630	1	2	373	21	极品[未鉴定]三阶戒指
300130540	1	2	1464	21	极品[未鉴定]四阶项链
300130640	1	2	1464	21	极品[未鉴定]四阶戒指
300130550	1	2	4796	21	极品[未鉴定]五阶项链
300130650	1	2	4796	21	极品[未鉴定]五阶戒指
300130560	1	2	17344	21	极品[未鉴定]六阶项链
300130660	1	2	17344	21	极品[未鉴定]六阶戒指
300130570	1	2	37216	21	极品[未鉴定]七阶项链
300130670	1	2	37216	21	极品[未鉴定]七阶戒指
