状态限制ID，8位（1位标识+5位类型+2位流水），第一位：1任务，2地图，3系统，4运营活动，5装备加工条件，6掉落彰显（上品6+2位部位+1位颜色+4位流水；极品+1；道具掉落彰显6+4位道具类型+3位流水号），7由活动ID控制开放的系统、活动、玩法，具体与vic沟通（活动7+2位系统+3位活动+2位流水），8商店，9其他（1000X产出相关）	有效标志位	副键	限制类型（1完成一个任务<参数1任务ID，参数2任务状态[1未领取，2领取未完成，3领取已完成，4已提交过1次，5已全提交]，参数3[0否，1是]>，2职业限制，3主角境界限制，4主角等级限制，5成就限制(成就ID，参数2[1是，0否])，6已加入教院限制，7剑池战功限制，8时间限制(时间限制ID，参数2[1是，0否])，9次数限制(次数限制ID，参数2[1还有剩余，0没次数了])，10阵营限制<剑池：天策0，圣王1，修罗2，参数1阵营ID，参数2：0否1是>，11没用了，12学院创建时间多久之后<限制参数1为时间单位天，以凌晨5点算一天>，13技能等级限制<参数1ID，参数2等级下限，参数3等级上限>，14没用了，15出国状态限制，16成就进度判断<参数1成就ID，参数2进度是否已满>，17地点限制<参数1地点ID，参数2是否>，18阵营是否已有国王，19地图等级限制，20周卡月卡<参数1是个位域[月卡2+周卡1]>，21VIP等级限制<VIP下限，VIP上限>），22成就达成多少天之后，23检测天地异变等级<参数1：世界级异变等级下限，参数2：天地异变等级上限(包含关系)>，24检测全服最高等级<参数1：需要最高的全服等级>，25天地异变内时间限制<参数1天地异变，参数2起始秒数，参数3结束秒数>，26检测玩家第一次登陆距离今天的天数<参数：天数上下限>，27修炼状态判断<参数1：1修炼状态通过0非修炼状态通过>，28铸造技能等级限制，30学院建筑等级<参数1：等级下限参数2：等级上限参数3：对应科技枚举[1帮等2商店3活动4兵甲5暂无]>），31玩家帮派职位是否达到参数1：帮派职位枚举（0非法数据、1帮主、2副帮主、4院监、8天书堂主、16百草堂主、32白虎堂主、64万宝堂主、128精英帮众、256正式帮众、512预科帮众），32结婚（参数1为1则已结婚返回true，填写0未结婚返回true），33助战模式（玩家助战状态判断，处于助战中返回错误，没参数），34玩家登录实际天数（参数1填的天数等于实际天数返回正确），35玩家是不是特殊GM（参数1：0：只要是特殊账号就可以；1:只能是GM才可以），36玩家是否有某一类型的任务（from_type）37性别（1男性，2女性），38未出师师徒任务进度检测（上下都包），39师徒副本师父限制,40限定某个包体可用（参数填包名-字符串,有效标志位必须填0）,41限定某个包体不可用（参数填包名-字符串,有效标志位必须填0，42与当前服务器最高等级差?参数1：等级差小于多少返回成功）	限制参数1	限制参数2	限制参数3	任务时，任务条件描述	任务条件脚本	限制类型（1完成一个任务<参数1任务ID，参数2任务状态[1未领取，2领取未完成，3领取已完成，4已提交过1次，5已全提交]，参数3[0否，1是]>，2职业限制，3主角境界限制，4主角等级限制，5成就限制(时间限制ID，参数2[1是，0否])，6已加入教院限制，7剑池战功限制，8时间限制(时间限制ID，参数2[1是，0否])，9次数限制(次数限制ID，参数2[1还有剩余，0没次数了])，10阵营限制<剑池：天策0，圣王1，修罗2，参数1阵营ID，参数2：0否1是>，11没用了，12学院创建时间多久之后<限制参数1为时间单位天，以凌晨5点算一天>，13技能等级限制<参数1ID，参数2等级下限，参数3等级上限>，14没用了，15出国状态限制，16成就进度判断<参数1成就ID，参数2进度是否已满>，17地点限制<参数1地点ID，参数2是否>，18阵营是否已有国王，19地图等级限制，20周卡月卡<参数1是个位域[月卡2+周卡1]>，21VIP等级限制<VIP下限，VIP上限>），22成就达成多少天之后，23检测天地异变等级<参数1：世界级异变等级下限，参数2：天地异变等级上限(包含关系)>，24检测全服最高等级<参数1：需要最高的全服等级>，25天地异变内时间限制<参数1天地异变，参数2起始描述，参数3结束秒数>，26检测玩家第一次登陆距离今天的天数<参数：天数上下限>，27修炼状态判断<参数1：1修炼状态通过0非修炼状态通过>，28铸造技能等级限制	限制参数1	限制参数2	限制参数3	任务时，任务条件描述	任务条件脚本	限制类型（1完成一个任务<参数1任务ID，参数2任务状态[1未领取，2领取未完成，3领取已完成，4已提交过1次，5已全提交]，参数3[0否，1是]>，2职业限制，3主角境界限制，4主角等级限制，5成就限制(时间限制ID，参数2[1是，0否])，6已加入教院限制，7剑池战功限制，8时间限制(时间限制ID，参数2[1是，0否])，9次数限制(次数限制ID，参数2[1还有剩余，0没次数了])，10阵营限制<剑池：天策0，圣王1，修罗2，参数1阵营ID，参数2：0否1是>，11没用了，12学院创建时间多久之后<限制参数1为时间单位天，以凌晨5点算一天>，13技能等级限制<参数1ID，参数2等级下限，参数3等级上限>，14没用了，15出国状态限制，16成就进度判断<参数1成就ID，参数2进度是否已满>，17地点限制<参数1地点ID，参数2是否>，18阵营是否已有国王，19地图等级限制，20周卡月卡<参数1是个位域[月卡2+周卡1]>，21VIP等级限制<VIP下限，VIP上限>），22成就达成多少天之后，23检测天地异变等级<参数1：世界级异变等级下限，参数2：天地异变等级上限(包含关系)>，24检测全服最高等级<参数1：需要最高的全服等级>，25天地异变内时间限制<参数1天地异变，参数2起始描述，参数3结束秒数>，26检测玩家第一次登陆距离今天的天数<参数：天数上下限>，27修炼状态判断<参数1：1修炼状态通过0非修炼状态通过>，28铸造技能等级限制	限制参数1	限制参数2	限制参数3	任务时，任务条件描述	任务条件脚本	限制类型（1完成一个任务<参数1任务ID，参数2任务状态[1未领取，2领取未完成，3领取已完成，4已提交过1次，5已全提交]，参数3[0否，1是]>，2职业限制，3主角境界限制，4主角等级限制，5成就限制(时间限制ID，参数2[1是，0否])，6已加入教院限制，7剑池战功限制，8时间限制(时间限制ID，参数2[1是，0否])，9次数限制(次数限制ID，参数2[1还有剩余，0没次数了])，10阵营限制<剑池：天策0，圣王1，修罗2，参数1阵营ID，参数2：0否1是>，11没用了，12学院创建时间多久之后<限制参数1为时间单位天，以凌晨5点算一天>，13技能等级限制<参数1ID，参数2等级下限，参数3等级上限>，14没用了，15出国状态限制，16成就进度判断<参数1成就ID，参数2进度是否已满>，17地点限制<参数1地点ID，参数2是否>，18阵营是否已有国王，19地图等级限制，20周卡月卡<参数1是个位域[月卡2+周卡1]>，21VIP等级限制<VIP下限，VIP上限>），22成就达成多少天之后，23检测天地异变等级<参数1：世界级异变等级下限，参数2：天地异变等级上限(包含关系)>，24检测全服最高等级<参数1：需要最高的全服等级>，25天地异变内时间限制<参数1天地异变，参数2起始描述，参数3结束秒数>，26检测玩家第一次登陆距离今天的天数<参数：天数上下限>，27修炼状态判断<参数1：1修炼状态通过0非修炼状态通过>，28铸造技能等级限制	限制参数1	限制参数2	限制参数3	任务时，任务条件描述	任务条件脚本	限制类型	限制参数1	限制参数2	限制参数3	任务时，任务条件描述	任务条件脚本	显示描述
[C][S]id	[C][S]valid	[C][S]sub_id	[C][S]limits[1].type	[C][S]limits[1].param1	[C][S]limits[1].param2	[C][S]limits[1].param3	[C][S]limits[1].str	[C][S]limits[1].do_script	[C][S]limits[2].type	[C][S]limits[2].param1	[C][S]limits[2].param2	[C][S]limits[2].param3	[C][S]limits[2].str	[C][S]limits[2].do_script	[C][S]limits[3].type	[C][S]limits[3].param1	[C][S]limits[3].param2	[C][S]limits[3].param3	[C][S]limits[3].str	[C][S]limits[3].do_script	[C][S]limits[4].type	[C][S]limits[4].param1	[C][S]limits[4].param2	[C][S]limits[4].param3	[C][S]limits[4].str	[C][S]limits[4].do_script	[C][S]limits[5].type	[C][S]limits[5].param1	[C][S]limits[5].param2	[C][S]limits[5].param3	[C][S]limits[5].str	[C][S]limits[5].do_script	[C]Desc
10000301	1	1	1	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10030301	1	1	1	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10001801	1	1	1	303	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10000201	1	1	1	18	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10035701	1	1	1	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10034701	1	1	1	357	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10000401	1	1	1	347	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10000501	1	1	1	4	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10000601	1	1	1	5	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10000901	1	1	1	6	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10114901	1	1	1	9	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10112001	1	1	1	1149	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10111901	1	1	1	1120	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10111801	1	1	1	1119	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10114801	1	1	1	1118	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10001001	1	1	1	1148	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10001101	1	1	1	10	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10001201	1	1	1	11	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10001301	1	1	1	12	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10034201	1	1	1	13	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10034801	1	1	1	342	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10111501	1	1	1	348	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10002001	1	1	1	1115	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10002601	1	1	1	20	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10033901	1	1	1	26	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10111701	1	1	1	339	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10001501	1	1	1	1117	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10123601	1	1	1	15	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10032701	1	1	1	1236	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10032801	1	1	1	327	5	1	0	0	1	327	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10031901	1	1	1	328	5	1	0	0	1	328	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10032201	1	1	1	319	5	1	0	0	1	319	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10001701	1	1	1	1236	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10002301	1	1	1	17	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10001601	1	1	1	23	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10113201	1	1	1	16	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10127301	1	1	1	1132	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
10108801	1	1	1	1273	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	完成主线任务
