装备ID	有效标志位	消耗ID	技能等级1	消耗ID	装备生成品质系数	额外消耗ID	装备额外消耗品质生成系数	技能等级	技能影响装备生成系数	技能额外材料影响装备生成系数	万宝阁等级限制	制造经验	后进补偿经验	制造时间	技能等级1	制造时间1	技能等级2	制造时间2	权限限制	解绑消耗ID	消耗额外材料获得道具ID	职业筛选	道具颜色（1绿色（无）、2蓝色、3紫色、4橙色、5红爷、6黄色、7粉色）	备注	需求
[C][K]ID	0	[C]Comsume_ID	[C][S]Level_Comsume_Node	[C][S]Level_Comsume_ID	[S]	[C]Extra_Comsume_ID	[S]	[S]	[S]	[S]	[C]Limit_Lv	[C]Exp_Need	[S]	[C]Time_Need	[C][S]Level_Node1	[C][S]Time_Node1	[C][S]Level_Node2	[C][S]Time_Node2	[S]	[S][C]unbundling_consume_id	[S]unsigned int extra_type_id_;	[C]Pro	[C]Color	[C]Remarks	[C]Require_Tip
300110520	1	71125	1	71325	0	71525	0	0	0	0	1	1	5	4800	2	2400	3	1200	14	72205	300130520	1	2	二阶项链	需求：1级万宝堂
300110620	1	71225	1	71425	0	71525	0	0	0	0	1	1	5	4800	2	2400	3	1200	14	72205	300130620	1	2	二阶戒指	需求：1级万宝堂
300110530	1	71135	4	71335	0	71535	0	0	0	0	4	5	25	6000	2	3000	6	1500	14	72305	300130530	1	3	三阶项链	需求：4级万宝堂
300110630	1	71235	4	71435	0	71535	0	0	0	0	4	5	25	6000	2	3000	6	1500	14	72305	300130630	1	3	三阶戒指	需求：4级万宝堂
300110540	1	71145	7	71345	0	71545	0	0	0	0	7	25	125	7200	5	3600	6	1800	14	72405	300130540	1	4	四阶项链	需求：7级万宝堂
300110640	1	71245	7	71445	0	71545	0	0	0	0	7	25	125	7200	5	3600	6	1800	14	72405	300130640	1	4	四阶戒指	需求：7级万宝堂
300110550	1	71155	10	71355	0	71555	0	0	0	0	10	125	625	8400	8	4200	9	2100	14	72505	300130550	1	5	五阶项链	需求：10级万宝堂
300110650	1	71255	10	71455	0	71555	0	0	0	0	10	125	625	8400	8	4200	9	2100	14	72505	300130650	1	5	五阶戒指	需求：10级万宝堂
300110560	1	71165	13	71365	0	71565	0	0	0	0	13	625	3125	9600	11	4800	12	2400	14	72605	300130560	1	6	六阶项链	需求：13级万宝堂
300110660	1	71265	13	71465	0	71565	0	0	0	0	13	625	3125	9600	11	4800	12	2400	14	72605	300130660	1	6	六阶戒指	需求：13级万宝堂
