成就ID(普通历练通关：1~300，普通历练三星：301~600，历练章节通关：601~650，历练章节满星：651~700，主线及系统开放：701~770，境界突破：771~800，目标成就：801~1700，目标零散1701~2100，魂装配方：2101~2140，七日成就2141~2300，充值首购2301~2350,祝福2351~2450，坐骑2451~2500，引导页2501~2600，引导成就2601-2650，灵宠购买限制2701~2800，封魔塔boss击杀成就2801~2850，海外首充成就2851~2900，仙道秘法成就2901~3000)	有效标志位	最大进度	完成类型(0自动完成，1手动完成)	前置成就ID	奖励道具ID	奖励道具数	奖励货币类型	奖励货币数	特殊奖励ID（已经改成通过reward_id来做，而不是drop了）	广播类型	广播内容	广播限制	触发成就1	触发成就2	触发成就3	触发成就4	触发成就5	触发事件	成就类型（0是普通成就，1是经脉成就，2是战灵碑成就）	状态限制(仅领取时有效，自动完成的不会有效果)	成就点数	触发祝福ID	触发邮件ID	增加战力值	触发脚本	待领奖时触发脚本	描述
[K][C][S]id	[C][S]valid	[C][S]max_progress	[C][S]finish_type	[C][S]pre_acm_id	[C][S]award_item_id	[C][S]award_item_num	[C][S]award_coin_id	[C][S]award_coin_num	[C][S]award_drop_id	[C][S]broadcast_type	[C][S]broadcast_content	[C][S]broadcast_limit	[C][S]triggered_acms1	[C][S]triggered_acms2	[C][S]triggered_acms3	[C][S]triggered_acms4	[C][S]triggered_acms5	[S]triggered_event	[S]acm_type	[S]time_limit	[S][C]acm_point	[C][S]Bless_ID	[S]sys_mail_ID	[C][S]acm_xiuwei	[C]triggered_script	[C]waitfor_triggered_script	[C]desc
1	1	1	0	0	0	0	0	0	20010101	0	0	0	601	0	0	0	0	55304001	2	0	0	0	0	0	0	0	[长生碑]赤日碑第1关
2	1	1	0	0	0	0	0	0	20010102	0	0	0	601	0	0	0	0	55304001	2	0	0	0	0	0	0	0	[长生碑]赤日碑第2关
3	1	1	0	0	0	0	0	0	20010103	0	0	0	601	0	0	0	0	55304001	2	0	0	0	0	0	0	0	[长生碑]赤日碑第3关
4	1	1	0	0	0	0	0	0	20010104	0	0	0	601	0	0	0	0	55304001	2	0	0	0	0	0	0	0	[长生碑]赤日碑第4关
5	1	1	0	0	0	0	0	0	20010105	0	0	0	601	0	0	0	0	55304001	2	0	0	0	0	0	0	0	[长生碑]赤日碑第5关
6	1	1	0	0	0	0	0	0	20010106	0	0	0	601	0	0	0	0	55304001	2	0	0	0	0	0	0	0	[长生碑]赤日碑第6关
7	1	1	0	0	0	0	0	0	20010107	0	0	0	601	0	0	0	0	55304001	2	0	0	0	0	0	0	0	[长生碑]赤日碑第7关
8	1	1	0	0	0	0	0	0	20010108	0	0	0	601	0	0	0	0	55304001	2	0	0	0	0	0	0	0	[长生碑]赤日碑第8关
9	1	1	0	0	0	0	0	0	20010109	0	0	0	601	0	0	0	0	55304001	2	0	0	0	0	0	0	0	[长生碑]赤日碑第9关
10	1	1	0	0	0	0	0	0	20010110	0	0	0	601	0	0	0	0	55304001	2	0	0	401001	0	0	0	0	[长生碑]赤日碑第10关
11	1	1	0	0	0	0	0	0	20010201	0	0	0	602	0	0	0	0	55304001	2	0	0	0	0	0	0	0	[长生碑]卷云碑第1关
12	1	1	0	0	0	0	0	0	20010202	0	0	0	602	0	0	0	0	55304001	2	0	0	0	0	0	0	0	[长生碑]卷云碑第2关
13	1	1	0	0	0	0	0	0	20010203	0	0	0	602	0	0	0	0	55304001	2	0	0	0	0	0	0	0	[长生碑]卷云碑第3关
14	1	1	0	0	0	0	0	0	20010204	0	0	0	602	2521	0	0	0	55304001	2	0	0	0	0	0	0	0	[长生碑]卷云碑第4关
15	1	1	0	0	0	0	0	0	20010205	0	0	0	602	0	0	0	0	55304001	2	0	0	0	0	0	0	0	[长生碑]卷云碑第5关
16	1	1	0	0	0	0	0	0	20010206	0	0	0	602	0	0	0	0	55304001	2	0	0	0	0	0	0	0	[长生碑]卷云碑第6关
17	1	1	0	0	0	0	0	0	20010207	0	0	0	602	0	0	0	0	55304001	2	0	0	0	0	0	0	0	[长生碑]卷云碑第7关
18	1	1	0	0	0	0	0	0	20010208	0	0	0	602	0	0	0	0	55304001	2	0	0	0	0	0	0	0	[长生碑]卷云碑第8关
19	1	1	0	0	0	0	0	0	20010209	0	0	0	602	0	0	0	0	55304001	2	0	0	0	0	0	0	0	[长生碑]卷云碑第9关
20	1	1	0	0	0	0	0	0	20010210	0	0	0	602	0	0	0	0	55304001	2	0	0	401002	0	0	0	0	[长生碑]卷云碑第10关
21	1	1	0	0	0	0	0	0	20010301	0	0	0	603	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]南枝碑第1关
22	1	1	0	0	0	0	0	0	20010302	0	0	0	603	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]南枝碑第2关
23	1	1	0	0	0	0	0	0	20010303	0	0	0	603	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]南枝碑第3关
24	1	1	0	0	0	0	0	0	20010304	0	0	0	603	2539	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]南枝碑第4关
25	1	1	0	0	0	0	0	0	20010305	0	0	0	603	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]南枝碑第5关
26	1	1	0	0	0	0	0	0	20010306	0	0	0	603	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]南枝碑第6关
27	1	1	0	0	0	0	0	0	20010307	0	0	0	603	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]南枝碑第7关
28	1	1	0	0	0	0	0	0	20010308	0	0	0	603	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]南枝碑第8关
29	1	1	0	0	0	0	0	0	20010309	0	0	0	603	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]南枝碑第9关
30	1	1	0	0	0	0	0	0	20010310	0	0	0	603	0	0	0	0	0	2	0	0	401003	0	0	0	0	[长生碑]南枝碑第10关
31	1	1	0	0	0	0	0	0	20010401	0	0	0	604	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]跃林碑第1关
32	1	1	0	0	0	0	0	0	20010402	0	0	0	604	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]跃林碑第2关
33	1	1	0	0	0	0	0	0	20010403	0	0	0	604	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]跃林碑第3关
34	1	1	0	0	0	0	0	0	20010404	0	0	0	604	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]跃林碑第4关
35	1	1	0	0	0	0	0	0	20010405	0	0	0	604	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]跃林碑第5关
36	1	1	0	0	0	0	0	0	20010406	0	0	0	604	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]跃林碑第6关
37	1	1	0	0	0	0	0	0	20010407	0	0	0	604	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]跃林碑第7关
38	1	1	0	0	0	0	0	0	20010408	0	0	0	604	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]跃林碑第8关
39	1	1	0	0	0	0	0	0	20010409	0	0	0	604	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]跃林碑第9关
40	1	1	0	0	0	0	0	0	20010410	0	0	0	604	0	0	0	0	0	2	0	0	401004	0	0	0	0	[长生碑]跃林碑第10关
41	1	1	0	0	0	0	0	0	20010501	0	0	0	605	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]闻言碑第1关
42	1	1	0	0	0	0	0	0	20010502	0	0	0	605	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]闻言碑第2关
43	1	1	0	0	0	0	0	0	20010503	0	0	0	605	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]闻言碑第3关
44	1	1	0	0	0	0	0	0	20010504	0	0	0	605	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]闻言碑第4关
45	1	1	0	0	0	0	0	0	20010505	0	0	0	605	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]闻言碑第5关
46	1	1	0	0	0	0	0	0	20010506	0	0	0	605	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]闻言碑第6关
47	1	1	0	0	0	0	0	0	20010507	0	0	0	605	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]闻言碑第7关
48	1	1	0	0	0	0	0	0	20010508	0	0	0	605	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]闻言碑第8关
49	1	1	0	0	0	0	0	0	20010509	0	0	0	605	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]闻言碑第9关
