总奖池序号（宝塔抽奖运营活动id：37   参数1该字段，消耗ID的副键也对应这个字段）	有效标志	所属境界(对应等级）	奖励序号	所在层数	奖励类型（1货币，2道具）	奖励物品ID(货币枚举：1感悟，2军功，3威望，4荣誉，5贡献，6体力，7神识，8学分，200经验,201星辉，202金币，203绑金，204元宝，205绑元)	奖励数量	抽中几率（普通时间段内，读这个字段的概率）	吉星几率（吉星时间段内，读这个字段的概率）	触发保底次数	抽中后跳到序号几所在的层数	触发保底一定抽中序号几	是否广播（1代表抽中后世界广播，2代表阵营广播）	增加修为描述	增加修为描述（langs）
[C][S]id	vaild	[C][S]jingjie	[C][S]num	[C][S]layer_num	[C][S]mode_item	[C][S]id_item	[C][S]number_item	[C][S]odds	[C][S]luky_odds	[C][S]pretent_num	[C][S]jump_num	[C][S]jump_num	[C][S]brocast	[C][S]xiuwei_up	[C][S]xiuwei_up_langs
0	1	0	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	1	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	2	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	3	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	4	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	5	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	6	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	7	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	8	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	9	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	10	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	11	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	12	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	13	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	14	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	15	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	16	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	17	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	18	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	19	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	20	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	21	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	22	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	23	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	24	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	25	0	0	2	422190200	2	1961	1961	2	0	5	0	神器合成材料	0
0	1	0	1	0	1	203	120000	4118	4118	2	0	5	0	神器合成材料	0
0	1	1	1	0	1	203	120000	4118	4118	2	0	5	0	神器合成材料	0
0	1	2	1	0	1	203	120000	4118	4118	2	0	5	0	神器合成材料	0
0	1	3	1	0	1	203	120000	4118	4118	2	0	5	0	神器合成材料	0
0	1	4	1	0	1	203	120000	4118	4118	2	0	5	0	神器合成材料	0
0	1	5	1	0	1	203	140000	4118	4118	2	0	5	0	神器合成材料	0
0	1	6	1	0	1	203	140000	4118	4118	2	0	5	0	神器合成材料	0
0	1	7	1	0	1	203	140000	4118	4118	2	0	5	0	神器合成材料	0
0	1	8	1	0	1	203	170000	4118	4118	2	0	5	0	神器合成材料	0
0	1	9	1	0	1	203	170000	4118	4118	2	0	5	0	神器合成材料	0
0	1	10	1	0	1	203	170000	4118	4118	2	0	5	0	神器合成材料	0
0	1	11	1	0	1	203	210000	4118	4118	2	0	5	0	神器合成材料	0
0	1	12	1	0	1	203	210000	4118	4118	2	0	5	0	神器合成材料	0
0	1	13	1	0	1	203	210000	4118	4118	2	0	5	0	神器合成材料	0
0	1	14	1	0	1	203	250000	4118	4118	2	0	5	0	神器合成材料	0
0	1	15	1	0	1	203	250000	4118	4118	2	0	5	0	神器合成材料	0
0	1	16	1	0	1	203	250000	4118	4118	2	0	5	0	神器合成材料	0
0	1	17	1	0	1	203	300000	4118	4118	2	0	5	0	神器合成材料	0
0	1	18	1	0	1	203	300000	4118	4118	2	0	5	0	神器合成材料	0
0	1	19	1	0	1	203	300000	4118	4118	2	0	5	0	神器合成材料	0
0	1	20	1	0	1	203	360000	4118	4118	2	0	5	0	神器合成材料	0
0	1	21	1	0	1	203	360000	4118	4118	2	0	5	0	神器合成材料	0
0	1	22	1	0	1	203	360000	4118	4118	2	0	5	0	神器合成材料	0
0	1	23	1	0	1	203	430000	4118	4118	2	0	5	0	神器合成材料	0
0	1	24	1	0	1	203	430000	4118	4118	2	0	5	0	神器合成材料	0
0	1	25	1	0	1	203	430000	4118	4118	2	0	5	0	神器合成材料	0
0	1	0	2	0	2	310254000	2	1961	1961	2	0	5	1	神器合成材料	0
0	1	1	2	0	2	310254000	2	1961	1961	2	0	5	1	神器合成材料	0
0	1	2	2	0	2	310254000	2	1961	1961	2	0	5	1	神器合成材料	0
0	1	3	2	0	2	310254000	2	1961	1961	2	0	5	1	神器合成材料	0
0	1	4	2	0	2	310254000	2	1961	1961	2	0	5	1	神器合成材料	0
0	1	5	2	0	2	310254001	2	1961	1961	2	0	5	1	神器合成材料	0
0	1	6	2	0	2	310254001	2	1961	1961	2	0	5	1	神器合成材料	0
0	1	7	2	0	2	310254001	2	1961	1961	2	0	5	1	神器合成材料	0
0	1	8	2	0	2	310254002	2	1961	1961	2	0	5	1	神器合成材料	0
0	1	9	2	0	2	310254002	2	1961	1961	2	0	5	1	神器合成材料	0
0	1	10	2	0	2	310254002	2	1961	1961	2	0	5	1	神器合成材料	0
0	1	11	2	0	2	310254003	2	1961	1961	2	0	5	1	神器合成材料	0
0	1	12	2	0	2	310254003	2	1961	1961	2	0	5	1	神器合成材料	0
0	1	13	2	0	2	310254003	2	1961	1961	2	0	5	1	神器合成材料	0
