地图ID	副键（0-100）	有效值	npc个体id	时间（系统）刷新出现的概率	事件触发出现的概率
[S]	[S]	[S]	[S]	[S]	[S]
21	1	1	2100178	238	0
21	2	1	2100179	238	0
21	3	1	2100180	238	0
21	4	1	2100181	238	0
21	5	1	2100182	238	0
21	6	1	2100183	238	0
21	7	1	2100184	238	0
21	8	1	2100185	238	0
21	9	1	2100186	238	0
21	10	1	2100187	238	0
21	11	1	2100188	238	0
21	12	1	2100189	238	0
21	13	1	2100190	238	0
21	14	1	2100191	238	0
21	15	1	2100192	238	0
21	16	1	2100193	238	0
21	17	1	2100194	238	0
21	18	1	2100195	238	0
21	19	1	2100196	238	0
21	20	1	2100197	238	0
21	21	1	2100198	238	0
21	22	1	2100199	238	0
21	23	1	2100200	238	0
21	24	1	2100201	238	0
21	25	1	2100202	238	0
21	26	1	2100203	238	0
21	27	1	2100204	238	0
21	28	1	2100205	238	0
21	29	1	2100206	238	0
21	30	1	2100207	238	0
21	31	1	2100208	238	0
21	32	1	2100209	238	0
21	33	1	2100210	238	0
21	34	1	2100211	238	0
21	35	1	2100212	238	0
21	36	1	2100213	238	0
21	37	1	2100214	238	0
21	38	1	2100215	238	0
21	39	1	2100216	239	0
21	40	1	2100217	239	0
21	41	1	2100218	239	0
21	42	1	2100219	239	0
21	43	1	2100220	0	1000
21	44	1	2100221	0	1000
21	45	1	2100222	0	1000
21	46	1	2100223	0	1000
21	47	1	2100224	0	1000
21	48	1	2100225	0	1000
21	49	1	2100226	0	1000
21	50	1	2100227	0	1000
21	51	1	2100228	0	1000
21	52	1	2100229	0	1000
22	1	1	2200178	238	0
22	2	1	2200179	238	0
22	3	1	2200180	238	0
22	4	1	2200181	238	0
22	5	1	2200182	238	0
22	6	1	2200183	238	0
22	7	1	2200184	238	0
22	8	1	2200185	238	0
22	9	1	2200186	238	0
22	10	1	2200187	238	0
22	11	1	2200188	238	0
22	12	1	2200189	238	0
22	13	1	2200190	238	0
22	14	1	2200191	238	0
22	15	1	2200192	238	0
22	16	1	2200193	238	0
22	17	1	2200194	238	0
22	18	1	2200195	238	0
22	19	1	2200196	238	0
22	20	1	2200197	238	0
22	21	1	2200198	238	0
22	22	1	2200199	238	0
22	23	1	2200200	238	0
22	24	1	2200201	238	0
22	25	1	2200202	238	0
22	26	1	2200203	238	0
22	27	1	2200204	238	0
22	28	1	2200205	238	0
22	29	1	2200206	238	0
22	30	1	2200207	238	0
22	31	1	2200208	238	0
22	32	1	2200209	238	0
22	33	1	2200210	238	0
22	34	1	2200211	238	0
22	35	1	2200212	238	0
22	36	1	2200213	238	0
22	37	1	2200214	238	0
22	38	1	2200215	238	0
22	39	1	2200216	239	0
22	40	1	2200217	239	0
22	41	1	2200218	239	0
22	42	1	2200219	239	0
22	43	1	2200220	0	1000
22	44	1	2200221	0	1000
22	45	1	2200222	0	1000
22	46	1	2200223	0	1000
22	47	1	2200224	0	1000
22	48	1	2200225	0	1000
22	49	1	2200226	0	1000
22	50	1	2200227	0	1000
22	51	1	2200228	0	1000
22	52	1	2200229	0	1000
23	1	1	2300178	238	0
23	2	1	2300179	238	0
23	3	1	2300180	238	0
23	4	1	2300181	238	0
23	5	1	2300182	238	0
23	6	1	2300183	238	0
23	7	1	2300184	238	0
23	8	1	2300185	238	0
23	9	1	2300186	238	0
23	10	1	2300187	238	0
23	11	1	2300188	238	0
23	12	1	2300189	238	0
23	13	1	2300190	238	0
23	14	1	2300191	238	0
23	15	1	2300192	238	0
23	16	1	2300193	238	0
23	17	1	2300194	238	0
23	18	1	2300195	238	0
23	19	1	2300196	238	0
23	20	1	2300197	238	0
23	21	1	2300198	238	0
23	22	1	2300199	238	0
23	23	1	2300200	238	0
23	24	1	2300201	238	0
23	25	1	2300202	238	0
23	26	1	2300203	238	0
23	27	1	2300204	238	0
23	28	1	2300205	238	0
23	29	1	2300206	238	0
23	30	1	2300207	238	0
23	31	1	2300208	238	0
23	32	1	2300209	238	0
23	33	1	2300210	238	0
23	34	1	2300211	238	0
23	35	1	2300212	238	0
23	36	1	2300213	238	0
23	37	1	2300214	238	0
23	38	1	2300215	238	0
23	39	1	2300216	239	0
23	40	1	2300217	239	0
23	41	1	2300218	239	0
23	42	1	2300219	239	0
23	43	1	2300220	0	1000
23	44	1	2300221	0	1000
23	45	1	2300222	0	1000
23	46	1	2300223	0	1000
23	47	1	2300224	0	1000
23	48	1	2300225	0	1000
23	49	1	2300226	0	1000
23	50	1	2300227	0	1000
23	51	1	2300228	0	1000
23	52	1	2300229	0	1000
