AI主ID（基本就是NPCID）	AI副ID（不能超过10条）	VALID	触发次数	触发CD	条件类型（0进战第N秒，2进战后每隔N秒，6当前位置坐标，8自身HP百分比，11自身HP数值，14附近有玩家，16仇人身上有BUFF，18自己身上有BUFF，19全图玩家进入仇恨列表，20仇恨列表人数，21全图玩家进入警戒范围，22警戒范围人数）	条件参数1	条件参数2	条件参数3	条件参数4	条件参数5	初始CD(进入战斗N秒后才开始判断)	行为步骤数（不能超过5步）	步骤1延迟	步骤1ID（9位，7位AI主ID+1位AI条目+1位步骤序号）	步骤2延迟	步骤2ID	步骤3延迟	步骤3ID	步骤4延迟	步骤4ID	步骤5延迟	步骤5ID
server	server	server	server	server	server	server	server	server	server	server	server	server	server	server	server	server	server	server	server	server	server	server
1	1	1	65534	1	0	5	0	0	0	0	1	1	0	101	0	0	0	0	0	0	0	0
2	1	1	65534	1	2	3	0	0	0	0	1	1	0	101	0	0	0	0	0	0	0	0
3	1	1	65534	3	6	4283	3793	0	0	0	3	1	0	101	0	0	0	0	0	0	0	0
4	1	1	65534	3	8	40	80	0	0	0	3	1	0	101	0	0	0	0	0	0	0	0
5	1	1	65534	5	11	40	70	0	0	0	5	1	0	101	0	0	0	0	0	0	0	0
5	2	1	65534	5	11	0	40	0	0	0	5	1	0	511	0	0	0	0	0	0	0	0
6	1	1	65534	5	14	0	40	0	0	0	5	1	0	601	0	0	0	0	0	0	0	0
7	1	1	65534	5	16	2041101	0	0	0	0	5	1	0	601	0	0	0	0	0	0	0	0
8	1	1	65534	5	18	3021102	1	0	0	0	5	1	0	101	0	0	0	0	0	0	0	0
9	1	1	65534	3	19	0	0	0	0	0	3	1	0	101	0	0	0	0	0	0	0	0
10	1	1	65534	3	20	2	1	0	0	0	3	1	0	101	0	0	0	0	0	0	0	0
11	1	1	65534	3	20	2	2	0	0	0	3	1	0	101	0	0	0	0	0	0	0	0
12	1	1	65534	3	20	1	3	0	0	0	3	1	0	101	0	0	0	0	0	0	0	0
13	1	1	65534	3	21	0	0	0	0	0	3	1	0	101	0	0	0	0	0	0	0	0
14	1	1	65534	3	22	2	1	0	0	0	3	1	0	101	0	0	0	0	0	0	0	0
15	1	1	65534	3	22	2	2	0	0	0	3	1	0	101	0	0	0	0	0	0	0	0
16	1	1	65534	3	22	1	3	0	0	0	3	1	0	101	0	0	0	0	0	0	0	0
17	1	1	65534	1	2	5	0	0	0	0	1	1	0	1701	0	0	0	0	0	0	0	0
18	1	1	65534	1	2	5	0	0	0	0	1	1	0	511	0	0	0	0	0	0	0	0
19	1	1	65534	2	16	3023101	0	0	0	0	2	1	0	601	0	0	0	0	0	0	0	0
20	1	1	65534	1	2	5	0	0	0	0	1	1	0	2001	0	0	0	0	0	0	0	0
21	1	1	65534	1	0	5	0	0	0	0	1	1	0	2101	0	0	0	0	0	0	0	0
22	1	1	65534	1	0	5	0	0	0	0	1	1	0	2201	0	0	0	0	0	0	0	0
23	1	1	65534	3	8	0	60	0	0	0	3	1	0	2301	0	0	0	0	0	0	0	0
24	1	1	65534	3	8	0	60	0	0	0	3	1	0	2401	0	0	0	0	0	0	0	0
25	1	1	65534	3	8	0	60	0	0	0	3	1	0	2501	0	0	0	0	0	0	0	0
26	1	1	65534	3	8	0	60	0	0	0	3	1	0	2601	0	0	0	0	0	0	0	0
27	1	1	65534	3	8	0	60	0	0	0	3	1	0	2701	0	0	0	0	0	0	0	0
28	1	1	65534	3	8	0	60	0	0	0	3	1	0	2801	0	0	0	0	0	0	0	0
29	1	1	65534	3	8	0	60	0	0	0	3	1	0	2901	0	0	0	0	0	0	0	0
30	1	1	65534	3	8	0	60	0	0	0	3	1	0	3001	0	0	0	0	0	0	0	0
31	1	1	65534	3	8	0	60	0	0	0	3	1	0	3101	0	0	0	0	0	0	0	0
32	1	1	65534	3	8	0	60	0	0	0	3	1	0	3201	0	0	0	0	0	0	0	0
33	1	1	65534	3	8	0	60	0	0	0	3	1	0	3301	0	0	0	0	0	0	0	0
34	1	1	65534	3	8	0	60	0	0	0	3	1	0	3401	0	0	0	0	0	0	0	0
35	1	1	65534	3	8	0	60	0	0	0	3	1	0	3501	0	0	0	0	0	0	0	0
36	1	1	65534	3	8	0	60	0	0	0	3	1	0	3601	0	0	0	0	0	0	0	0
37	1	1	65534	3	8	0	60	0	0	0	3	1	0	3701	0	0	0	0	0	0	0	0
38	1	1	65534	3	8	0	60	0	0	0	3	1	0	3801	0	0	0	0	0	0	0	0
39	1	1	65534	3	8	0	60	0	0	0	3	1	0	3901	0	0	0	0	0	0	0	0
40	1	1	65534	3	16	3023101	60	0	0	0	3	1	0	4001	0	0	0	0	0	0	0	0
304301	1	1	65534	1	2	60	0	0	0	0	0	1	0	30430101	0	0	0	0	0	0	0	0
304302	1	1	65534	1	2	30	0	0	0	0	0	5	0	30430201	1	30430201	2	30430201	3	30430201	4	30430201
304303	1	1	65534	1	2	30	0	0	0	0	0	1	0	30430301	0	0	0	0	0	0	0	0
304304	1	1	65534	1	2	30	0	0	0	0	0	1	0	30430401	0	0	0	0	0	0	0	0
304305	1	1	65534	1	2	30	0	0	0	0	0	1	0	30430501	0	0	0	0	0	0	0	0
1011022	1	1	65534	5	2	12	0	0	0	0	0	1	0	900120101	0	0	0	0	0	0	0	0
3011005	1	1	65534	1	0	10	0	0	0	0	1	4	0	301100501	1	301100501	2	301100501	3	301100511	0	0
3011005	2	1	65534	15	8	0	50	0	0	0	15	1	0	301100511	0	0	0	0	0	0	0	0
3011010	1	1	65534	1	0	15	0	0	0	0	1	1	0	301101001	0	0	0	0	0	0	0	0
3011010	2	1	65534	1	2	8	0	0	0	0	1	1	3	301101011	0	0	0	0	0	0	0	0
3011010	3	1	65534	15	8	0	50	0	0	0	15	1	0	301101021	0	0	0	0	0	0	0	0
3011013	1	1	65534	10	22	1	1	0	0	0	10	2	0	301101301	1	301101302	0	0	0	0	0	0
3011013	2	1	65534	0	22	0	2	0	0	0	0	1	3	301101311	0	0	0	0	0	0	0	0
3011013	3	1	65534	15	8	0	50	0	0	0	15	1	0	301101321	0	0	0	0	0	0	0	0
3011014	1	1	65534	10	21	0	0	0	0	0	10	1	0	301101401	0	0	0	0	0	0	0	0
3011015	1	1	65534	10	21	0	0	0	0	0	10	1	0	301101501	0	0	0	0	0	0	0	0
3011050	1	1	65534	1	2	15	40	0	0	0	1	1	0	301105001	0	0	0	0	0	0	0	0
3011050	2	1	65534	1	2	12	40	0	0	0	1	1	0	301105011	0	0	0	0	0	0	0	0
3011050	3	1	65534	10	8	1	40	0	0	0	10	1	0	301105021	0	0	0	0	0	0	0	0
3011101	1	1	65534	1	2	12	50	0	0	0	1	1	0	301110101	0	0	0	0	0	0	0	0
3011101	2	1	65534	15	8	0	30	0	0	0	15	1	0	301110111	0	0	0	0	0	0	0	0
3011101	3	1	65534	10	8	1	40	0	0	0	10	1	0	301110121	0	0	0	0	0	0	0	0
3011102	1	1	65534	1	2	12	50	0	0	0	1	1	0	301110201	0	0	0	0	0	0	0	0
3011103	1	1	65534	1	2	12	50	0	0	0	1	1	0	301110301	0	0	0	0	0	0	0	0
3011105	1	1	65534	1	0	12	50	0	0	0	1	1	0	301110501	0	0	0	0	0	0	0	0
3011105	2	1	65534	15	8	0	30	0	0	0	15	4	0	301110511	1	301110511	2	301110511	3	301110511	0	0
3011106	1	1	65534	1	2	12	50	0	0	0	1	1	0	301110601	0	0	0	0	0	0	0	0
3011107	1	1	65534	1	2	12	50	0	0	0	1	1	0	301110701	0	0	0	0	0	0	0	0
3011107	2	1	65534	1	2	15	50	0	0	0	1	1	0	301110711	0	0	0	0	0	0	0	0
3011108	1	1	65534	1	2	12	50	0	0	0	1	1	0	301110801	0	0	0	0	0	0	0	0
3011108	2	1	65534	1	2	15	15	0	0	0	1	1	0	301110811	0	0	0	0	0	0	0	0
3011109	1	1	65534	1	2	22	0	0	0	0	1	1	1	301110901	0	0	0	0	0	0	0	0
3011109	2	1	65534	1	2	15	50	0	0	0	1	1	0	301110911	0	0	0	0	0	0	0	0
3011109	3	1	65534	1	2	9	0	0	0	0	1	1	0	301110921	0	0	0	0	0	0	0	0
3011110	1	1	65534	1	2	22	0	0	0	0	1	1	0	301111001	0	0	0	0	0	0	0	0
3011110	2	1	65534	1	2	9	50	0	0	0	1	1	0	301111011	0	0	0	0	0	0	0	0
3011110	3	1	65534	1	2	15	0	0	0	0	1	1	0	301111021	0	0	0	0	0	0	0	0
3011112	1	1	65534	1	2	24	0	0	0	0	1	1	0	301111201	0	0	0	0	0	0	0	0
3011112	2	1	65534	1	2	9	0	0	0	0	1	1	0	301111211	0	0	0	0	0	0	0	0
3011112	3	1	65534	1	2	15	0	0	0	0	1	1	0	301111221	0	0	0	0	0	0	0	0
3011113	1	1	65534	1	2	16	0	0	0	0	1	1	0	301111301	0	0	0	0	0	0	0	0
3011113	2	1	65534	1	2	9	0	0	0	0	1	1	0	301111311	0	0	0	0	0	0	0	0
3011113	3	1	65534	1	2	23	0	0	0	0	1	1	0	301111321	0	0	0	0	0	0	0	0
3011114	1	1	65534	1	2	12	0	0	0	0	1	1	0	301111401	0	0	0	0	0	0	0	0
3011115	1	1	65534	1	2	12	0	0	0	0	1	1	0	301111501	0	0	0	0	0	0	0	0
3011116	1	1	65534	1	2	20	0	0	0	0	1	1	0	301111601	0	0	0	0	0	0	0	0
3011116	2	1	65534	1	2	15	0	0	0	0	1	1	0	301111611	0	0	0	0	0	0	0	0
3011116	3	1	1	1	0	5	0	0	0	0	1	1	0	301111621	0	0	0	0	0	0	0	0
3011116	4	1	65534	1	2	30	0	0	0	0	1	1	0	301111621	0	0	0	0	0	0	0	0
